name,team,opponent,week,season,isHome,NO,YDS,AVG,LONG,TD
Velus Jones Jr.,CHI,MIN,18,2022,False,4,82,20.5,25,0
Dallis Flowers,IND,NYG,17,2022,True,3,100,33.3,36,0
Nikola Kalinic,IND,NYG,17,2022,True,1,15,15.0,15,0
Gary Brightwell,NYG,IND,17,2022,False,2,40,20.0,23,0
Keisean Nixon,GB,BUF,8,2022,True,4,67,16.8,20,0
Isaiah McKenzie,BUF,GB,8,2022,False,3,72,24.0,33,0
Tremon Smith,HOU,LV,7,2022,True,4,78,19.5,25,0
DJ Turner,LV,HOU,7,2022,False,3,56,18.7,20,0
Ameer Abdullah,LV,HOU,7,2022,False,1,17,17.0,17,0
Godwin Igwebuike,PIT,SEA,17,2023,True,2,56,28.0,31,0
DeeJay Dallas,SEA,PIT,17,2023,False,3,82,27.3,32,0
Brandon Powell,LAR,SEA,15,2021,False,2,46,23.0,32,0
Brandon Powell,LAR,SEA,13,2022,False,1,17,17.0,17,0
Cordarrelle Patterson,ATL,NO,9,2021,True,3,65,21.7,25,0
Deonte Harty,NO,ATL,9,2021,False,2,51,25.5,27,0
Dwayne Washington,NO,ATL,9,2021,False,2,39,19.5,21,0
Alex Armah,NO,ATL,9,2021,False,1,11,11.0,11,0
Mike Hughes,ATL,DET,3,2023,True,2,27,13.5,17,0
Rico Dowdle,DAL,SF,5,2023,True,2,35,17.5,22,0
KaVontae Turpin,DAL,SF,5,2023,True,2,33,16.5,18,0
Ronnie Rivers,LAR,CIN,3,2023,True,1,16,16.0,16,0
Ray-Ray McCloud III,SF,LAR,8,2022,True,2,66,33.0,39,0
Russ Yeast,LAR,SF,8,2022,False,1,29,29.0,29,0
Brandon Powell,LAR,SF,8,2022,False,1,21,21.0,21,0
Raheem Mostert,MIA,CHI,9,2022,True,1,18,18.0,18,0
Khalil Herbert,CHI,MIA,9,2022,False,1,30,30.0,30,0
Tyjae Spears,TEN,PIT,9,2023,True,2,46,23.0,29,0
Godwin Igwebuike,PIT,TEN,9,2023,False,2,42,21.0,23,0
Avery Williams,ATL,NE,11,2021,False,5,102,20.4,27,0
Olamide Zaccheaus,ATL,NE,11,2021,False,1,17,17.0,17,0
C.J. Board,NYG,DEN,1,2021,False,2,66,33.0,38,0
Jamal Agnew,JAX,IND,6,2023,False,1,53,53.0,53,0
Isaiah McKenzie,BUF,TEN,6,2021,True,3,77,25.7,30,0
Cameron Batson,TEN,BUF,6,2021,False,5,80,16.0,20,0
Marcus Johnson,TEN,BUF,6,2021,False,2,52,26.0,31,0
Andre Roberts,HOU,CLE,2,2021,True,3,54,18.0,19,0
Desmond King II,HOU,CLE,2,2021,True,1,27,27.0,27,0
Demetric Felton Jr.,CLE,HOU,2,2021,False,2,41,20.5,25,0
Dax Milne,WSH,DET,2,2022,True,6,128,21.3,33,0
Kalif Raymond,DET,WSH,2,2022,False,1,52,52.0,52,0
Justin Jackson,DET,WSH,2,2022,False,1,33,33.0,33,0
Nasir Adderley,LAC,WSH,1,2021,True,2,35,17.5,19,0
DeAndre Carter,WSH,LAC,1,2021,False,3,65,21.7,31,0
Jamal Agnew,JAX,HOU,17,2022,True,1,20,20.0,20,0
Tremon Smith,HOU,JAX,17,2022,False,4,99,24.8,31,0
Kene Nwangwu,MIN,DET,16,2023,False,2,39,19.5,21,0
Tremon Smith,HOU,SF,17,2021,True,5,98,19.6,26,0
JaMycal Hasty,SF,HOU,17,2021,False,2,35,17.5,28,0
Rondale Moore,ARI,SEA,11,2021,True,1,27,27.0,27,0
Eno Benjamin,ARI,SEA,11,2021,True,1,19,19.0,19,0
DeeJay Dallas,SEA,ARI,11,2021,False,1,20,20.0,20,0
Eno Benjamin,ARI,LAR,10,2022,True,1,10,10.0,10,0
Greg Dortch,ARI,LAR,10,2022,True,1,4,4.0,4,0
Brandon Powell,LAR,ARI,10,2022,False,2,32,16.0,17,0
Dwayne Washington,NO,CAR,3,2022,True,3,56,18.7,24,0
Laviska Shenault Jr.,CAR,NO,3,2022,False,2,54,27.0,36,0
Trayveon Williams,CIN,TEN,4,2023,True,1,25,25.0,25,0
Tyjae Spears,TEN,CIN,4,2023,False,1,16,16.0,16,0
KaVontae Turpin,DAL,NYG,3,2022,True,1,24,24.0,24,0
Marquez Stevenson,BUF,TB,14,2021,True,1,29,29.0,29,0
Jaelon Darden,TB,BUF,14,2021,False,3,39,13.0,16,0
Rachaad White,TB,CAR,7,2022,True,2,46,23.0,30,0
Cordarrelle Patterson,ATL,BUF,17,2021,True,1,23,23.0,23,0
Avery Williams,ATL,BUF,17,2021,True,1,2,2.0,2,0
Marquez Stevenson,BUF,ATL,17,2021,False,3,74,24.7,26,0
Darrynton Evans,TEN,KC,7,2021,False,1,17,17.0,17,0
Isaiah McKenzie,BUF,BAL,4,2022,True,2,46,23.0,42,0
Devin Duvernay,BAL,BUF,4,2022,False,2,40,20.0,28,0
Rondale Moore,ARI,CLE,6,2021,True,1,23,23.0,23,0
Anthony Schwartz,CLE,ARI,6,2021,False,2,54,27.0,35,0
Chris Claybrooks,JAX,NE,17,2021,True,5,88,17.6,25,0
Gunner Olszewski,NE,JAX,17,2021,False,1,27,27.0,27,0
Jakob Johnson,NE,JAX,17,2021,False,1,14,14.0,14,0
Devin McCourty,NE,JAX,17,2021,False,1,9,9.0,9,0
Rashid Shaheed,NO,TB,13,2022,True,1,30,30.0,30,0
Jaelon Darden,TB,NO,13,2022,False,1,25,25.0,25,0
Andrew Beck,HOU,JAX,3,2023,True,1,85,85.0,85,1
Mike Boone,HOU,JAX,3,2023,True,1,14,14.0,14,0
Jamal Agnew,JAX,HOU,3,2023,False,3,72,24.0,33,0
Hassan Haskins,TEN,GB,11,2022,True,4,89,22.3,27,0
Keisean Nixon,GB,TEN,11,2022,False,5,108,21.6,32,0
Kene Nwangwu,MIN,SF,12,2021,True,4,171,42.8,99,1
Alexander Mattison,MIN,SF,12,2021,True,1,18,18.0,18,0
Gunner Olszewski,PIT,BAL,5,2023,False,1,24,24.0,24,0
Desmond King II,PIT,BAL,5,2023,False,1,19,19.0,19,0
Dallis Flowers,IND,MIN,15,2022,True,5,175,35.0,49,0
Kene Nwangwu,MIN,IND,15,2022,False,6,159,26.5,36,0
Brandon Bolden,NE,MIA,1,2021,False,1,23,23.0,23,0
Gunner Olszewski,NE,MIA,1,2021,False,1,17,17.0,17,0
Tutu Atwell,LAR,SEA,5,2021,True,3,61,20.3,25,0
Cooper Kupp,LAR,SEA,5,2021,True,1,12,12.0,12,0
DeeJay Dallas,SEA,LAR,5,2021,False,2,46,23.0,24,0
Jamal Agnew,JAX,NYJ,16,2022,True,1,25,25.0,25,0
Braxton Berrios,NYJ,JAX,16,2022,False,3,80,26.7,32,0
Ray-Ray McCloud III,SF,DEN,3,2022,True,2,23,11.5,15,0
Montrell Washington,DEN,SF,3,2022,False,1,14,14.0,14,0
Devin Duvernay,BAL,CIN,7,2021,False,2,45,22.5,24,0
Kene Nwangwu,MIN,GB,17,2021,True,3,86,28.7,37,0
Equanimeous St. Brown,GB,MIN,17,2021,False,1,17,17.0,17,0
Trayveon Williams,CIN,HOU,10,2023,False,1,17,17.0,17,0
Trenton Irwin,CIN,HOU,10,2023,False,1,8,8.0,8,0
Ambry Thomas,SF,DET,1,2021,True,4,70,17.5,19,0
Godwin Igwebuike,DET,SF,1,2021,False,4,55,13.8,27,0
Trayveon Williams,CIN,SF,8,2023,True,2,53,26.5,41,0
Ray-Ray McCloud III,SF,CIN,8,2023,False,1,16,16.0,16,0
Ray-Ray McCloud III,PIT,GB,4,2021,True,3,99,33.0,40,0
Kylin Hill,GB,PIT,4,2021,False,2,37,18.5,21,0
Aaron Jones,GB,PIT,4,2021,False,1,10,10.0,10,0
Tevin Coleman,NYJ,ATL,5,2021,True,2,92,46.0,65,0
Cordarrelle Patterson,ATL,NYJ,5,2021,False,1,29,29.0,29,0
Keith Smith,ATL,NYJ,5,2021,False,1,16,16.0,16,0
DeAndre Carter,LAC,ATL,9,2022,True,1,18,18.0,18,0
Byron Pringle,KC,PHI,4,2021,True,4,109,27.3,32,0
Jalen Reagor,PHI,KC,4,2021,False,1,44,44.0,44,0
Quez Watkins,PHI,KC,4,2021,False,2,14,7.0,14,0
DeAndre Carter,LV,DET,8,2023,True,1,2,2.0,2,0
Khalil Dorsey,DET,LV,8,2023,False,2,31,15.5,18,0
Antonio Gibson,WSH,HOU,11,2022,True,2,48,24.0,27,0
Desmond King II,PIT,HOU,4,2023,True,3,69,23.0,27,0
Devin Singletary,HOU,PIT,4,2023,False,1,35,35.0,35,0
Jerome Ford,CLE,WSH,17,2022,True,1,23,23.0,23,0
Jaret Patterson,WSH,CLE,17,2022,False,3,70,23.3,26,0
Justin Jackson,DET,CHI,10,2022,True,1,39,39.0,39,0
Khalil Herbert,CHI,DET,10,2022,False,2,67,33.5,50,0
Antonio Gibson,WSH,PHI,8,2023,False,1,27,27.0,27,0
Raheem Blackshear,CAR,NO,18,2022,True,1,18,18.0,18,0
Rashid Shaheed,NO,CLE,16,2022,True,2,47,23.5,30,0
Jerome Ford,CLE,NO,16,2022,False,3,95,31.7,37,0
Tommylee Lewis,MIA,NO,16,2021,True,1,23,23.0,23,0
Ty Montgomery II,NO,MIA,16,2021,False,1,26,26.0,26,0
Dameon Pierce,HOU,TEN,17,2023,False,1,21,21.0,21,0
Byron Pringle,KC,BAL,2,2021,True,3,46,15.3,33,0
Mike Hughes,KC,BAL,2,2021,True,1,25,25.0,25,0
Michael Burton,KC,BAL,2,2021,True,1,9,9.0,9,0
Mecole Hardman,KC,BAL,2,2021,True,0,3,0.0,3,0
Andre Roberts,HOU,IND,6,2021,True,4,91,22.8,34,0
Ashton Dulin,IND,HOU,6,2021,False,2,58,29.0,31,0
Isiah Pacheco,KC,CIN,13,2022,True,5,116,23.2,44,0
Trayveon Williams,CIN,KC,13,2022,False,2,27,13.5,16,0
Kylin Hill,GB,CIN,5,2021,True,1,16,16.0,16,0
Brandon Wilson,CIN,GB,5,2021,False,4,120,30.0,44,0
Keisean Nixon,GB,TB,15,2023,False,2,28,14.0,20,0
Derius Davis,LAC,TEN,2,2023,True,1,24,24.0,24,0
Ty Montgomery II,NE,LV,6,2023,True,1,23,23.0,23,0
Boston Scott,PHI,SEA,15,2023,True,1,13,13.0,13,0
Velus Jones Jr.,CHI,ATL,17,2023,False,2,54,27.0,29,0
Richie James,KC,LAC,18,2023,True,1,23,23.0,23,0
Derius Davis,LAC,KC,18,2023,False,2,69,34.5,46,0
Avery Williams,ATL,WSH,12,2022,True,1,19,19.0,19,0
Cordarrelle Patterson,ATL,WSH,12,2022,True,1,9,9.0,9,0
Antonio Gibson,WSH,ATL,12,2022,False,2,51,25.5,31,0
Trenton Cannon,SF,PHI,2,2021,True,1,11,11.0,11,0
Quez Watkins,PHI,SF,2,2021,False,1,20,20.0,20,0
Ameer Abdullah,CAR,TB,16,2021,False,3,76,25.3,26,0
Montrell Washington,DEN,SEA,1,2022,True,3,51,17.0,21,0
DeeJay Dallas,SEA,DEN,1,2022,False,3,77,25.7,30,0
Richie James,KC,LV,12,2023,True,1,29,29.0,29,0
DeAndre Carter,LV,KC,12,2023,False,1,25,25.0,25,0
Byron Pringle,WSH,NYG,7,2023,True,1,38,38.0,38,0
DeeJay Dallas,SEA,SF,2,2022,True,3,46,15.3,16,0
Jalen Reagor,PHI,NYG,12,2021,True,2,39,19.5,26,0
Kenneth Gainwell,PHI,NYG,12,2021,True,1,15,15.0,15,0
Pharoh Cooper,NYG,PHI,12,2021,False,1,22,22.0,22,0
KJ Hill Jr.,LAC,BAL,6,2021,True,3,50,16.7,18,0
Jalen Guyton,LAC,BAL,6,2021,True,2,32,16.0,22,0
Devin Duvernay,BAL,LAC,6,2021,False,2,70,35.0,47,0
Jamal Agnew,JAX,TEN,5,2021,False,4,85,21.3,24,0
Andre Roberts,LAC,CIN,13,2021,True,3,99,33.0,48,0
Pooka Williams Jr.,CIN,LAC,13,2021,False,3,52,17.3,25,0
Isaiah McKenzie,BUF,KC,6,2022,True,1,26,26.0,26,0
Isiah Pacheco,KC,BUF,6,2022,False,3,43,14.3,18,0
Michael Burton,KC,BUF,6,2022,False,1,9,9.0,9,0
Rashid Shaheed,NO,GB,3,2023,True,2,32,16.0,17,0
Keisean Nixon,GB,NO,3,2023,False,1,24,24.0,24,0
Godwin Igwebuike,PIT,IND,15,2023,True,2,65,32.5,34,0
Eno Benjamin,ARI,PHI,5,2022,False,1,19,19.0,19,0
DeeJay Dallas,SEA,HOU,14,2021,True,2,41,20.5,23,0
Tremon Smith,HOU,SEA,14,2021,False,3,52,17.3,24,0
Tavierre Thomas,HOU,SEA,14,2021,False,0,30,0.0,30,0
Antony Auclair,HOU,SEA,14,2021,False,1,11,11.0,11,0
Gunner Olszewski,PIT,CLE,3,2022,True,1,18,18.0,18,0
Jerome Ford,CLE,PIT,3,2022,False,1,15,15.0,15,0
David Bell,CLE,PIT,3,2022,False,1,12,12.0,12,0
Tremon Smith,HOU,DEN,2,2022,True,1,22,22.0,22,0
Montrell Washington,DEN,HOU,2,2022,False,1,17,17.0,17,0
Devin Duvernay,BAL,PIT,13,2021,True,2,61,30.5,35,0
Ray-Ray McCloud III,PIT,BAL,13,2021,False,3,46,15.3,19,0
Eric Gray,NYG,SF,3,2023,True,1,16,16.0,16,0
Corey Clement,DAL,ARI,17,2021,False,3,58,19.3,20,0
Marvin Mims Jr.,DEN,LV,1,2023,False,2,55,27.5,30,0
Raheem Blackshear,CAR,TB,17,2022,True,1,36,36.0,36,0
Jamal Agnew,JAX,KC,10,2022,True,2,72,36.0,39,0
Jody Fortson,KC,JAX,10,2022,False,1,12,12.0,12,0
Skyy Moore,KC,JAX,10,2022,False,1,8,8.0,8,0
Xavier Gipson,NYJ,LV,10,2023,True,1,14,14.0,14,0
DeAndre Carter,LV,NYJ,10,2023,False,1,25,25.0,25,0
Larry Rountree III,LAC,KC,3,2021,True,2,37,18.5,20,0
Byron Pringle,KC,LAC,3,2021,False,1,30,30.0,30,0
Greg Dortch,ARI,DEN,15,2022,True,1,23,23.0,23,0
Montrell Washington,DEN,ARI,15,2022,False,1,19,19.0,19,0
Montrell Washington,DEN,CAR,12,2022,True,2,48,24.0,25,0
Jalen Virgil,DEN,CAR,12,2022,True,1,21,21.0,21,0
Kenneth Gainwell,PHI,NYG,16,2023,False,1,19,19.0,19,0
Boston Scott,PHI,NYG,16,2023,False,1,15,15.0,15,0
Khalil Herbert,CHI,MIN,18,2021,True,1,36,36.0,36,0
Kene Nwangwu,MIN,CHI,18,2021,False,2,38,19.0,24,0
Dax Milne,WSH,PHI,3,2022,False,1,29,29.0,29,0
Khalil Herbert,CHI,GB,14,2021,True,5,128,25.6,42,0
Amari Rodgers,GB,CHI,14,2021,False,1,19,19.0,19,0
Malik Taylor,GB,CHI,14,2021,False,1,0,0.0,0,0
Marvin Mims Jr.,DEN,BUF,10,2023,True,1,31,31.0,31,0
Khalil Shakir,BUF,DEN,10,2023,False,1,19,19.0,19,0
Brandon Powell,LAR,SF,4,2022,True,3,58,19.3,22,0
Ray-Ray McCloud III,SF,LAR,4,2022,False,1,21,21.0,21,0
Rachaad White,TB,GB,3,2022,False,1,20,20.0,20,0
Kylin Hill,GB,NO,1,2021,True,2,29,14.5,17,0
Raheem Mostert,MIA,MIN,6,2022,False,1,25,25.0,25,0
Derius Davis,LAC,BAL,12,2023,False,1,21,21.0,21,0
Austin Trammell,LAR,CLE,13,2023,False,1,8,8.0,8,0
KaVontae Turpin,DAL,LAR,8,2023,False,2,88,44.0,63,0
Rico Dowdle,DAL,LAR,8,2023,False,1,8,8.0,8,0
Ray-Ray McCloud III,SF,MIN,7,2023,True,1,34,34.0,34,0
Kene Nwangwu,MIN,SF,7,2023,False,2,41,20.5,28,0
Isiah Pacheco,KC,IND,3,2022,True,5,94,18.8,29,0
Isaiah Rodgers Sr.,IND,KC,3,2022,False,2,57,28.5,31,0
Pierre Strong Jr.,CLE,IND,7,2023,True,2,46,23.0,24,0
Isaiah McKenzie,IND,CLE,7,2023,False,2,38,19.0,21,0
Trayveon Williams,CIN,JAX,13,2023,True,2,41,20.5,21,0
Parker Washington,JAX,CIN,13,2023,False,2,51,25.5,33,0
Andre Roberts,HOU,JAX,1,2021,False,2,47,23.5,24,0
KaVontae Turpin,DAL,BUF,15,2023,True,2,43,21.5,23,0
Ty Johnson,BUF,DAL,15,2023,False,1,21,21.0,21,0
Deonte Harty,BUF,DAL,15,2023,False,1,7,7.0,7,0
DeAndre Carter,LV,CHI,7,2023,True,2,51,25.5,26,0
Velus Jones Jr.,CHI,LV,7,2023,False,2,49,24.5,27,0
Cole Kmet,CHI,LV,7,2023,False,1,0,0.0,0,0
Craig Reynolds,DET,GB,4,2023,True,1,28,28.0,28,0
Keisean Nixon,GB,DET,4,2023,False,5,116,23.2,26,0
Dallis Flowers,IND,LAC,16,2022,False,3,84,28.0,31,0
Godwin Igwebuike,DET,ATL,16,2021,True,1,25,25.0,25,0
Cordarrelle Patterson,ATL,DET,16,2021,False,3,79,26.3,32,0
Jake Funk,LAR,IND,2,2021,True,3,70,23.3,28,0
Isaiah Rodgers Sr.,IND,LAR,2,2021,False,1,41,41.0,41,0
Godwin Igwebuike,DET,CLE,11,2021,True,3,58,19.3,23,0
D'Ernest Johnson,CLE,DET,11,2021,False,1,26,26.0,26,0
KaVontae Turpin,DAL,PHI,6,2022,True,3,96,32.0,63,0
Jonnu Smith,NE,NYJ,8,2022,True,1,16,16.0,16,0
Braxton Berrios,NYJ,NE,8,2022,False,2,36,18.0,21,0
Kene Nwangwu,MIN,NO,4,2022,True,2,53,26.5,33,0
Deonte Harty,NO,MIN,4,2022,False,2,41,20.5,21,0
Marcus Jones,NE,MIN,12,2022,True,1,46,46.0,46,0
Kene Nwangwu,MIN,NE,12,2022,False,5,166,33.2,97,1
Johnny Mundt,MIN,NE,12,2022,False,1,0,0.0,0,0
Laviska Shenault Jr.,CAR,DET,5,2023,True,3,75,25.0,30,0
Zonovan Knight,DET,CAR,5,2023,False,1,22,22.0,22,0
Rondale Moore,ARI,TEN,1,2021,True,1,22,22.0,22,0
Chester Rogers,TEN,ARI,1,2021,False,1,14,14.0,14,0
DeAndre Carter,WSH,CAR,11,2021,True,2,53,26.5,30,0
Ameer Abdullah,CAR,WSH,11,2021,False,1,21,21.0,21,0
Marvin Mims Jr.,DEN,HOU,13,2023,True,2,44,22.0,27,0
Desmond King II,HOU,DEN,13,2023,False,1,23,23.0,23,0
Boston Scott,PHI,NYG,18,2023,True,2,38,19.0,21,0
Devin Duvernay,BAL,CLE,4,2023,True,2,44,22.0,28,0
Chuba Hubbard,CAR,NYJ,1,2021,False,1,21,21.0,21,0
Tommy Tremble,CAR,NYJ,1,2021,False,1,21,21.0,21,0
Tylan Wallace,BAL,CIN,16,2021,True,2,39,19.5,24,0
James Proche II,BAL,CIN,16,2021,True,2,22,11.0,22,0
Trent Taylor,CIN,BAL,16,2021,False,3,45,15.0,25,0
Keisean Nixon,GB,MIA,16,2022,True,2,113,56.5,93,0
Romeo Doubs,GB,MIA,16,2022,True,2,39,19.5,21,0
Josiah Deguara,GB,MIA,16,2022,True,1,0,0.0,0,0
Raheem Mostert,MIA,GB,16,2022,False,6,114,19.0,27,0
Alec Ingold,MIA,GB,16,2022,False,1,8,8.0,8,0
Cordarrelle Patterson,ATL,HOU,5,2023,False,2,35,17.5,19,0
Kene Nwangwu,MIN,CIN,15,2023,True,1,14,14.0,14,0
Rashid Shaheed,NO,CHI,9,2023,False,1,24,24.0,24,0
Keisean Nixon,GB,CAR,16,2023,True,2,63,31.5,38,0
Raheem Blackshear,CAR,GB,16,2023,False,5,114,22.8,30,0
DeAndre Carter,LV,LAC,4,2023,True,1,40,40.0,40,0
