name,team,opponent,week,season,isHome,FG,PCT,LONG,XP,PTS
Michael Badgley,DET,MIN,14,2022,False,2/3,67.0,49,4/4,10
Ka'imi Fairbairn,HOU,TEN,15,2023,True,4/4,100.0,54,1/1,13
Nick Folk,TEN,HOU,15,2023,False,1/1,100.0,45,1/2,4
Matt Gay,IND,CAR,9,2023,True,2/2,100.0,57,3/3,9
Eddy Pineiro,CAR,IND,9,2023,False,2/2,100.0,49,1/1,7
Riley Patterson,DET,LAC,10,2023,True,2/2,100.0,41,5/5,11
Cameron Dicker,LAC,DET,10,2023,False,1/1,100.0,48,5/5,8
Jake Moody,SF,JAX,10,2023,True,2/2,100.0,39,4/4,10
Brandon McManus,JAX,SF,10,2023,False,1/1,100.0,37,0/0,3
Michael Badgley,IND,BUF,11,2021,True,2/2,100.0,36,5/5,11
Tyler Bass,BUF,IND,11,2021,False,0/2,0.0,0,1/1,1
Michael Badgley,IND,ARI,16,2021,True,2/3,67.0,41,2/2,8
Matt Prater,ARI,IND,16,2021,False,1/3,33.0,28,1/2,4
Josh Lambo,TEN,GB,11,2022,True,0/0,0.0,0,3/4,3
Mason Crosby,GB,TEN,11,2022,False,1/1,100.0,39,0/1,3
Tristan Vizcaino,ARI,LAR,10,2022,True,2/2,100.0,46,3/3,9
Matt Gay,LAR,ARI,10,2022,False,1/1,100.0,36,2/2,5
Brandon Aubrey,DAL,LAC,6,2023,True,2/2,100.0,39,2/2,8
Cameron Dicker,LAC,DAL,6,2023,False,1/1,100.0,24,2/2,5
Ka'imi Fairbairn,HOU,CAR,8,2023,True,0/0,0.0,0,1/1,1
Eddy Pineiro,CAR,HOU,8,2023,False,3/3,100.0,46,0/1,9
Robbie Gould,SF,ATL,6,2022,True,0/0,0.0,0,2/2,2
Younghoe Koo,ATL,SF,6,2022,False,0/0,0.0,0,4/4,4
Jake Elliott,PHI,WSH,3,2022,True,1/1,100.0,32,3/3,6
Jake Elliott,PHI,WSH,17,2021,True,2/2,100.0,42,2/2,8
Joey Slye,WSH,PHI,17,2021,False,3/3,100.0,55,1/1,10
Jake Elliott,PHI,IND,11,2022,True,1/1,100.0,22,2/2,5
Chase McLaughlin,IND,PHI,11,2022,False,3/4,75.0,51,1/1,10
Robbie Gould,SF,CIN,14,2021,True,2/3,67.0,33,2/2,8
Evan McPherson,CIN,SF,14,2021,False,3/4,75.0,41,2/2,11
Jake Elliott,PHI,CHI,15,2022,True,1/2,50.0,32,2/2,5
Cairo Santos,CHI,PHI,15,2022,False,0/0,0.0,0,2/3,2
Mason Crosby,GB,DET,18,2021,True,1/1,100.0,36,1/2,4
Riley Patterson,DET,GB,18,2021,False,3/3,100.0,36,4/4,13
Jason Myers,SEA,WSH,12,2021,True,0/0,0.0,0,1/1,1
Joey Slye,WSH,SEA,12,2021,False,1/1,100.0,23,0/1,3
Jason Sanders,MIA,JAX,6,2021,True,2/3,67.0,33,2/2,8
Matthew Wright,JAX,MIA,6,2021,False,3/3,100.0,54,2/2,11
Josh Lambo,JAX,HOU,1,2021,True,0/1,0.0,0,3/3,3
Joey Slye,HOU,JAX,1,2021,False,3/3,100.0,40,4/4,13
Chase McLaughlin,IND,DAL,13,2022,True,2/2,100.0,52,1/1,7
Brett Maher,DAL,IND,13,2022,False,0/0,0.0,0,6/7,6
Dustin Hopkins,CLE,SEA,8,2023,True,2/2,100.0,27,2/2,8
Jason Myers,SEA,CLE,8,2023,False,1/1,100.0,32,3/3,6
Jason Myers,SEA,DET,2,2023,True,1/3,33.0,25,4/4,7
Riley Patterson,DET,SEA,2,2023,False,1/1,100.0,38,4/4,7
Jason Myers,SEA,SF,14,2023,True,1/1,100.0,40,1/1,4
Jake Moody,SF,SEA,14,2023,False,0/0,0.0,0,4/4,4
Mason Crosby,GB,CHI,6,2021,True,1/1,100.0,39,3/3,6
Cairo Santos,CHI,GB,6,2021,False,0/0,0.0,0,2/2,2
Matt Prater,ARI,LAR,6,2023,True,3/3,100.0,55,0/0,9
Brett Maher,LAR,ARI,6,2023,False,4/4,100.0,43,2/2,14
Daniel Carlson,LV,IND,17,2023,True,2/2,100.0,40,2/2,8
Matt Gay,IND,LV,17,2023,False,3/3,100.0,45,2/2,11
Younghoe Koo,ATL,CIN,7,2022,True,1/1,100.0,43,2/2,5
Evan McPherson,CIN,ATL,7,2022,False,0/0,0.0,0,5/5,5
Joey Slye,WSH,DAL,16,2021,True,0/0,0.0,0,2/2,2
Greg Zuerlein,DAL,WSH,16,2021,False,0/0,0.0,0,8/8,8
Greg Joseph,MIN,CHI,6,2023,True,2/3,67.0,53,1/2,7
Cairo Santos,CHI,MIN,6,2023,False,2/2,100.0,53,1/1,7
Evan McPherson,CIN,SF,8,2023,True,1/2,50.0,56,4/4,7
Jake Moody,SF,CIN,8,2023,False,1/1,100.0,36,2/2,5
Nick Folk,NE,CAR,9,2021,True,1/2,50.0,37,3/3,6
Zane Gonzalez,CAR,NE,9,2021,False,2/2,100.0,49,0/0,6
Jake Elliott,PHI,NE,1,2023,True,4/4,100.0,56,1/2,13
Chad Ryland,NE,PHI,1,2023,False,0/0,0.0,0,2/2,2
Brandon McManus,JAX,NO,7,2023,True,1/1,100.0,43,4/4,7
Blake Grupe,NO,JAX,7,2023,False,3/4,75.0,42,1/1,10
Ryan Succop,TB,IND,12,2021,True,1/1,100.0,25,5/5,8
Michael Badgley,IND,TB,12,2021,False,1/1,100.0,45,4/4,7
Riley Patterson,JAX,IND,2,2022,False,1/1,100.0,52,3/3,6
Wil Lutz,NO,LV,8,2022,False,1/2,50.0,37,3/3,6
Ka'imi Fairbairn,HOU,JAX,15,2021,True,3/3,100.0,52,3/3,12
Matthew Wright,JAX,HOU,15,2021,False,3/3,100.0,38,1/1,10
Michael Badgley,DET,MIN,16,2023,True,1/1,100.0,37,3/4,6
Greg Joseph,MIN,DET,16,2023,False,1/1,100.0,26,3/3,6
Harrison Butker,KC,MIN,5,2023,True,2/2,100.0,40,3/3,9
Greg Joseph,MIN,KC,5,2023,False,2/2,100.0,40,2/2,8
Tyler Bass,BUF,CAR,15,2021,False,1/1,100.0,26,4/4,7
Chase McLaughlin,CLE,MIN,4,2021,True,2/2,100.0,53,0/0,6
Greg Joseph,MIN,CLE,4,2021,False,0/0,0.0,0,1/1,1
Jake Elliott,PHI,TB,3,2023,True,3/3,100.0,38,2/2,11
Chase McLaughlin,TB,PHI,3,2023,False,1/1,100.0,33,0/0,3
Cairo Santos,CHI,DET,11,2023,True,4/4,100.0,53,2/2,14
Riley Patterson,DET,CHI,11,2023,False,0/0,0.0,0,3/3,3
Harrison Butker,KC,LAC,15,2021,True,2/2,100.0,33,2/2,8
Dustin Hopkins,LAC,KC,15,2021,False,0/0,0.0,0,4/4,4
Matt Gay,LAR,SEA,5,2021,True,2/2,100.0,47,2/3,8
Jason Myers,SEA,LAR,5,2021,False,1/2,50.0,32,2/2,5
Randy Bullock,TEN,JAX,5,2021,True,1/1,100.0,34,4/5,7
Matthew Wright,JAX,TEN,5,2021,False,0/1,0.0,0,1/2,1
Matt Ammendola,KC,IND,3,2022,True,1/2,50.0,26,0/1,3
Chase McLaughlin,IND,KC,3,2022,False,2/2,100.0,51,2/2,8
Dustin Hopkins,LAC,PHI,9,2021,True,2/2,100.0,30,1/2,7
Jake Elliott,PHI,LAC,9,2021,False,1/1,100.0,24,3/3,6
Blake Grupe,NO,CAR,2,2023,True,2/2,100.0,28,2/2,8
Eddy Pineiro,CAR,NO,2,2023,False,3/3,100.0,54,0/0,9
Mason Crosby,GB,KC,9,2021,True,0/2,0.0,0,1/1,1
Harrison Butker,KC,GB,9,2021,False,2/2,100.0,55,1/1,7
Jake Elliott,PHI,DET,8,2021,True,3/3,100.0,43,5/5,14
Austin Seibert,DET,PHI,8,2021,False,0/1,0.0,0,0/0,0
Chris Boswell,PIT,CIN,1,2022,True,3/4,75.0,53,2/2,11
Evan McPherson,CIN,PIT,1,2022,False,2/3,67.0,59,0/1,6
Brandon McManus,DEN,TEN,10,2022,True,1/1,100.0,39,1/1,4
Randy Bullock,TEN,DEN,10,2022,False,1/1,100.0,35,2/2,5
Brandon McManus,DEN,NYJ,3,2021,False,4/4,100.0,47,2/2,14
Evan McPherson,CIN,JAX,13,2023,True,2/3,67.0,54,4/4,10
Brandon McManus,JAX,CIN,13,2023,False,1/2,50.0,40,4/4,7
Evan McPherson,CIN,DAL,2,2022,True,3/3,100.0,50,0/0,9
Brett Maher,DAL,CIN,2,2022,False,2/2,100.0,54,2/2,8
Anders Carlson,GB,DET,12,2023,True,1/2,50.0,43,2/3,5
Riley Patterson,DET,GB,12,2023,False,0/0,0.0,0,0/1,0
Tyler Bass,BUF,CIN,9,2023,True,1/1,100.0,34,1/1,4
Evan McPherson,CIN,BUF,9,2023,False,1/1,100.0,20,3/3,6
Randy Bullock,TEN,IND,4,2022,True,1/1,100.0,44,3/3,6
Chase McLaughlin,IND,TEN,4,2022,False,1/2,50.0,27,2/2,5
Graham Gano,NYG,BUF,6,2023,True,3/3,100.0,43,0/0,9
Tyler Bass,BUF,NYG,6,2023,False,0/2,0.0,0,2/2,2
Dustin Hopkins,CLE,IND,7,2023,True,4/4,100.0,58,3/3,15
Matt Gay,IND,CLE,7,2023,False,1/2,50.0,27,5/5,8
Eddy Pineiro,CAR,DET,5,2023,True,1/1,100.0,33,3/3,6
Riley Patterson,DET,CAR,5,2023,False,0/0,0.0,0,6/6,6
Evan McPherson,CIN,CLE,1,2023,True,1/2,50.0,42,0/0,3
Dustin Hopkins,CLE,CIN,1,2023,False,3/3,100.0,43,1/1,10
Matt Gay,LAR,BAL,17,2021,True,0/1,0.0,0,2/2,2
Justin Tucker,BAL,LAR,17,2021,False,4/4,100.0,46,1/1,13
Randy Bullock,NYG,NO,15,2023,True,1/1,100.0,56,0/0,3
Jamie Gillan,NYG,NO,15,2023,True,1/1,100.0,40,0/0,3
Blake Grupe,NO,NYG,15,2023,False,1/1,100.0,50,3/3,6
Jason Myers,SEA,MIN,3,2021,True,1/2,50.0,53,2/2,5
Greg Joseph,MIN,SEA,3,2021,False,3/3,100.0,43,3/3,12
Mason Crosby,GB,BUF,8,2022,True,1/2,50.0,38,2/2,5
Tyler Bass,BUF,GB,8,2022,False,2/2,100.0,42,3/3,9
Chase McLaughlin,IND,DEN,5,2022,True,4/4,100.0,52,0/0,12
Brandon McManus,DEN,IND,5,2022,False,3/4,75.0,45,0/0,9
Randy Bullock,TEN,WSH,5,2022,True,0/0,0.0,0,3/3,3
Joey Slye,WSH,TEN,5,2022,False,1/1,100.0,50,2/2,5
Ka'imi Fairbairn,HOU,ARI,7,2021,True,1/1,100.0,53,0/0,3
Matt Prater,ARI,HOU,7,2021,False,1/1,100.0,31,4/4,7
Chad Ryland,NE,BUF,17,2023,True,0/1,0.0,0,3/3,3
Tyler Bass,BUF,NE,17,2023,False,2/2,100.0,35,3/3,9
Brian Johnson,NO,SEA,7,2021,True,2/2,100.0,33,1/1,7
Jason Myers,SEA,NO,7,2021,False,1/3,33.0,50,1/1,4
Greg Zuerlein,NYJ,LV,10,2023,True,4/4,100.0,53,0/0,12
Daniel Carlson,LV,NYJ,10,2023,False,3/3,100.0,54,1/1,10
Mason Crosby,GB,SEA,10,2021,False,1/2,50.0,27,2/2,5
Brett Maher,DAL,GB,10,2022,True,0/0,0.0,0,4/4,4
Mason Crosby,GB,DAL,10,2022,False,1/2,50.0,28,4/4,7
Younghoe Koo,ATL,SF,15,2021,True,2/2,100.0,48,1/1,7
Robbie Gould,SF,ATL,15,2021,False,1/1,100.0,30,4/4,7
Chris Boswell,PIT,CIN,12,2023,True,3/3,100.0,41,1/1,10
Evan McPherson,CIN,PIT,12,2023,False,1/1,100.0,47,1/1,4
Chase McLaughlin,TB,SF,11,2023,True,0/0,0.0,0,2/2,2
Jake Moody,SF,TB,11,2023,False,2/2,100.0,37,3/3,9
Younghoe Koo,ATL,BAL,16,2022,True,3/3,100.0,37,0/0,9
Justin Tucker,BAL,ATL,16,2022,False,3/4,75.0,27,0/0,9
Chris Boswell,PIT,CLE,8,2021,True,1/1,100.0,31,0/0,3
Chase McLaughlin,CLE,PIT,8,2021,False,1/1,100.0,30,1/1,4
Cairo Santos,CHI,ATL,11,2022,True,1/2,50.0,41,3/3,6
Younghoe Koo,ATL,CHI,11,2022,False,2/2,100.0,53,3/3,9
Joey Slye,WSH,SEA,10,2023,True,2/2,100.0,49,2/3,8
Jason Myers,SEA,WSH,10,2023,False,5/5,100.0,45,2/2,17
Tyler Bass,BUF,NE,7,2023,True,1/2,50.0,36,2/2,5
Chad Ryland,NE,BUF,7,2023,False,3/3,100.0,49,2/2,11
Cairo Santos,CHI,KC,3,2023,True,1/1,100.0,21,1/1,4
Harrison Butker,KC,CHI,3,2023,False,2/2,100.0,41,5/5,11
Michael Badgley,DET,NYJ,15,2022,True,2/3,67.0,34,2/2,8
Greg Zuerlein,NYJ,DET,15,2022,False,1/2,50.0,34,2/2,5
Jake Elliott,PHI,ATL,1,2021,True,1/1,100.0,43,3/3,6
Younghoe Koo,ATL,PHI,1,2021,False,2/2,100.0,27,0/0,6
Jason Sanders,MIA,DET,8,2022,True,1/1,100.0,45,4/4,7
Michael Badgley,DET,MIA,8,2022,False,2/2,100.0,42,3/3,9
Jake Moody,SF,ARI,15,2023,True,1/1,100.0,43,6/6,9
Matt Prater,ARI,SF,15,2023,False,3/3,100.0,58,2/2,11
Younghoe Koo,ATL,NYJ,13,2023,True,2/2,100.0,42,1/1,7
Greg Zuerlein,NYJ,ATL,13,2023,False,2/2,100.0,46,0/0,6
Dustin Hopkins,LAC,HOU,4,2022,True,2/2,100.0,37,4/4,10
Ka'imi Fairbairn,HOU,LAC,4,2022,False,1/2,50.0,40,3/3,6
Matt Prater,ARI,PHI,17,2023,True,2/2,100.0,34,3/3,9
Jake Elliott,PHI,ARI,17,2023,False,1/1,100.0,43,4/4,7
Tristan Vizcaino,LAC,BAL,6,2021,True,0/0,0.0,0,0/1,0
Justin Tucker,BAL,LAC,6,2021,False,2/2,100.0,52,4/4,10
Joey Slye,WSH,CAR,11,2021,True,2/2,100.0,36,3/3,9
Zane Gonzalez,CAR,WSH,11,2021,False,0/0,0.0,0,3/3,3
Younghoe Koo,ATL,MIA,7,2021,True,3/3,100.0,36,3/3,12
Jason Sanders,MIA,ATL,7,2021,False,0/1,0.0,0,4/4,4
Nick Folk,NE,GB,4,2022,True,1/1,100.0,37,3/3,6
Mason Crosby,GB,NE,4,2022,False,2/2,100.0,38,3/3,9
Mason Crosby,GB,MIA,16,2022,True,4/4,100.0,46,2/2,14
Jason Sanders,MIA,GB,16,2022,False,2/3,67.0,46,2/2,8
Cameron Dicker,LAC,LV,15,2023,True,0/0,0.0,0,3/3,3
Daniel Carlson,LV,LAC,15,2023,False,0/0,0.0,0,9/9,9
Nick Folk,NE,NYJ,2,2021,True,4/4,100.0,49,1/2,13
Matt Ammendola,NYJ,NE,2,2021,False,2/3,67.0,35,0/0,6
Matt Gay,LAR,MIN,16,2021,True,3/3,100.0,32,3/3,12
Greg Joseph,MIN,LAR,16,2021,False,3/3,100.0,44,2/2,11
Chase McLaughlin,TB,CAR,18,2023,True,3/3,100.0,57,0/0,9
Matthew Wright,CAR,TB,18,2023,False,0/1,0.0,0,0/0,0
Ryan Santoso,DET,PIT,10,2021,True,1/2,50.0,20,1/2,4
Chris Boswell,PIT,DET,10,2021,False,3/3,100.0,51,1/1,10
Jason Sanders,MIA,NE,1,2021,True,1/1,100.0,48,2/2,5
Nick Folk,NE,MIA,1,2021,False,3/3,100.0,42,1/1,10
Zane Gonzalez,CAR,NYG,7,2021,True,1/1,100.0,45,0/0,3
Graham Gano,NYG,CAR,7,2021,False,3/3,100.0,53,2/2,11
Graham Gano,NYG,PHI,16,2021,True,1/1,100.0,54,1/1,4
Jake Elliott,PHI,NYG,16,2021,False,2/3,67.0,37,4/4,10
Ryan Succop,TB,ARI,16,2022,True,4/4,100.0,42,1/1,13
Matt Prater,ARI,TB,16,2022,False,3/3,100.0,56,1/1,10
Wil Lutz,DEN,LV,18,2023,True,0/0,0.0,0,2/2,2
Daniel Carlson,LV,DEN,18,2023,False,2/2,100.0,49,3/3,9
Dustin Hopkins,LAC,DEN,12,2021,True,0/1,0.0,0,1/1,1
Brandon McManus,DEN,LAC,12,2021,False,0/0,0.0,0,4/4,4
Lucas Havrisik,LAR,DAL,8,2023,True,2/2,100.0,47,0/0,6
Brandon Aubrey,DAL,LAR,8,2023,False,2/2,100.0,58,5/5,11
Greg Joseph,MIN,CAR,6,2021,True,3/5,60.0,38,1/1,10
Zane Gonzalez,CAR,MIN,6,2021,False,2/2,100.0,47,2/2,8
Cameron Dicker,LAC,ARI,12,2022,True,1/1,100.0,26,2/2,5
Matt Prater,ARI,LAC,12,2022,False,1/2,50.0,43,3/3,6
Austin Seibert,DET,LAR,7,2021,True,4/4,100.0,47,1/1,13
Matt Gay,LAR,DET,7,2021,False,2/2,100.0,47,2/2,8
Matt Ammendola,ARI,SEA,6,2022,True,1/1,100.0,23,0/1,3
Jason Myers,SEA,ARI,6,2022,False,4/4,100.0,39,1/1,13
Jake Moody,SF,SEA,12,2023,True,1/1,100.0,32,4/4,7
Jason Myers,SEA,SF,12,2023,False,2/3,67.0,51,1/1,7
Mason Crosby,GB,ARI,8,2021,True,1/1,100.0,21,3/3,6
Matt Prater,ARI,GB,8,2021,False,0/0,0.0,0,3/3,3
Younghoe Koo,ATL,WSH,12,2022,True,2/3,67.0,48,1/1,7
Joey Slye,WSH,ATL,12,2022,False,2/2,100.0,45,1/2,7
Ryan Succop,TB,SF,14,2022,True,0/1,0.0,0,1/1,1
Robbie Gould,SF,TB,14,2022,False,0/0,0.0,0,5/5,5
Younghoe Koo,ATL,ARI,10,2023,True,1/1,100.0,36,2/2,5
Matt Prater,ARI,ATL,10,2023,False,4/4,100.0,56,1/1,13
Harrison Butker,KC,CIN,17,2021,True,1/1,100.0,34,4/4,7
Evan McPherson,CIN,KC,17,2021,False,2/2,100.0,46,4/4,10
Harrison Butker,KC,DEN,14,2022,True,2/2,100.0,45,4/4,10
Brandon McManus,DEN,KC,14,2022,False,0/0,0.0,0,4/4,4
Brandon McManus,JAX,TEN,18,2023,True,2/2,100.0,44,2/2,8
Nick Folk,TEN,JAX,18,2023,False,0/0,0.0,0,4/4,4
Michael Badgley,IND,SF,7,2021,True,1/1,100.0,42,3/3,6
Joey Slye,SF,IND,7,2021,False,2/2,100.0,56,0/1,6
Cairo Santos,CHI,DET,12,2021,True,3/4,75.0,43,1/1,10
Riley Patterson,DET,CHI,12,2021,False,0/0,0.0,0,2/2,2
Brett Maher,DAL,PHI,6,2022,True,1/2,50.0,30,2/2,5
Jake Elliott,PHI,DAL,6,2022,False,2/2,100.0,51,2/2,8
Jake Elliott,PHI,DAL,14,2023,True,2/2,100.0,52,1/1,7
Brandon Aubrey,DAL,PHI,14,2023,False,4/4,100.0,60,3/3,15
Dustin Hopkins,LAC,KC,2,2022,True,1/1,100.0,31,3/3,6
Matt Ammendola,KC,LAC,2,2022,False,2/2,100.0,31,3/3,9
Harrison Butker,KC,NYJ,4,2023,True,3/3,100.0,37,2/2,11
Greg Zuerlein,NYJ,KC,4,2023,False,1/2,50.0,31,1/1,4
Joey Slye,WSH,ATL,6,2023,True,1/1,100.0,37,3/3,6
Younghoe Koo,ATL,WSH,6,2023,False,1/1,100.0,47,1/1,4
Matt Gay,IND,TEN,13,2023,True,4/4,100.0,46,1/1,13
Nick Folk,TEN,IND,13,2023,False,2/2,100.0,46,2/3,8
Brandon McManus,DEN,JAX,2,2021,True,3/3,100.0,46,2/2,11
Josh Lambo,JAX,DEN,2,2021,False,0/2,0.0,0,1/1,1
Mason Crosby,GB,CHI,13,2022,True,2/2,100.0,32,2/2,8
Cairo Santos,CHI,GB,13,2022,False,2/3,67.0,40,1/2,7
Dustin Hopkins,CLE,DEN,12,2023,True,2/2,100.0,36,0/0,6
Wil Lutz,DEN,CLE,12,2023,False,2/2,100.0,34,3/3,9
Chase McLaughlin,IND,NYG,17,2022,True,1/2,50.0,23,1/1,4
Graham Gano,NYG,IND,17,2022,False,1/1,100.0,36,5/5,8
Matt Prater,ARI,CHI,16,2023,True,1/1,100.0,55,1/1,4
Cairo Santos,CHI,ARI,16,2023,False,2/2,100.0,49,3/3,9
Matt Prater,ARI,DEN,15,2022,True,3/3,100.0,55,0/0,9
Brandon McManus,DEN,ARI,15,2022,False,1/2,50.0,52,3/3,6
Brett Maher,DAL,JAX,15,2022,True,2/2,100.0,53,4/4,10
Riley Patterson,JAX,DAL,15,2022,False,2/2,100.0,48,4/4,10
Jason Sanders,MIA,LAC,14,2022,True,1/1,100.0,55,2/2,5
Cameron Dicker,LAC,MIA,14,2022,False,3/3,100.0,33,2/2,11
Ryan Succop,TB,CAR,7,2022,True,1/1,100.0,27,0/0,3
Eddy Pineiro,CAR,TB,7,2022,False,0/0,0.0,0,3/3,3
Ka'imi Fairbairn,HOU,NYG,10,2022,True,3/3,100.0,46,1/1,10
Graham Gano,NYG,HOU,10,2022,False,1/1,100.0,49,3/3,6
Harrison Butker,KC,NE,15,2023,True,2/3,67.0,54,3/3,9
Chad Ryland,NE,KC,15,2023,False,1/2,50.0,25,2/2,5
Cade York,CLE,ATL,4,2022,True,2/2,100.0,45,2/2,8
Younghoe Koo,ATL,CLE,4,2022,False,3/3,100.0,45,2/2,11
Mason Crosby,GB,CIN,5,2021,True,4/7,57.0,49,1/2,13
Evan McPherson,CIN,GB,5,2021,False,0/2,0.0,0,2/2,2
Matt Gay,IND,BAL,3,2023,True,5/5,100.0,54,1/1,16
Justin Tucker,BAL,IND,3,2023,False,1/2,50.0,50,2/2,5
Tyler Bass,BUF,NE,16,2021,True,2/2,100.0,34,3/3,9
Nick Folk,NE,BUF,16,2021,False,0/0,0.0,0,3/3,3
Riley Patterson,DET,NO,13,2023,True,2/2,100.0,32,3/3,9
Blake Grupe,NO,DET,13,2023,False,0/0,0.0,0,4/4,4
Randy Bullock,TEN,JAX,14,2021,False,2/3,67.0,44,2/2,8
Graham Gano,NYG,NO,4,2021,True,2/3,67.0,48,1/1,7
Aldrick Rosas,NO,NYG,4,2021,False,0/1,0.0,0,3/3,3
Chris Boswell,PIT,MIN,14,2021,True,0/1,0.0,0,2/2,2
Greg Joseph,MIN,PIT,14,2021,False,3/4,75.0,42,3/4,12
Chris Boswell,PIT,CAR,15,2022,True,1/1,100.0,50,3/3,6
Eddy Pineiro,CAR,PIT,15,2022,False,3/3,100.0,52,1/1,10
Lirim Hajrullahu,CAR,TB,18,2021,True,1/1,100.0,35,2/2,5
Ryan Succop,TB,CAR,18,2021,False,2/3,67.0,40,5/5,11
Tyler Bass,BUF,KC,14,2023,True,2/2,100.0,39,2/2,8
Harrison Butker,KC,BUF,14,2023,False,1/1,100.0,27,2/2,5
Matt Prater,ARI,PIT,13,2023,True,1/1,100.0,51,3/3,6
Chris Boswell,PIT,ARI,13,2023,False,1/2,50.0,29,1/1,4
Cairo Santos,CHI,DET,17,2022,True,1/1,100.0,23,1/1,4
Michael Badgley,DET,CHI,17,2022,False,2/2,100.0,41,5/5,11
Chris Boswell,PIT,BAL,18,2023,True,1/1,100.0,25,2/2,5
Justin Tucker,BAL,PIT,18,2023,False,1/1,100.0,36,1/1,4
Younghoe Koo,ATL,TEN,8,2023,True,3/3,100.0,49,2/2,11
Nick Folk,TEN,ATL,8,2023,False,0/0,0.0,0,4/4,4
Ryan Succop,TB,NYJ,17,2021,True,2/2,100.0,39,2/2,8
Eddy Pineiro,NYJ,TB,17,2021,False,1/1,100.0,51,3/3,6
Chris Boswell,PIT,IND,15,2023,True,0/0,0.0,0,1/2,1
Matt Gay,IND,PIT,15,2023,False,3/5,60.0,42,3/3,12
Cairo Santos,CHI,GB,14,2021,True,3/3,100.0,44,3/3,12
Mason Crosby,GB,CHI,14,2021,False,1/1,100.0,20,6/6,9
Ka'imi Fairbairn,HOU,TEN,11,2021,True,3/3,100.0,43,1/2,10
Randy Bullock,TEN,HOU,11,2021,False,0/0,0.0,0,1/2,1
Harrison Butker,KC,GB,13,2023,True,2/2,100.0,34,1/1,7
Anders Carlson,GB,KC,13,2023,False,2/2,100.0,48,3/3,9
Cade York,CLE,WSH,17,2022,True,1/1,100.0,37,3/3,6
Joey Slye,WSH,CLE,17,2022,False,1/1,100.0,43,1/1,4
Jake Elliott,PHI,DET,1,2022,True,1/1,100.0,23,5/5,8
Austin Seibert,DET,PHI,1,2022,False,0/0,0.0,0,5/5,5
Cairo Santos,CHI,PIT,9,2021,True,2/3,67.0,30,3/3,9
Chris Boswell,PIT,CHI,9,2021,False,3/3,100.0,54,2/3,11
Riley Patterson,JAX,KC,10,2022,True,1/3,33.0,35,2/2,5
Harrison Butker,KC,JAX,10,2022,False,0/0,0.0,0,3/4,3
Joey Slye,WSH,SF,16,2022,True,0/0,0.0,0,2/2,2
Robbie Gould,SF,WSH,16,2022,False,3/3,100.0,35,4/4,13
Greg Zuerlein,NYJ,GB,6,2022,True,2/3,67.0,32,3/3,9
Mason Crosby,GB,NYJ,6,2022,False,1/2,50.0,29,1/1,4
Daniel Carlson,LV,KC,16,2023,True,2/2,100.0,35,0/0,6
Harrison Butker,KC,LV,16,2023,False,0/1,0.0,0,2/2,2
Elliott Fry,CIN,CLE,18,2021,True,1/1,100.0,36,1/1,4
Chase McLaughlin,CLE,CIN,18,2021,False,0/0,0.0,0,3/3,3
Jake Moody,SF,LAR,2,2023,True,3/3,100.0,57,3/3,12
Brett Maher,LAR,SF,2,2023,False,3/3,100.0,48,2/2,11
Chad Ryland,NE,DEN,16,2023,True,2/3,67.0,56,2/3,8
Wil Lutz,DEN,NE,16,2023,False,0/1,0.0,0,1/1,1
Daniel Carlson,LV,DET,8,2023,True,0/0,0.0,0,2/2,2
Riley Patterson,DET,LV,8,2023,False,4/5,80.0,52,2/2,14
Greg Zuerlein,NYJ,SEA,17,2022,True,2/3,67.0,44,0/0,6
Jason Myers,SEA,NYJ,17,2022,False,3/4,75.0,31,2/2,11
Jason Sanders,MIA,NYJ,15,2023,False,3/3,100.0,37,3/3,12
Randy Bullock,TEN,SEA,2,2021,True,4/5,80.0,36,3/3,15
Jason Myers,SEA,TEN,2,2021,False,1/1,100.0,31,3/4,6
Matthew Wright,PIT,ATL,13,2022,True,4/4,100.0,48,1/1,13
Younghoe Koo,ATL,PIT,13,2022,False,3/3,100.0,51,1/1,10
Daniel Carlson,LV,PIT,16,2022,True,1/1,100.0,40,1/1,4
Chris Boswell,PIT,LV,16,2022,False,2/4,50.0,44,1/1,7
Daniel Carlson,LV,LAC,4,2023,True,1/1,100.0,22,2/2,5
Cameron Dicker,LAC,LV,4,2023,False,1/1,100.0,33,3/3,6
Jake Elliott,PHI,DAL,16,2022,True,2/2,100.0,47,4/4,10
Brett Maher,DAL,PHI,16,2022,False,4/4,100.0,48,4/4,16
Greg Zuerlein,NYJ,DEN,7,2022,True,3/3,100.0,45,1/1,10
Brandon McManus,DEN,NYJ,7,2022,False,1/2,50.0,44,0/1,3
Nick Folk,NE,MIN,12,2022,True,4/4,100.0,46,2/2,14
Greg Joseph,MIN,NE,12,2022,False,2/2,100.0,36,3/4,9
Younghoe Koo,ATL,NO,9,2021,True,2/2,100.0,32,3/3,9
Brian Johnson,NO,ATL,9,2021,False,2/2,100.0,52,1/1,7
Brandon McManus,JAX,HOU,12,2023,True,3/4,75.0,53,1/1,10
Matt Ammendola,HOU,JAX,12,2023,False,0/2,0.0,0,3/3,3
Matt Ammendola,NYJ,NE,7,2021,True,0/1,0.0,0,1/1,1
Nick Folk,NE,NYJ,7,2021,False,2/2,100.0,50,6/7,12
Greg Joseph,MIN,GB,17,2021,True,1/1,100.0,51,1/1,4
