name,team,opponent,week,season,isHome,FG,PCT,LONG,XP,PTS
Dominik Eberle,HOU,LAC,16,2021,False,2/3,67.0,51,5/5,11
Daniel Carlson,LV,TEN,3,2022,True,3/3,100.0,35,1/1,10
Randy Bullock,TEN,LV,3,2022,False,1/1,100.0,48,3/3,6
Eddy Pineiro,CAR,TB,13,2023,True,1/1,100.0,23,1/1,4
Chase McLaughlin,TB,CAR,13,2023,False,0/0,0.0,0,3/3,3
Matt Gay,LAR,HOU,8,2021,True,1/1,100.0,27,5/5,8
Ka'imi Fairbairn,HOU,LAR,8,2021,False,0/1,0.0,0,2/2,2
Cameron Dicker,LAC,TEN,2,2023,True,3/3,100.0,33,1/1,10
Nick Folk,TEN,LAC,2,2023,False,2/2,100.0,41,3/3,9
Evan McPherson,CIN,ARI,5,2023,True,2/2,100.0,40,4/4,10
Matt Prater,ARI,CIN,5,2023,False,0/0,0.0,0,2/3,2
Graham Gano,NYG,WSH,2,2021,True,5/5,100.0,55,2/2,17
Dustin Hopkins,WSH,NYG,2,2021,False,3/3,100.0,49,3/3,12
Evan McPherson,CIN,DEN,15,2021,True,3/3,100.0,58,0/0,9
Brandon McManus,DEN,CIN,15,2021,False,1/2,50.0,54,1/1,4
Matt Prater,ARI,SF,9,2021,True,1/1,100.0,26,4/4,7
Robbie Gould,SF,ARI,9,2021,False,1/1,100.0,26,2/2,5
Evan McPherson,CIN,TEN,12,2022,True,2/2,100.0,47,2/2,8
Caleb Shudak,TEN,CIN,12,2022,False,3/4,75.0,38,1/1,10
Nick Folk,NE,IND,15,2021,True,1/1,100.0,25,2/2,5
Michael Badgley,IND,NE,15,2021,False,2/3,67.0,41,3/3,9
Matt Gay,IND,ATL,16,2023,True,1/1,100.0,33,1/1,4
Younghoe Koo,ATL,IND,16,2023,False,5/5,100.0,47,2/2,17
Wil Lutz,NO,PIT,10,2022,True,1/1,100.0,44,1/1,4
Matthew Wright,PIT,NO,10,2022,False,2/4,50.0,33,2/2,8
