name,team,opponent,week,season,isHome,NO,YDS,AVG,TB,In 20,LONG
Cameron Johnston,HOU,TEN,15,2023,True,6,280,46.7,0,3,56
Ty Zentner,TEN,HOU,15,2023,False,8,362,45.3,1,1,58
Riley Dixon,DEN,MIA,3,2023,True,5,234,46.8,0,3,61
Jake Bailey,MIA,DEN,3,2023,False,1,48,48.0,0,0,48
AJ Cole,LV,PIT,16,2022,True,5,208,41.6,0,1,47
Pressley Harvin III,PIT,LV,16,2022,False,3,140,46.7,0,1,55
Riley Dixon,LAR,NO,11,2022,True,6,286,47.7,0,1,60
Blake Gillikin,NO,LAR,11,2022,False,5,239,47.8,0,3,55
AJ Cole,LV,DEN,11,2022,True,4,187,46.8,0,1,58
Corliss Waitman,DEN,LV,11,2022,False,4,187,46.8,0,0,54
Pat O'Donnell,GB,PHI,12,2022,True,2,83,41.5,0,1,42
Arryn Siposs,PHI,GB,12,2022,False,1,52,52.0,0,1,52
Riley Dixon,DEN,LV,18,2023,True,5,278,55.6,1,1,64
AJ Cole,LV,DEN,18,2023,False,4,234,58.5,0,1,66
Rigoberto Sanchez,IND,TEN,3,2021,True,4,197,49.3,0,1,56
Brett Kern,TEN,IND,3,2021,False,1,42,42.0,0,0,42
Daniel Whelan,GB,MIN,17,2023,True,2,99,49.5,0,0,54
Ryan Wright,MIN,GB,17,2023,False,4,205,51.3,1,1,68
Mitch Wishnowsky,SF,PIT,1,2023,True,3,134,44.7,0,3,56
Pressley Harvin III,PIT,SF,1,2023,False,6,254,42.3,0,1,57
Bryce Baringer,NE,NYJ,3,2023,True,8,322,40.3,0,4,50
Thomas Morstead,NYJ,NE,3,2023,False,8,410,51.3,2,1,58
Blake Gillikin,NO,TB,15,2021,True,9,412,45.8,0,4,58
Bradley Pinion,TB,NO,15,2021,False,8,336,42.0,0,3,53
Rigoberto Sanchez,IND,ATL,16,2023,True,4,193,48.3,0,2,55
Bradley Pinion,ATL,IND,16,2023,False,3,134,44.7,0,2,51
Brett Kern,TEN,NE,12,2021,True,2,95,47.5,0,0,48
Jake Bailey,NE,TEN,12,2021,False,1,48,48.0,0,1,48
Jake Camarda,TB,ARI,16,2022,True,5,244,48.8,0,0,57
Andy Lee,ARI,TB,16,2022,False,7,322,46.0,0,4,58
Brad Robbins,CIN,KC,17,2023,True,4,190,47.5,0,1,53
Tommy Townsend,KC,CIN,17,2023,False,1,57,57.0,0,1,57
Riley Dixon,NYG,MIA,13,2021,True,6,248,41.3,1,2,46
Michael Palardy,MIA,NYG,13,2021,False,6,290,48.3,0,3,65
Jordan Berry,MIN,LAC,10,2021,True,3,137,45.7,0,2,55
Ty Long,LAC,MIN,10,2021,False,5,242,48.4,0,2,59
Tress Way,WSH,DAL,18,2023,False,1,50,50.0,0,0,50
Ryan Wright,MIN,CHI,18,2022,True,1,35,35.0,0,0,35
Trenton Gill,CHI,MIN,18,2022,False,3,111,37.0,0,2,44
Matt Haack,IND,NYG,17,2022,True,4,147,36.8,0,1,45
Jamie Gillan,NYG,IND,17,2022,False,1,47,47.0,1,0,47
Pat O'Donnell,GB,BUF,8,2022,True,2,89,44.5,0,0,46
Sam Martin,BUF,GB,8,2022,False,2,73,36.5,0,1,44
Cameron Johnston,HOU,LV,7,2022,True,1,55,55.0,0,1,55
AJ Cole,LV,HOU,7,2022,False,2,93,46.5,0,1,50
Pressley Harvin III,PIT,SEA,17,2023,True,1,46,46.0,0,1,46
Michael Dickson,SEA,PIT,17,2023,False,3,159,53.0,2,0,66
Michael Dickson,SEA,LAR,15,2021,True,6,297,49.5,1,3,59
Johnny Hekker,LAR,SEA,15,2021,False,3,130,43.3,0,1,51
Jamie Gillan,NYG,DAL,12,2022,True,4,193,48.3,2,1,49
Bryan Anger,DAL,NYG,12,2022,False,1,51,51.0,0,0,51
Michael Dickson,SEA,LAR,13,2022,True,2,114,57.0,0,0,62
Riley Dixon,LAR,SEA,13,2022,False,3,164,54.7,0,2,60
Dustin Colquitt,ATL,NO,9,2021,True,5,224,44.8,0,1,52
Blake Gillikin,NO,ATL,9,2021,False,3,122,40.7,1,1,45
Bradley Pinion,ATL,DET,3,2023,True,6,295,49.2,0,1,57
Jack Fox,DET,ATL,3,2023,False,6,274,45.7,0,3,62
Bryan Anger,DAL,SF,5,2023,True,5,254,50.8,0,1,54
Mitch Wishnowsky,SF,DAL,5,2023,False,4,187,46.8,0,2,59
Ethan Evans,LAR,CIN,3,2023,True,6,306,51.0,0,1,58
Brad Robbins,CIN,LAR,3,2023,False,5,211,42.2,0,1,46
Mitch Wishnowsky,SF,LAR,8,2022,True,3,123,41.0,0,3,49
Riley Dixon,LAR,SF,8,2022,False,5,253,50.6,0,1,58
Thomas Morstead,MIA,CHI,9,2022,True,1,51,51.0,0,0,51
Trenton Gill,CHI,MIA,9,2022,False,2,83,41.5,0,0,46
Ryan Stonehouse,TEN,PIT,9,2023,True,3,171,57.0,0,3,61
Pressley Harvin III,PIT,TEN,9,2023,False,4,200,50.0,0,3,62
Jake Bailey,NE,ATL,11,2021,True,4,193,48.3,0,3,60
Dustin Colquitt,ATL,NE,11,2021,False,5,269,53.8,0,1,62
Sam Martin,DEN,NYG,1,2021,True,2,78,39.0,0,0,41
Riley Dixon,NYG,DEN,1,2021,False,3,162,54.0,1,0,61
Rigoberto Sanchez,IND,JAX,6,2023,True,3,143,47.7,0,1,52
Logan Cooke,JAX,IND,6,2023,False,4,203,50.8,0,1,62
Matt Haack,BUF,TEN,6,2021,True,2,93,46.5,0,0,53
Johnny Townsend,TEN,BUF,6,2021,False,2,107,53.5,0,0,63
Cameron Johnston,HOU,CLE,2,2021,True,4,209,52.3,1,1,56
Jamie Gillan,CLE,HOU,2,2021,False,2,80,40.0,0,1,43
Tress Way,WSH,DET,2,2022,True,6,284,47.3,1,1,62
Jack Fox,DET,WSH,2,2022,False,5,277,55.4,0,1,63
Ty Long,LAC,WSH,1,2021,True,2,94,47.0,0,0,47
Tress Way,WSH,LAC,1,2021,False,3,138,46.0,0,2,56
Logan Cooke,JAX,HOU,17,2022,True,5,217,43.4,0,4,57
Cameron Johnston,HOU,JAX,17,2022,False,6,274,45.7,0,2,53
Jack Fox,DET,MIN,16,2023,True,3,143,47.7,0,2,57
Ryan Wright,MIN,DET,16,2023,False,2,100,50.0,0,1,50
Jake Bailey,MIA,WSH,13,2023,True,3,127,42.3,0,1,47
Tress Way,WSH,MIA,13,2023,False,5,214,42.8,0,2,51
Cameron Johnston,HOU,SF,17,2021,True,7,328,46.9,1,1,53
Mitch Wishnowsky,SF,HOU,17,2021,False,4,159,39.8,0,2,52
Andy Lee,ARI,SEA,11,2021,True,4,165,41.3,1,0,48
Michael Dickson,SEA,ARI,11,2021,False,5,257,51.4,1,3,60
Pressley Harvin III,PIT,LV,3,2023,True,6,323,53.8,0,3,63
AJ Cole,LV,PIT,3,2023,False,5,262,52.4,1,1,60
Andy Lee,ARI,LAR,10,2022,True,5,237,47.4,1,1,58
Riley Dixon,LAR,ARI,10,2022,False,5,252,50.4,1,0,60
Blake Gillikin,NO,CAR,3,2022,True,6,285,47.5,1,2,55
Johnny Hekker,CAR,NO,3,2022,False,6,281,46.8,0,4,59
Brad Robbins,CIN,TEN,4,2023,True,5,257,51.4,1,0,62
Ryan Stonehouse,TEN,CIN,4,2023,False,2,93,46.5,0,2,48
Bryan Anger,DAL,NYG,3,2022,True,4,178,44.5,1,2,54
Jamie Gillan,NYG,DAL,3,2022,False,3,135,45.0,0,1,55
Matt Haack,BUF,TB,14,2021,True,6,286,47.7,0,4,63
Bradley Pinion,TB,BUF,14,2021,False,5,196,39.2,0,1,55
JK Scott,LAC,MIN,3,2023,True,3,112,37.3,0,1,52
Ryan Wright,MIN,LAC,3,2023,False,3,145,48.3,2,1,53
Jake Camarda,TB,CAR,7,2022,True,6,279,46.5,2,2,62
Johnny Hekker,CAR,TB,7,2022,False,7,360,51.4,1,2,62
Thomas Morstead,ATL,BUF,17,2021,True,4,159,39.8,1,1,48
Tommy Townsend,KC,TEN,7,2021,True,2,93,46.5,0,1,52
Brett Kern,TEN,KC,7,2021,False,2,94,47.0,0,2,49
Pressley Harvin III,PIT,CLE,11,2023,True,9,355,39.4,0,4,48
Corey Bojorquez,CLE,PIT,11,2023,False,8,380,47.5,1,3,65
Sam Martin,BUF,BAL,4,2022,True,3,136,45.3,0,1,56
Jordan Stout,BAL,BUF,4,2022,False,3,152,50.7,1,0,57
Andy Lee,ARI,CLE,6,2021,True,2,101,50.5,0,0,57
Jamie Gillan,CLE,ARI,6,2021,False,2,106,53.0,0,0,54
JK Scott,JAX,NE,17,2021,True,4,159,39.8,0,0,47
Jake Bailey,NE,JAX,17,2021,False,1,40,40.0,0,1,40
Blake Gillikin,NO,TB,13,2022,True,6,262,43.7,0,3,62
Jake Camarda,TB,NO,13,2022,False,5,247,49.4,2,1,66
Ty Zentner,HOU,JAX,3,2023,True,4,173,43.3,0,1,54
Logan Cooke,JAX,HOU,3,2023,False,2,94,47.0,1,1,54
Ryan Stonehouse,TEN,GB,11,2022,True,3,152,50.7,0,1,59
Pat O'Donnell,GB,TEN,11,2022,False,4,189,47.3,0,1,55
Jordan Berry,MIN,SF,12,2021,True,3,160,53.3,0,1,59
Mitch Wishnowsky,SF,MIN,12,2021,False,3,183,61.0,2,1,67
Jordan Stout,BAL,PIT,5,2023,True,4,154,38.5,0,3,50
Brad Wing,PIT,BAL,5,2023,False,6,257,42.8,1,2,47
Matt Haack,IND,MIN,15,2022,True,7,305,43.6,0,3,55
Ryan Wright,MIN,IND,15,2022,False,5,231,46.2,0,2,63
Michael Palardy,MIA,NE,1,2021,True,4,180,45.0,1,0,52
Jake Bailey,NE,MIA,1,2021,False,2,99,49.5,1,0,62
Johnny Hekker,LAR,SEA,5,2021,True,5,232,46.4,0,4,54
Michael Dickson,SEA,LAR,5,2021,False,4,202,50.5,0,4,68
Logan Cooke,JAX,NYJ,16,2022,True,2,64,32.0,0,2,38
Braden Mann,NYJ,JAX,16,2022,False,5,201,40.2,0,2,51
Mitch Wishnowsky,SF,DEN,3,2022,True,7,362,51.7,2,3,74
Corliss Waitman,DEN,SF,3,2022,False,10,476,47.6,0,6,57
Kevin Huber,CIN,BAL,7,2021,True,4,216,54.0,1,1,60
Sam Koch,BAL,CIN,7,2021,False,6,264,44.0,1,2,50
Jordan Berry,MIN,GB,17,2021,True,6,296,49.3,0,1,64
Corey Bojorquez,GB,MIN,17,2021,False,2,63,31.5,1,0,39
Cameron Johnston,HOU,CIN,10,2023,True,4,169,42.3,0,2,47
Brad Robbins,CIN,HOU,10,2023,False,5,259,51.8,0,2,56
Mitch Wishnowsky,SF,DET,1,2021,True,2,76,38.0,0,2,43
Jack Fox,DET,SF,1,2021,False,3,152,50.7,0,1,57
Brad Robbins,CIN,SF,8,2023,True,3,140,46.7,1,0,49
Mitch Wishnowsky,SF,CIN,8,2023,False,3,151,50.3,0,2,62
Pressley Harvin III,PIT,GB,4,2021,True,3,102,34.0,0,1,45
Corey Bojorquez,GB,PIT,4,2021,False,3,138,46.0,0,1,57
Thomas Morstead,NYJ,ATL,5,2021,True,4,205,51.3,0,2,59
Dustin Colquitt,ATL,NYJ,5,2021,False,2,56,28.0,0,1,32
JK Scott,LAC,ATL,9,2022,True,4,168,42.0,0,1,48
Bradley Pinion,ATL,LAC,9,2022,False,4,204,51.0,0,0,57
AJ Cole,LV,DET,8,2023,True,5,242,48.4,0,2,52
Jack Fox,DET,LV,8,2023,False,1,48,48.0,0,0,48
Tress Way,WSH,HOU,11,2022,True,5,221,44.2,1,1,52
Cameron Johnston,HOU,WSH,11,2022,False,6,286,47.7,0,1,53
Brad Wing,PIT,HOU,4,2023,True,5,238,47.6,1,1,52
Ty Zentner,HOU,PIT,4,2023,False,3,114,38.0,0,1,42
Daniel Whelan,GB,DEN,7,2023,True,3,155,51.7,1,2,59
Riley Dixon,DEN,GB,7,2023,False,3,132,44.0,0,0,49
Ryan Stonehouse,TEN,TB,10,2023,True,4,227,56.8,1,2,62
Jake Camarda,TB,TEN,10,2023,False,5,171,34.2,0,1,47
Corey Bojorquez,CLE,WSH,17,2022,True,4,187,46.8,0,2,64
Tress Way,WSH,CLE,17,2022,False,2,90,45.0,0,1,48
Jack Fox,DET,CHI,10,2022,True,4,185,46.3,0,0,59
Trenton Gill,CHI,DET,10,2022,False,3,129,43.0,1,1,46
Braden Mann,PHI,WSH,8,2023,True,2,117,58.5,1,0,59
Tress Way,WSH,PHI,8,2023,False,2,96,48.0,0,1,56
Johnny Hekker,CAR,NO,18,2022,True,6,281,46.8,0,4,54
Blake Gillikin,NO,CAR,18,2022,False,5,224,44.8,1,2,68
Blake Gillikin,NO,CLE,16,2022,True,6,254,42.3,1,2,52
Corey Bojorquez,CLE,NO,16,2022,False,5,213,42.6,1,3,57
Michael Palardy,MIA,NO,16,2021,True,6,255,42.5,0,3,47
Blake Gillikin,NO,MIA,16,2021,False,7,316,45.1,0,2,54
Ty Zentner,TEN,HOU,17,2023,True,5,248,49.6,0,2,64
Cameron Johnston,HOU,TEN,17,2023,False,3,155,51.7,0,1,54
Tommy Townsend,KC,BAL,2,2021,True,3,135,45.0,0,0,54
Sam Koch,BAL,KC,2,2021,False,2,95,47.5,0,1,49
Cameron Johnston,HOU,IND,6,2021,True,5,212,42.4,0,4,55
Rigoberto Sanchez,IND,HOU,6,2021,False,5,217,43.4,0,2,50
Braden Mann,NYJ,DEN,7,2022,True,8,438,54.8,3,2,72
Corliss Waitman,DEN,NYJ,7,2022,False,6,240,40.0,0,3,46
Tommy Townsend,KC,CIN,13,2022,True,1,55,55.0,0,0,55
Drue Chrisman,CIN,KC,13,2022,False,1,40,40.0,0,1,40
Corey Bojorquez,GB,CIN,5,2021,True,2,67,33.5,0,1,36
Kevin Huber,CIN,GB,5,2021,False,5,194,38.8,1,2,46
Jake Camarda,TB,GB,15,2023,True,1,65,65.0,0,1,65
Daniel Whelan,GB,TB,15,2023,False,2,94,47.0,0,1,51
JK Scott,LAC,TEN,2,2023,True,6,234,39.0,0,4,47
Ryan Stonehouse,TEN,LAC,2,2023,False,5,306,61.2,1,0,63
Bryce Baringer,NE,LV,6,2023,True,3,138,46.0,0,0,53
AJ Cole,LV,NE,6,2023,False,2,103,51.5,0,1,57
AJ Cole,LV,MIA,11,2023,True,6,315,52.5,0,2,61
Jake Bailey,MIA,LV,11,2023,False,3,143,47.7,0,2,66
Braden Mann,PHI,SEA,15,2023,True,5,248,49.6,0,3,61
Michael Dickson,SEA,PHI,15,2023,False,5,280,56.0,0,1,59
Bradley Pinion,ATL,CHI,17,2023,True,3,128,42.7,0,0,45
Trenton Gill,CHI,ATL,17,2023,False,4,195,48.8,1,0,53
Tommy Townsend,KC,LAC,18,2023,True,6,274,45.7,2,3,61
JK Scott,LAC,KC,18,2023,False,5,218,43.6,0,2,49
Bradley Pinion,ATL,WSH,12,2022,True,3,122,40.7,0,1,48
Tress Way,WSH,ATL,12,2022,False,3,127,42.3,0,2,45
Mitch Wishnowsky,SF,PHI,2,2021,True,5,226,45.2,0,3,52
Arryn Siposs,PHI,SF,2,2021,False,4,204,51.0,2,1,68
Sterling Hofrichter,TB,CAR,16,2021,True,3,123,41.0,0,1,45
Lachlan Edwards,CAR,TB,16,2021,False,5,253,50.6,0,1,60
Corliss Waitman,DEN,SEA,1,2022,True,1,36,36.0,0,1,36
Michael Dickson,SEA,DEN,1,2022,False,2,101,50.5,0,0,54
Tommy Townsend,KC,LV,12,2023,True,4,211,52.8,0,2,57
AJ Cole,LV,KC,12,2023,False,3,117,39.0,0,1,51
Tress Way,WSH,NYG,7,2023,True,10,513,51.3,1,4,58
Jamie Gillan,NYG,WSH,7,2023,False,8,395,49.4,0,2,58
Michael Dickson,SEA,SF,2,2022,True,5,249,49.8,0,1,54
Mitch Wishnowsky,SF,SEA,2,2022,False,3,132,44.0,0,2,47
Arryn Siposs,PHI,NYG,12,2021,True,3,130,43.3,0,2,46
Riley Dixon,NYG,PHI,12,2021,False,5,196,39.2,0,1,46
Ty Long,LAC,BAL,6,2021,True,5,262,52.4,1,1,69
Sam Koch,BAL,LAC,6,2021,False,2,86,43.0,0,1,53
Johnny Townsend,TEN,JAX,5,2021,True,4,170,42.5,1,1,45
Logan Cooke,JAX,TEN,5,2021,False,2,80,40.0,0,0,42
Ty Long,LAC,CIN,13,2021,True,4,169,42.3,1,0,49
Kevin Huber,CIN,LAC,13,2021,False,4,180,45.0,0,1,50
Sam Martin,BUF,KC,6,2022,True,2,108,54.0,0,0,63
Tommy Townsend,KC,BUF,6,2022,False,3,173,57.7,0,1,60
Lou Hedley,NO,GB,3,2023,True,7,293,41.9,0,2,49
Daniel Whelan,GB,NO,3,2023,False,4,153,38.3,0,2,45
Pressley Harvin III,PIT,IND,15,2023,True,4,160,40.0,0,1,55
Rigoberto Sanchez,IND,PIT,15,2023,False,1,57,57.0,0,1,57
Arryn Siposs,PHI,ARI,5,2022,True,4,184,46.0,0,3,55
Andy Lee,ARI,PHI,5,2022,False,4,196,49.0,0,2,55
Michael Dickson,SEA,HOU,14,2021,True,4,169,42.3,0,2,48
Cameron Johnston,HOU,SEA,14,2021,False,5,229,45.8,1,1,58
Pressley Harvin III,PIT,CLE,3,2022,True,5,212,42.4,0,1,48
Corey Bojorquez,CLE,PIT,3,2022,False,5,203,40.6,1,2,61
Cameron Johnston,HOU,DEN,2,2022,True,5,268,53.6,0,2,64
Corliss Waitman,DEN,HOU,2,2022,False,5,214,42.8,2,1,50
Sam Koch,BAL,PIT,13,2021,True,4,203,50.8,0,1,57
Pressley Harvin III,PIT,BAL,13,2021,False,5,217,43.4,0,1,64
Jamie Gillan,NYG,SF,3,2023,True,6,316,52.7,0,1,60
Mitch Wishnowsky,SF,NYG,3,2023,False,3,128,42.7,0,2,46
Andy Lee,ARI,DAL,17,2021,True,3,121,40.3,0,1,47
Bryan Anger,DAL,ARI,17,2021,False,4,195,48.8,0,2,57
AJ Cole,LV,DEN,1,2023,True,1,49,49.0,0,0,49
Riley Dixon,DEN,LV,1,2023,False,2,80,40.0,0,1,43
Johnny Hekker,CAR,TB,17,2022,True,5,251,50.2,1,3,58
Jake Camarda,TB,CAR,17,2022,False,5,227,45.4,0,2,50
Arryn Siposs,PHI,DAL,3,2021,True,6,258,43.0,0,2,51
Bryan Anger,DAL,PHI,3,2021,False,4,202,50.5,0,2,57
Bryan Anger,DAL,NYG,1,2023,True,3,146,48.7,1,1,56
Jamie Gillan,NYG,DAL,1,2023,False,3,160,53.3,0,0,62
Logan Cooke,JAX,KC,10,2022,True,6,281,46.8,2,2,63
Tommy Townsend,KC,JAX,10,2022,False,2,91,45.5,0,1,51
Thomas Morstead,NYJ,LV,10,2023,True,5,276,55.2,2,0,62
AJ Cole,LV,NYJ,10,2023,False,5,253,50.6,1,3,63
Ty Long,LAC,KC,3,2021,True,4,172,43.0,0,2,55
Tommy Townsend,KC,LAC,3,2021,False,1,51,51.0,0,0,51
Andy Lee,ARI,DEN,15,2022,True,6,299,49.8,0,2,59
Corliss Waitman,DEN,ARI,15,2022,False,5,224,44.8,0,3,56
Corey Bojorquez,CLE,DEN,12,2023,True,3,181,60.3,2,0,72
Riley Dixon,DEN,CLE,12,2023,False,5,226,45.2,0,1,50
Corliss Waitman,DEN,CAR,12,2022,True,7,367,52.4,0,2,58
Johnny Hekker,CAR,DEN,12,2022,False,5,255,51.0,0,4,59
Jamie Gillan,NYG,PHI,16,2023,True,4,158,39.5,0,1,44
Braden Mann,PHI,NYG,16,2023,False,2,108,54.0,0,0,54
Pat O'Donnell,CHI,MIN,18,2021,True,1,43,43.0,0,1,43
Jordan Berry,MIN,CHI,18,2021,False,6,272,45.3,0,2,57
Arryn Siposs,PHI,WSH,3,2022,True,6,277,46.2,2,4,53
Tress Way,WSH,PHI,3,2022,False,8,426,53.3,0,2,58
Pat O'Donnell,CHI,GB,14,2021,True,4,185,46.3,1,0,54
Corey Bojorquez,GB,CHI,14,2021,False,4,171,42.8,0,1,57
Riley Dixon,DEN,BUF,10,2023,True,5,242,48.4,2,2,63
Sam Martin,BUF,DEN,10,2023,False,3,134,44.7,0,0,46
Riley Dixon,LAR,SF,4,2022,True,4,229,57.3,0,0,60
Mitch Wishnowsky,SF,LAR,4,2022,False,4,158,39.5,1,1,43
Pat O'Donnell,GB,TB,3,2022,True,7,339,48.4,0,5,63
Jake Camarda,TB,GB,3,2022,False,6,297,49.5,0,1,62
Corey Bojorquez,GB,NO,1,2021,True,4,176,44.0,0,1,59
Blake Gillikin,NO,GB,1,2021,False,2,103,51.5,0,1,58
Ryan Wright,MIN,MIA,6,2022,True,10,441,44.1,0,6,73
Thomas Morstead,MIA,MIN,6,2022,False,6,307,51.2,1,2,63
Jordan Stout,BAL,LAC,12,2023,True,3,121,40.3,0,2,55
JK Scott,LAC,BAL,12,2023,False,3,156,52.0,0,1,57
Corey Bojorquez,CLE,LAR,13,2023,True,5,236,47.2,1,2,62
Ethan Evans,LAR,CLE,13,2023,False,5,293,58.6,2,1,64
Ethan Evans,LAR,DAL,8,2023,True,4,183,45.8,0,1,58
Bryan Anger,DAL,LAR,8,2023,False,2,93,46.5,0,1,52
Mitch Wishnowsky,SF,MIN,7,2023,True,1,62,62.0,0,0,62
Ryan Wright,MIN,SF,7,2023,False,1,42,42.0,1,0,42
Tommy Townsend,KC,IND,3,2022,True,3,170,56.7,0,2,65
Matt Haack,IND,KC,3,2022,False,3,154,51.3,0,2,57
Bryan Anger,DAL,LAR,5,2022,True,6,288,48.0,1,3,67
Riley Dixon,LAR,DAL,5,2022,False,5,223,44.6,0,2,53
Corey Bojorquez,CLE,IND,7,2023,True,5,272,54.4,0,1,69
Rigoberto Sanchez,IND,CLE,7,2023,False,5,260,52.0,0,1,57
Brad Robbins,CIN,JAX,13,2023,True,1,33,33.0,0,1,33
Logan Cooke,JAX,CIN,13,2023,False,5,203,40.6,0,2,43
Logan Cooke,JAX,HOU,1,2021,True,6,297,49.5,0,1,58
Cameron Johnston,HOU,JAX,1,2021,False,6,266,44.3,0,3,52
Bryan Anger,DAL,BUF,15,2023,True,5,275,55.0,0,3,62
Sam Martin,BUF,DAL,15,2023,False,2,95,47.5,1,0,49
AJ Cole,LV,CHI,7,2023,True,2,82,41.0,0,2,43
Trenton Gill,CHI,LV,7,2023,False,3,120,40.0,0,0,47
Jack Fox,DET,GB,4,2023,True,4,180,45.0,0,1,52
Daniel Whelan,GB,DET,4,2023,False,5,259,51.8,0,0,57
JK Scott,LAC,IND,16,2022,True,4,153,38.3,1,1,42
Matt Haack,IND,LAC,16,2022,False,3,146,48.7,0,1,53
Jack Fox,DET,ATL,16,2021,True,2,109,54.5,0,1,57
Thomas Morstead,ATL,DET,16,2021,False,2,115,57.5,0,1,61
Johnny Hekker,LAR,IND,2,2021,True,3,109,36.3,0,1,46
Rigoberto Sanchez,IND,LAR,2,2021,False,2,85,42.5,0,1,45
Jack Fox,DET,CLE,11,2021,True,6,280,46.7,2,2,61
Jamie Gillan,CLE,DET,11,2021,False,5,189,37.8,0,2,52
Bryan Anger,DAL,PHI,6,2022,True,2,119,59.5,1,0,60
Arryn Siposs,PHI,DAL,6,2022,False,4,187,46.8,0,2,59
Jake Bailey,NE,NYJ,8,2022,True,4,163,40.8,1,2,43
Braden Mann,NYJ,NE,8,2022,False,4,188,47.0,1,0,67
Ryan Wright,MIN,NO,4,2022,True,3,126,42.0,0,2,51
Blake Gillikin,NO,MIN,4,2022,False,4,194,48.5,0,1,63
Michael Palardy,NE,MIN,12,2022,True,3,123,41.0,0,0,56
Ryan Wright,MIN,NE,12,2022,False,3,158,52.7,0,3,59
Johnny Hekker,CAR,DET,5,2023,True,3,114,38.0,0,1,45
Jack Fox,DET,CAR,5,2023,False,2,88,44.0,0,2,55
Andy Lee,ARI,TEN,1,2021,True,3,144,48.0,1,2,58
Brett Kern,TEN,ARI,1,2021,False,3,151,50.3,0,0,59
Tress Way,WSH,CAR,11,2021,True,3,139,46.3,0,1,56
Lachlan Edwards,CAR,WSH,11,2021,False,4,185,46.3,1,0,55
Braden Mann,NYJ,MIN,13,2022,True,2,81,40.5,0,1,44
Ryan Wright,MIN,NYJ,13,2022,False,6,292,48.7,0,2,63
JK Scott,LAC,DEN,17,2023,True,4,184,46.0,0,2,61
Riley Dixon,DEN,LAC,17,2023,False,5,243,48.6,1,3,63
Arryn Siposs,PHI,IND,11,2022,True,4,167,41.8,0,1,49
Matt Haack,IND,PHI,11,2022,False,4,208,52.0,1,2,59
Riley Dixon,DEN,HOU,13,2023,True,6,266,44.3,0,3,57
Cameron Johnston,HOU,DEN,13,2023,False,7,354,50.6,2,2,69
Braden Mann,PHI,NYG,18,2023,True,4,201,50.3,0,1,55
Jamie Gillan,NYG,PHI,18,2023,False,5,228,45.6,0,4,55
Jordan Stout,BAL,CLE,4,2023,True,7,334,47.7,0,3,59
Corey Bojorquez,CLE,BAL,4,2023,False,8,373,46.6,0,1,67
Matt Ammendola,NYJ,CAR,1,2021,True,6,291,48.5,0,2,65
Braden Mann,NYJ,CAR,1,2021,True,1,56,56.0,0,0,56
Joseph Charlton,CAR,NYJ,1,2021,False,6,225,37.5,0,2,54
Sam Koch,BAL,CIN,16,2021,True,3,133,44.3,0,1,47
Pat O'Donnell,GB,MIA,16,2022,True,1,46,46.0,0,0,46
Thomas Morstead,MIA,GB,16,2022,False,1,46,46.0,0,1,46
Cameron Johnston,HOU,ATL,5,2023,True,6,234,39.0,0,2,48
Bradley Pinion,ATL,HOU,5,2023,False,5,200,40.0,1,1,45
Ryan Wright,MIN,CIN,15,2023,True,3,152,50.7,0,0,58
Brad Robbins,CIN,MIN,15,2023,False,4,192,48.0,0,2,56
Ethan Evans,LAR,NYG,17,2023,True,5,287,57.4,1,2,72
Jamie Gillan,NYG,LAR,17,2023,False,5,222,44.4,0,1,52
Mitch Wishnowsky,SF,ARI,5,2021,True,2,97,48.5,0,1,58
Andy Lee,ARI,SF,5,2021,False,4,205,51.3,1,1,56
Trenton Gill,CHI,NO,9,2023,True,2,95,47.5,0,0,49
Lou Hedley,NO,CHI,9,2023,False,4,164,41.0,0,3,48
Daniel Whelan,GB,CAR,16,2023,True,3,142,47.3,0,0,54
Johnny Hekker,CAR,GB,16,2023,False,3,151,50.3,0,1,56
AJ Cole,LV,LAC,4,2023,True,5,269,53.8,0,3,70
JK Scott,LAC,LV,4,2023,False,4,160,40.0,0,0,49
Corey Bojorquez,CLE,HOU,16,2023,True,3,148,49.3,0,0,55
Cameron Johnston,HOU,CLE,16,2023,False,6,266,44.3,0,4,56
Andy Lee,ARI,ATL,17,2022,True,1,34,34.0,0,1,34
Bradley Pinion,ATL,ARI,17,2022,False,3,148,49.3,0,2,62
Jake Camarda,TB,HOU,9,2023,True,4,202,50.5,0,2,53
Cameron Johnston,HOU,TB,9,2023,False,3,174,58.0,0,0,62
Thomas Morstead,MIA,CIN,4,2022,True,3,150,50.0,0,0,66
Kevin Huber,CIN,MIA,4,2022,False,4,159,39.8,0,3,48
Bryan Anger,DAL,CAR,11,2023,True,3,176,58.7,1,1,63
Johnny Hekker,CAR,DAL,11,2023,False,5,242,48.4,1,1,61
Kevin Huber,CIN,LV,11,2021,True,2,105,52.5,0,0,58
AJ Cole,LV,CIN,11,2021,False,4,186,46.5,1,2,54
Logan Cooke,JAX,TEN,18,2023,True,1,43,43.0,0,0,43
Ty Zentner,TEN,JAX,18,2023,False,3,144,48.0,0,1,50
Bryan Anger,DAL,NE,6,2021,True,1,51,51.0,0,0,51
Jake Bailey,NE,DAL,6,2021,False,4,161,40.3,0,2,44
Jack Fox,DET,NO,13,2023,True,5,254,50.8,0,1,60
Lou Hedley,NO,DET,13,2023,False,4,180,45.0,1,0,49
