name,team,opponent,week,season,isHome,NO,YDS,AVG,TB,In 20,LONG
Pressley Harvin III,PIT,BAL,18,2023,True,6,250,41.7,1,2,53
Jordan Stout,BAL,PIT,18,2023,False,7,377,53.9,1,1,66
Ryan Winslow,CAR,NYG,7,2021,True,7,258,36.9,0,0,46
Riley Dixon,NYG,CAR,7,2021,False,5,229,45.8,1,1,51
Jordan Berry,MIN,CAR,6,2021,True,4,188,47.0,0,2,54
Ryan Winslow,CAR,MIN,6,2021,False,6,244,40.7,0,3,44
Lachlan Edwards,CAR,BUF,15,2021,True,4,182,45.5,0,1,54
Matt Haack,BUF,CAR,15,2021,False,5,188,37.6,0,1,43
Pressley Harvin III,PIT,CIN,1,2022,True,8,388,48.5,1,1,60
Kevin Huber,CIN,PIT,1,2022,False,3,158,52.7,1,1,58
Matt Haack,BUF,MIA,2,2021,True,4,184,46.0,1,0,54
Michael Palardy,MIA,BUF,2,2021,False,5,222,44.4,0,1,61
Jake Bailey,MIA,KC,9,2023,True,7,316,45.1,0,4,52
Tommy Townsend,KC,MIA,9,2023,False,6,302,50.3,1,2,68
JK Scott,LAC,LV,15,2023,True,5,246,49.2,0,2,60
AJ Cole,LV,LAC,15,2023,False,6,310,51.7,0,2,68
Thomas Morstead,NYJ,BUF,11,2023,True,6,297,49.5,1,1,56
Sam Martin,BUF,NYJ,11,2023,False,3,104,34.7,0,1,39
Sam Martin,BUF,MIA,18,2023,True,1,41,41.0,0,1,41
Jake Bailey,MIA,BUF,18,2023,False,5,239,47.8,0,1,58
Corey Bojorquez,GB,WSH,7,2021,False,3,139,46.3,0,1,53
Trenton Gill,CHI,DET,17,2022,True,7,321,45.9,0,3,56
Jack Fox,DET,CHI,17,2022,False,3,150,50.0,0,1,60
Michael Palardy,NE,BUF,18,2022,True,4,161,40.3,0,1,49
Sam Martin,BUF,NE,18,2022,False,3,125,41.7,0,1,45
Michael Dickson,SEA,KC,16,2022,True,5,238,47.6,0,1,56
Tommy Townsend,KC,SEA,16,2022,False,6,246,41.0,0,3,56
Bradley Pinion,TB,PHI,6,2021,True,3,127,42.3,0,2,44
Arryn Siposs,PHI,TB,6,2021,False,5,220,44.0,0,0,55
Michael Dickson,SEA,PIT,6,2021,True,8,364,45.5,2,1,65
Pressley Harvin III,PIT,SEA,6,2021,False,7,335,47.9,1,4,58
Tress Way,WSH,NYG,13,2022,True,6,265,44.2,0,4,53
Jamie Gillan,NYG,WSH,13,2022,False,7,324,46.3,0,3,59
Bryce Baringer,NE,DAL,4,2023,True,5,225,45.0,0,1,50
Bryan Anger,DAL,NE,4,2023,False,2,112,56.0,0,2,57
Bradley Pinion,ATL,CAR,10,2022,True,5,174,34.8,0,2,43
Johnny Hekker,CAR,ATL,10,2022,False,5,216,43.2,0,2,52
Trenton Gill,CHI,KC,3,2023,True,5,229,45.8,1,1,58
Tommy Townsend,KC,CHI,3,2023,False,1,55,55.0,0,1,55
Jake Camarda,TB,CLE,12,2022,True,9,425,47.2,1,1,63
Corey Bojorquez,CLE,TB,12,2022,False,6,329,54.8,2,1,65
Mitch Wishnowsky,SF,ARI,11,2022,True,4,215,53.8,1,2,61
Andy Lee,ARI,SF,11,2022,False,4,181,45.3,0,2,59
Michael Palardy,MIA,TB,5,2021,True,4,154,38.5,0,1,44
Bradley Pinion,TB,MIA,5,2021,False,1,41,41.0,0,1,41
Ty Zentner,TEN,MIA,14,2023,True,5,244,48.8,1,2,53
Jake Bailey,MIA,TEN,14,2023,False,5,235,47.0,0,2,56
Jake Bailey,NE,CLE,6,2022,True,4,164,41.0,0,3,45
Corey Bojorquez,CLE,NE,6,2022,False,3,133,44.3,0,1,45
Corliss Waitman,DEN,LV,4,2022,True,5,241,48.2,1,2,55
AJ Cole,LV,DEN,4,2022,False,4,215,53.8,0,1,62
Jack Fox,DET,MIN,5,2021,True,4,204,51.0,1,2,67
Jordan Berry,MIN,DET,5,2021,False,3,150,50.0,0,1,54
Michael Dickson,SEA,DET,2,2023,True,3,152,50.7,0,2,64
Jack Fox,DET,SEA,2,2023,False,1,53,53.0,0,0,53
Bradley Pinion,TB,LAR,3,2021,True,4,145,36.3,0,1,53
Johnny Hekker,LAR,TB,3,2021,False,3,119,39.7,0,3,51
Jordan Berry,MIN,DET,13,2021,True,3,132,44.0,1,2,49
Jack Fox,DET,MIN,13,2021,False,3,166,55.3,0,0,62
Sam Martin,DEN,KC,13,2021,True,3,160,53.3,0,0,56
Tommy Townsend,KC,DEN,13,2021,False,4,190,47.5,0,3,54
Mitch Wishnowsky,SF,JAX,10,2023,True,3,141,47.0,0,2,56
Logan Cooke,JAX,SF,10,2023,False,5,268,53.6,1,0,62
Arryn Siposs,PHI,HOU,9,2022,True,3,149,49.7,0,0,52
Cameron Johnston,HOU,PHI,9,2022,False,4,208,52.0,2,1,67
Corliss Waitman,DEN,LAC,6,2022,True,7,323,46.1,0,4,58
JK Scott,LAC,DEN,6,2022,False,4,176,44.0,0,1,54
Cameron Johnston,HOU,TEN,11,2021,True,7,307,43.9,0,5,52
Brett Kern,TEN,HOU,11,2021,False,2,80,40.0,0,1,53
Riley Dixon,LAR,TB,9,2022,True,9,477,53.0,0,2,64
Jake Camarda,TB,LAR,9,2022,False,6,357,59.5,1,4,74
Bryan Anger,DAL,PHI,9,2023,True,2,82,41.0,0,1,52
Braden Mann,PHI,DAL,9,2023,False,5,259,51.8,0,2,57
Mitch Wishnowsky,SF,LV,17,2022,True,2,93,46.5,0,1,56
AJ Cole,LV,SF,17,2022,False,2,81,40.5,0,1,52
Tress Way,WSH,SF,16,2022,True,4,192,48.0,0,1,62
Mitch Wishnowsky,SF,WSH,16,2022,False,2,80,40.0,0,1,41
Blake Gillikin,NO,NE,3,2021,True,5,249,49.8,1,0,56
Jake Bailey,NE,NO,3,2021,False,5,283,56.6,2,1,68
Pat O'Donnell,GB,DET,9,2022,True,1,31,31.0,0,1,31
Jack Fox,DET,GB,9,2022,False,3,136,45.3,0,1,47
Sam Koch,BAL,CHI,11,2021,True,6,260,43.3,1,2,57
Pat O'Donnell,CHI,BAL,11,2021,False,5,205,41.0,0,2,53
Tress Way,WSH,DAL,16,2021,True,6,308,51.3,1,3,56
Bryan Anger,DAL,WSH,16,2021,False,4,214,53.5,0,1,62
Jake Bailey,NE,BUF,16,2021,False,3,158,52.7,0,0,63
Bryan Anger,DAL,NO,13,2021,True,7,337,48.1,0,2,60
Blake Gillikin,NO,DAL,13,2021,False,6,308,51.3,0,1,62
Johnny Hekker,CAR,NO,14,2023,True,2,86,43.0,0,0,49
Lou Hedley,NO,CAR,14,2023,False,5,200,40.0,0,3,46
Jamie Gillan,NYG,NO,15,2023,True,5,238,47.6,0,1,53
Lou Hedley,NO,NYG,15,2023,False,4,167,41.8,0,2,47
Braden Mann,NYJ,HOU,12,2021,True,4,156,39.0,1,0,44
Cameron Johnston,HOU,NYJ,12,2021,False,5,236,47.2,0,2,56
Sam Martin,BUF,NE,13,2022,True,3,136,45.3,1,1,54
Michael Palardy,NE,BUF,13,2022,False,6,251,41.8,0,2,50
Ryan Wright,MIN,BUF,10,2022,True,3,149,49.7,0,0,59
Sam Martin,BUF,MIN,10,2022,False,3,152,50.7,0,0,58
Jake Bailey,NE,GB,4,2022,True,7,314,44.9,2,2,62
Pat O'Donnell,GB,NE,4,2022,False,5,210,42.0,0,2,48
Cameron Johnston,HOU,DAL,14,2022,True,4,197,49.3,0,2,60
Bryan Anger,DAL,HOU,14,2022,False,3,157,52.3,0,0,62
Kevin Huber,CIN,NYJ,3,2022,True,3,142,47.3,0,1,52
Braden Mann,NYJ,CIN,3,2022,False,3,146,48.7,0,1,52
Tommy Townsend,KC,CIN,17,2021,True,3,108,36.0,0,1,42
Kevin Huber,CIN,KC,17,2021,False,3,118,39.3,0,0,51
Brett Kern,TEN,HOU,18,2021,True,4,197,49.3,0,1,53
Cameron Johnston,HOU,TEN,18,2021,False,5,213,42.6,0,4,50
Riley Dixon,NYG,TB,11,2021,True,4,193,48.3,0,3,52
Bradley Pinion,TB,NYG,11,2021,False,3,136,45.3,0,2,55
Tommy Townsend,KC,DEN,18,2021,True,2,101,50.5,2,0,58
Sam Martin,DEN,KC,18,2021,False,3,145,48.3,0,2,65
Ryan Stonehouse,TEN,HOU,8,2022,True,5,242,48.4,1,4,57
Cameron Johnston,HOU,TEN,8,2022,False,8,374,46.8,0,3,60
Johnny Hekker,LAR,SF,10,2021,True,3,124,41.3,0,0,44
Mitch Wishnowsky,SF,LAR,10,2021,False,3,127,42.3,0,1,46
AJ Cole,LV,IND,17,2023,True,5,187,37.4,0,4,56
Rigoberto Sanchez,IND,LV,17,2023,False,3,149,49.7,0,0,51
Andy Lee,ARI,CAR,4,2022,True,3,170,56.7,1,0,62
Johnny Hekker,CAR,ARI,4,2022,False,4,209,52.3,0,1,57
Bryan Anger,DAL,GB,10,2022,True,5,246,49.2,0,3,58
Pat O'Donnell,GB,DAL,10,2022,False,4,160,40.0,0,3,42
Corey Bojorquez,GB,MIN,11,2021,True,2,102,51.0,0,1,62
Jordan Berry,MIN,GB,11,2021,False,3,125,41.7,0,1,47
