name,espnId,season,INT,TD,YDS
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,1.0,0.0,5.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Bryce Thompson,4369838,2022,0.0,0.0,0.0
Bryce Thompson,4369838,2022,0.0,0.0,0.0
Bryce Thompson,4369838,2022,0.0,0.0,0.0
Bryce Thompson,4369838,2022,0.0,0.0,0.0
Bryce Thompson,4369838,2022,0.0,0.0,0.0
Bryce Thompson,4369838,2021,0.0,0.0,0.0
Kyle Fuller,16715,2022,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Kyle Fuller,16715,2021,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2023,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2022,0.0,0.0,0.0
Malcolm Koonce,4239719,2021,0.0,0.0,0.0
Malcolm Koonce,4239719,2021,0.0,0.0,0.0
Malcolm Koonce,4239719,2021,0.0,0.0,0.0
Malcolm Koonce,4239719,2021,0.0,0.0,0.0
Malcolm Koonce,4239719,2021,0.0,0.0,0.0
Josh Jackson,3144984,2022,0.0,0.0,0.0
Josh Jackson,3144984,2022,0.0,0.0,0.0
Josh Jackson,3144984,2022,0.0,0.0,0.0
Josh Jackson,3144984,2022,0.0,0.0,0.0
Josh Jackson,3144984,2022,0.0,0.0,0.0
Josh Jackson,3144984,2021,0.0,0.0,0.0
Josh Jackson,3144984,2021,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2023,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Zach Carter,4240619,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2023,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2022,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Del'Shawn Phillips,4240528,2021,0.0,0.0,0.0
Nickell Robey-Coleman,16217,2022,0.0,0.0,0.0
Nickell Robey-Coleman,16217,2022,0.0,0.0,0.0
Nickell Robey-Coleman,16217,2021,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2023,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
Yannick Ngakoue,3053044,2022,0.0,0.0,0.0
