name,team,opponent,week,season,isHome,INT,YDS,TD
Andrew Van Ginkel,MIA,WSH,13,2023,True,1,33,1
Johnathan Abram,NO,TB,17,2023,True,1,0,0
Alontae Taylor,NO,TB,17,2023,True,1,0,0
Nick Bolton,KC,LAC,11,2022,True,1,0,0
Eddie Jackson,CHI,NYG,4,2022,True,1,-3,0
Adoree' Jackson,NYG,PHI,16,2023,True,1,76,1
Kelee Ringo,PHI,NYG,16,2023,False,1,0,0
Tyrann Mathieu,NO,MIN,4,2022,False,1,3,0
Juan Thornhill,KC,LV,18,2022,True,1,0,0
Kyzir White,ARI,DAL,3,2023,False,1,0,0
Levi Wallace,PIT,CIN,11,2022,False,1,3,0
T.J. Watt,PIT,CIN,11,2022,False,1,0,0
Jayron Kearse,DAL,KC,11,2021,True,1,34,0
L'Jarius Sneed,KC,DAL,11,2021,False,1,2,0
Charvarius Ward,KC,DAL,11,2021,False,1,0,0
Jaylon Johnson,CHI,LV,7,2023,False,2,39,1
Tremaine Edmunds,CHI,LV,7,2023,False,1,0,0
Elijah Molden,TEN,IND,8,2021,True,1,2,1
Kevin Byard III,TEN,IND,8,2021,True,1,14,0
Kenny Moore II,IND,TEN,8,2021,False,1,32,0
Tyquan Lewis,IND,TEN,8,2021,False,1,8,0
De'Vondre Campbell,GB,WSH,7,2022,True,1,63,1
DaRon Bland,DAL,NE,4,2023,False,2,64,1
Cameron Sutton,PIT,LAC,11,2021,True,1,4,0
Logan Ryan,TB,GB,3,2022,False,1,0,0
Jaylon Johnson,CHI,MIN,12,2023,True,1,19,0
T.J. Edwards,CHI,MIN,12,2023,True,1,0,0
Kyler Gordon,CHI,MIN,12,2023,True,1,0,0
Jaquan Brisker,CHI,MIN,12,2023,True,1,0,0
Jordan Hicks,MIN,PHI,2,2022,True,1,19,0
Darius Slay Jr.,PHI,MIN,2,2022,False,2,19,0
Avonte Maddox,PHI,MIN,2,2022,False,1,2,0
Kerby Joseph,DET,GB,18,2022,True,1,23,0
Kindle Vildor,CHI,MIN,5,2022,True,1,18,0
Byron Murphy Jr.,MIN,ATL,9,2023,True,1,18,0
John Franklin-Myers,NYJ,HOU,12,2021,True,1,32,0
Tavierre Thomas,HOU,NYJ,12,2021,False,1,0,0
Ja'Quan McMillian,DEN,MIN,11,2023,False,1,9,0
C.J. Gardner-Johnson,PHI,PIT,8,2022,False,1,14,0
A.J. Green III,CLE,PIT,17,2021,True,1,1,0
Ahkello Witherspoon,PIT,CLE,17,2021,False,1,0,0
Tre Norwood,PIT,CLE,17,2021,False,1,0,0
Ahkello Witherspoon,LAR,CIN,3,2023,True,1,0,0
Logan Wilson,CIN,LAR,3,2023,False,2,0,0
Amani Hooker,TEN,NO,1,2023,True,1,10,0
Marcus Maye,NO,TEN,1,2023,False,1,5,0
Marshon Lattimore,NO,TEN,1,2023,False,1,0,0
Paulson Adebo,NO,TEN,1,2023,False,1,0,0
Jerry Hughes,HOU,IND,1,2022,False,1,14,0
Greg Newsome II,CLE,BAL,10,2023,True,1,34,1
Mike Ford,CLE,BAL,10,2023,True,1,10,0
Kyle Hamilton,BAL,CLE,10,2023,False,1,18,1
Jourdan Lewis,DAL,TB,1,2021,True,1,66,0
Trevon Diggs,DAL,TB,1,2021,True,1,0,0
Carlton Davis III,TB,DAL,1,2021,False,1,25,0
William Gholston,TB,BUF,8,2023,True,1,0,0
Rodney Thomas II,IND,NE,10,2023,True,1,5,0
Julian Blackmon,IND,NE,10,2023,True,1,4,0
Myles Bryant,NE,IND,10,2023,False,1,6,0
Ahkello Witherspoon,LAR,BAL,14,2023,True,1,17,0
Tyrann Mathieu,NO,NE,5,2023,True,1,27,1
Pete Werner,NO,NE,5,2023,True,1,0,0
John Johnson III,CLE,DEN,7,2021,False,1,0,0
Justin Simmons,DEN,DET,14,2021,False,1,0,0
Brandin Echols,NYJ,MIA,15,2021,True,1,20,1
Ashtyn Davis,NYJ,MIA,15,2021,True,1,18,0
Mike Hilton,CIN,BAL,18,2022,False,1,5,0
Jessie Bates III,CIN,BAL,18,2022,False,1,4,0
Damontae Kazee,PIT,CLE,18,2022,False,1,12,0
Levi Wallace,PIT,CLE,18,2022,False,1,3,0
Keanu Neal,PIT,GB,10,2023,False,1,32,0
Damontae Kazee,PIT,GB,10,2023,False,1,30,0
Cody Barton,SEA,LAR,13,2022,True,1,10,0
Riq Woolen,SEA,LAR,13,2022,True,1,0,0
Bobby Wagner,LAR,SEA,13,2022,False,1,0,0
Antonio Johnson,JAX,PIT,8,2023,True,1,23,0
Andrew Wingard,JAX,PIT,8,2023,True,1,0,0
Damontae Kazee,PIT,JAX,8,2023,False,1,7,0
Shaquille Leonard,IND,WSH,8,2022,False,1,15,0
Xavien Howard,MIA,SF,13,2022,True,1,0,0
Fred Warner,SF,MIA,13,2022,False,1,20,0
Deommodore Lenoir,SF,MIA,13,2022,False,1,8,0
Jimmie Ward,SF,MIA,13,2022,False,1,0,0
Marcus Williams,BAL,NYJ,1,2022,True,1,33,0
D.J. Reed,NYJ,BAL,1,2022,False,1,0,0
Jalen Thompson,ARI,LAR,12,2023,False,1,14,0
Amani Oruwariye,DET,CHI,4,2021,True,1,0,0
Jaycee Horn,CAR,SEA,14,2022,True,1,31,0
CJ Henderson,CAR,SEA,14,2022,True,1,20,0
Justin Simmons,DEN,PHI,10,2021,False,1,17,0
Bobby Okereke,IND,NYJ,9,2021,False,1,4,0
Charvarius Ward,KC,PIT,16,2021,False,1,0,0
Marcus Epps,PHI,NYJ,13,2021,True,1,0,0
Taron Johnson,BUF,KC,6,2022,True,1,2,0
Kaiir Elam,BUF,KC,6,2022,True,1,0,0
Joshua Williams,KC,SF,7,2022,True,1,7,0
Juan Thornhill,KC,SF,7,2022,True,1,0,0
Talanoa Hufanga,SF,KC,7,2022,False,1,2,0
Josh Metellus,MIN,DET,3,2022,False,1,0,0
Vonn Bell,CIN,BAL,16,2021,False,1,15,0
Matt Milano,BUF,TEN,2,2022,False,1,43,1
Jordan Poyer,BUF,TEN,2,2022,False,1,0,0
Taylor Rapp,LAR,LV,14,2022,False,1,0,0
Ernest Jones IV,LAR,LV,14,2022,False,1,0,0
Nick Scott,LAR,KC,12,2022,True,1,0,0
L'Jarius Sneed,KC,LAR,12,2022,False,1,26,0
Nick Bolton,KC,LAR,12,2022,False,1,15,0
Jalen Ramsey,LAR,SEA,18,2022,True,2,28,0
Quandre Diggs,SEA,LAR,18,2022,False,1,4,0
DeShon Elliott,DET,NE,5,2022,True,1,0,0
Jack Jones,NE,DET,5,2022,False,1,0,0
Jeremiah Owusu-Koramoah,CLE,HOU,16,2023,True,1,8,0
Duron Harmon,CLE,HOU,16,2023,True,1,0,0
DeAndre Houston-Carson,HOU,CLE,16,2023,False,1,0,0
Derek Stingley Jr.,HOU,CLE,16,2023,False,1,0,0
Christian Kirksey,HOU,DEN,2,2022,True,1,0,0
Richie Grant,ATL,TB,7,2023,True,1,4,0
D.J. Reed,SEA,DET,17,2021,False,2,9,0
Ugo Amadi,SEA,DET,17,2021,False,1,12,0
Xavien Howard,MIA,NE,18,2021,False,1,37,1
Deon Bush,CHI,MIN,15,2021,False,1,27,0
Jourdan Lewis,DAL,ATL,10,2021,False,1,4,0
Anthony Brown,DAL,ATL,10,2021,False,1,0,0
Trevon Diggs,DAL,ATL,10,2021,False,1,0,0
Devin McCourty,NE,BUF,18,2022,True,1,30,0
Matt Milano,BUF,NE,18,2022,False,1,41,0
Tremaine Edmunds,BUF,NE,18,2022,False,1,4,0
Tre'Davious White,BUF,NE,18,2022,False,1,0,0
AJ Epenesa,BUF,WSH,3,2023,True,1,32,1
Tre'Davious White,BUF,WSH,3,2023,True,1,2,0
Micah Hyde,BUF,WSH,3,2023,True,1,1,0
Terrel Bernard,BUF,WSH,3,2023,True,1,0,0
Kendall Fuller,WSH,BUF,3,2023,False,1,0,0
Logan Wilson,CIN,DET,6,2021,True,1,0,0
Amani Oruwariye,DET,CIN,6,2021,False,1,18,0
Jamel Dean,TB,PHI,6,2021,True,1,0,0
Anthony Harris,PHI,TB,6,2021,False,1,2,0
Darius Slay Jr.,PHI,TB,6,2021,False,0,4,0
Harrison Smith,MIN,GB,1,2022,False,1,0,0
Jonas Griffith,DEN,SF,3,2022,False,1,1,0
Ronnie Harrison Jr.,IND,CIN,14,2023,True,1,36,1
B.J. Hill,CIN,IND,14,2023,False,1,0,0
Antoine Winfield Jr.,TB,NE,4,2021,True,1,0,0
Willie Gay,KC,TEN,7,2021,True,1,1,0
Rashaan Evans,TEN,KC,7,2021,False,1,0,0
Andrew Adams,TEN,IND,7,2022,False,1,76,1
David Long Jr.,TEN,IND,7,2022,False,1,4,0
Steven Nelson,HOU,TEN,15,2023,True,1,0,0
Elijah Molden,TEN,HOU,15,2023,False,1,44,1
Kenny Moore II,IND,CAR,9,2023,True,2,115,2
Segun Olubi,IND,CAR,9,2023,True,1,0,0
Kerby Joseph,DET,LAC,10,2023,True,1,0,0
Fred Warner,SF,JAX,10,2023,True,1,22,0
Talanoa Hufanga,SF,JAX,10,2023,True,1,12,0
George Odum,IND,BUF,11,2021,True,1,21,0
Kenny Moore II,IND,BUF,11,2021,True,1,14,0
Zaire Franklin,IND,BUF,11,2021,True,1,8,0
Rasul Douglas,GB,TEN,11,2022,False,1,22,0
Budda Baker,ARI,LAR,10,2022,True,1,53,0
Stephon Gilmore,DAL,LAC,6,2023,True,1,0,0
Isaiah Oliver,ATL,SF,6,2022,False,1,27,0
Jaylinn Hawkins,ATL,SF,6,2022,False,1,14,0
Rodney McLeod Jr.,PHI,WSH,17,2021,True,1,0,0
DeAndre Houston-Carson,CHI,PHI,15,2022,False,1,18,0
Kyler Gordon,CHI,PHI,15,2022,False,1,0,0
C.J. Moore,DET,GB,18,2021,False,1,21,0
Tracy Walker III,DET,GB,18,2021,False,1,5,0
Jamal Adams,SEA,WSH,12,2021,True,1,0,0
Nevin Lawson,JAX,MIA,6,2021,False,1,11,0
Justin Reid,HOU,JAX,1,2021,False,1,21,0
Vernon Hargreaves III,HOU,JAX,1,2021,False,1,18,0
Christian Kirksey,HOU,JAX,1,2021,False,1,1,0
Stephon Gilmore,IND,DAL,13,2022,True,1,31,0
DaRon Bland,DAL,IND,13,2022,False,2,0,0
Malik Hooker,DAL,IND,13,2022,False,1,26,0
Maurice Hurst II,CLE,SEA,8,2023,True,1,0,0
Martin Emerson Jr.,CLE,SEA,8,2023,True,1,0,0
Julian Love,SEA,CLE,8,2023,False,1,0,0
Riq Woolen,SEA,CLE,8,2023,False,1,0,0
Tre Brown,SEA,DET,2,2023,True,1,40,1
Julian Love,SEA,SF,14,2023,True,1,7,0
Ji'Ayir Brown,SF,SEA,14,2023,False,1,0,0
Fred Warner,SF,SEA,14,2023,False,1,-3,0
Dre Greenlaw,SF,SEA,14,2023,False,0,16,0
Darnell Savage,GB,CHI,6,2021,True,1,0,0
Christian Rozeboom,LAR,ARI,6,2023,False,1,0,0
DeMarcus Lawrence,DAL,WSH,16,2021,False,1,40,1
Trevon Diggs,DAL,WSH,16,2021,False,1,0,0
Byron Murphy Jr.,MIN,CHI,6,2023,True,1,37,0
Jordan Hicks,MIN,CHI,6,2023,True,1,9,0
Logan Wilson,CIN,SF,8,2023,True,1,16,0
Germaine Pratt,CIN,SF,8,2023,True,1,9,0
J.C. Jackson,NE,CAR,9,2021,True,2,88,1
Jamie Collins Sr.,NE,CAR,9,2021,True,1,1,0
Stephon Gilmore,CAR,NE,9,2021,False,1,13,0
Darius Slay Jr.,PHI,NE,1,2023,True,1,70,1
Foyesade Oluokun,JAX,NO,7,2023,True,1,24,1
Antoine Winfield Jr.,TB,IND,12,2021,True,1,30,0
Pierre Desir,TB,IND,12,2021,True,1,0,0
Isaiah Rodgers Sr.,IND,TB,12,2021,False,1,0,0
Devin Lloyd,JAX,IND,2,2022,False,1,13,0
Rayshawn Jenkins,JAX,IND,2,2022,False,1,10,0
Andre Cisco,JAX,IND,2,2022,False,1,1,0
Tyrann Mathieu,NO,LV,8,2022,False,1,0,0
Tyson Campbell,JAX,HOU,15,2021,False,1,3,0
Kerby Joseph,DET,MIN,16,2023,True,2,22,0
Ifeatu Melifonwu,DET,MIN,16,2023,True,1,11,0
