name,espnId,season,AG,ESPNWR,LNG,MISC,NTYDS,CMP,BIG,FD,FUM,LST,TGTS,TD,YDS,YAC,Y@C,YDS/G,REC,GP,OP,PTS,TP/G,TD,TYDS,SCRIM,2PTR,CMP,SCRIM/G,YDS/G,AVG
Ty'Son Williams,3895827,2022,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,-1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0
Ty'Son Williams,3895827,2021,0.0,44.0,21.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,4.0,0.0,29.0,31.0,-2.0,29.0,3.0,1.0,9.0,0.0,0.0,0.0,65.0,94.0,0.0,0.0,94.0,65.0,9.667
Ty'Son Williams,3895827,2021,0.0,26.0,9.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,13.0,3.0,16.0,2.0,1.0,13.0,0.0,0.0,0.0,77.0,93.0,0.0,0.0,93.0,77.0,8.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,22.0,22.0,0.0
Ty'Son Williams,3895827,2021,0.0,25.0,8.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,10.0,5.0,15.0,2.0,1.0,4.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0,21.0,6.0,7.5
Ty'Son Williams,3895827,2021,0.0,34.0,13.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,17.0,7.0,24.0,2.0,1.0,2.0,0.0,0.0,0.0,10.0,34.0,0.0,0.0,34.0,10.0,12.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0
Jaxon Smith-Njigba,4430878,2023,0.0,28.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,13.0,14.0,-1.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,13.0,13.0,4.333
Jaxon Smith-Njigba,4430878,2023,0.0,59.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,34.0,24.0,10.0,34.0,5.0,1.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,34.0,34.0,6.8
Jaxon Smith-Njigba,4430878,2023,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,13.0,-3.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0
Jaxon Smith-Njigba,4430878,2023,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,14.0,-9.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,1.667
Jaxon Smith-Njigba,4430878,2023,0.0,68.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,48.0,25.0,23.0,48.0,4.0,1.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,48.0,48.0,12.0
Jaxon Smith-Njigba,4430878,2023,0.0,118.0,28.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,63.0,13.0,50.0,63.0,4.0,1.0,0.0,6.0,6.0,1.0,63.0,63.0,0.0,0.0,63.0,63.0,15.75
Jaxon Smith-Njigba,4430878,2023,0.0,86.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,36.0,38.0,-2.0,36.0,3.0,1.0,0.0,6.0,6.0,1.0,36.0,36.0,0.0,0.0,36.0,36.0,12.0
Jaxon Smith-Njigba,4430878,2023,0.0,93.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,63.0,24.0,39.0,63.0,6.0,1.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0,63.0,63.0,10.5
Jaxon Smith-Njigba,4430878,2023,0.0,73.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,53.0,53.0,0.0,53.0,4.0,1.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,53.0,53.0,13.25
Jaxon Smith-Njigba,4430878,2023,0.0,55.0,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,40.0,2.0,38.0,40.0,3.0,1.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,40.0,40.0,13.333
Jaxon Smith-Njigba,4430878,2023,0.0,51.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,41.0,13.0,28.0,41.0,2.0,1.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,41.0,41.0,20.5
Jaxon Smith-Njigba,4430878,2023,0.0,97.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,62.0,48.0,14.0,62.0,7.0,1.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,0.0,62.0,62.0,8.857
Jaxon Smith-Njigba,4430878,2023,0.0,45.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,25.0,38.0,-13.0,25.0,4.0,1.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,6.25
Jaxon Smith-Njigba,4430878,2023,0.0,103.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,48.0,6.0,42.0,48.0,4.0,1.0,0.0,6.0,6.0,1.0,48.0,48.0,0.0,0.0,48.0,48.0,12.0
Jaxon Smith-Njigba,4430878,2023,0.0,91.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,61.0,32.0,29.0,61.0,6.0,1.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,61.0,61.0,10.167
