name,team,opponent,week,season,isHome,NO,YDS,AVG,LONG,TD
Deonte Harty,BUF,LAC,16,2023,True,3,11,3.7,11,0
Derius Davis,LAC,BUF,16,2023,False,1,13,13.0,13,0
Deven Thompkins,TB,MIN,1,2023,True,4,29,7.3,16,0
Brandon Powell,MIN,TB,1,2023,False,4,18,4.5,7,0
Hunter Renfrow,LV,JAX,9,2022,True,3,29,9.7,17,0
Jamal Agnew,JAX,LV,9,2022,False,2,16,8.0,13,0
Nyheim Hines,IND,JAX,18,2021,True,1,7,7.0,7,0
Britain Covey,PHI,KC,11,2023,True,3,53,17.7,26,0
Kadarius Toney,KC,PHI,11,2023,False,6,58,9.7,21,0
Kalif Raymond,DET,CHI,14,2023,True,2,18,9.0,14,0
Trent Taylor,CHI,DET,14,2023,False,4,56,14.0,31,0
Dax Milne,WSH,DET,2,2022,True,3,33,11.0,19,0
Kalif Raymond,DET,WSH,2,2022,False,1,8,8.0,8,0
Braxton Berrios,NYJ,MIA,18,2022,True,2,29,14.5,20,0
Myles Bryant,NE,MIA,1,2022,True,2,12,6.0,12,0
Xavier Gipson,NYJ,CLE,17,2023,True,2,30,15.0,20,0
James Proche II,BAL,PIT,17,2022,False,1,2,2.0,2,0
Darius Phillips,CIN,JAX,4,2021,False,2,9,4.5,10,0
Steven Sims,PIT,IND,12,2022,True,3,18,6.0,18,0
Pharoh Cooper,NYG,MIA,13,2021,True,3,22,7.3,15,0
Jaylen Waddle,MIA,NYG,13,2021,False,1,7,7.0,7,0
Ray-Ray McCloud III,SF,LAR,4,2022,False,2,34,17.0,22,0
Cedrick Wilson Jr.,MIA,CLE,10,2022,False,1,8,8.0,8,0
Cedrick Wilson Jr.,DAL,MIN,8,2021,True,1,7,7.0,7,0
CeeDee Lamb,DAL,MIN,8,2021,True,1,-3,-3.0,-3,0
K.J. Osborn,MIN,DAL,8,2021,False,1,7,7.0,7,0
Mason Kinsey,TEN,HOU,17,2023,True,2,22,11.0,13,0
Desmond King II,HOU,TEN,17,2023,False,2,30,15.0,19,0
Demetric Felton Jr.,CLE,LAC,5,2021,True,2,17,8.5,9,0
KJ Hill Jr.,LAC,CLE,5,2021,False,1,12,12.0,12,0
Isaiah McKenzie,IND,HOU,2,2023,True,1,0,0.0,0,0
Tank Dell,HOU,IND,2,2023,False,1,13,13.0,13,0
Robert Woods,HOU,IND,2,2023,False,1,7,7.0,7,0
Rashid Shaheed,NO,CHI,9,2023,False,2,20,10.0,14,0
DeeJay Dallas,SEA,NYG,4,2023,True,1,23,23.0,23,0
Eric Gray,NYG,SEA,4,2023,False,1,0,0.0,0,0
Hunter Renfrow,LV,CLE,15,2021,True,4,31,7.8,29,0
Donovan Peoples-Jones,CLE,LV,15,2021,False,1,20,20.0,20,0
Giovani Bernard,TB,ATL,13,2021,True,2,7,3.5,6,0
Avery Williams,ATL,TB,13,2021,False,1,7,7.0,7,0
Tavon Austin,JAX,NE,17,2021,True,1,3,3.0,3,0
Brandon Aiyuk,SF,MIN,12,2021,False,2,14,7.0,12,0
Calvin Austin III,PIT,CLE,2,2023,False,1,14,14.0,14,0
Hunter Renfrow,LV,DEN,16,2021,False,1,6,6.0,6,0
Robert Woods,HOU,ATL,5,2023,True,1,10,10.0,10,0
Tank Dell,HOU,ATL,5,2023,True,1,9,9.0,9,0
Mike Hughes,ATL,HOU,5,2023,False,1,10,10.0,10,0
Dax Milne,WSH,HOU,11,2022,True,4,22,5.5,16,0
Desmond King II,HOU,WSH,11,2022,False,2,14,7.0,9,0
Alex Erickson,WSH,NYG,13,2022,True,4,25,6.3,13,0
Richie James,NYG,WSH,13,2022,False,3,18,6.0,12,0
Darius Phillips,CIN,BAL,7,2021,True,3,20,6.7,13,0
Devin Duvernay,BAL,CIN,7,2021,False,2,37,18.5,21,0
C.J. Board,NYG,DAL,5,2021,True,1,7,7.0,7,0
CeeDee Lamb,DAL,NYG,5,2021,False,1,17,17.0,17,0
Cedrick Wilson Jr.,MIA,NE,17,2022,True,3,13,4.3,10,0
Myles Bryant,NE,MIA,17,2022,False,2,10,5.0,8,0
Shi Smith,CAR,BAL,11,2022,True,2,-3,-1.5,0,0
Devin Duvernay,BAL,CAR,11,2022,False,2,5,2.5,5,0
Ihmir Smith-Marsette,CAR,SEA,3,2023,True,2,-3,-1.5,0,0
DeeJay Dallas,SEA,CAR,3,2023,False,3,41,13.7,14,0
Jevon Holland,MIA,BAL,2,2022,True,1,8,8.0,8,0
Devin Duvernay,BAL,MIA,2,2022,False,1,5,5.0,5,0
Jalen Reagor,MIN,WSH,9,2022,True,2,11,5.5,10,0
Dax Milne,WSH,MIN,9,2022,False,5,41,8.2,17,0
Avery Williams,ATL,TB,2,2021,True,2,11,5.5,6,0
Greg Dortch,ARI,WSH,1,2023,True,4,24,6.0,13,0
Jamison Crowder,WSH,ARI,1,2023,False,3,10,3.3,5,0
Skyy Moore,KC,ARI,1,2022,True,4,41,10.3,15,0
Mecole Hardman,KC,ARI,1,2022,True,1,3,3.0,3,0
Greg Dortch,ARI,KC,1,2022,False,1,-1,-1.0,-1,0
CeeDee Lamb,DAL,WSH,14,2021,True,1,4,4.0,4,0
Trevon Diggs,DAL,WSH,14,2021,True,1,1,1.0,1,0
Cedrick Wilson Jr.,DAL,WSH,14,2021,True,1,0,0.0,0,0
N'Keal Harry,NE,BUF,13,2021,True,1,0,0.0,0,0
Micah Hyde,BUF,NE,13,2021,False,1,8,8.0,8,0
Avery Williams,ATL,SEA,3,2022,True,1,6,6.0,6,0
Derius Davis,LAC,NYJ,9,2023,True,3,104,34.7,87,1
Xavier Gipson,NYJ,LAC,9,2023,False,3,8,2.7,8,0
Kalif Raymond,DET,BUF,12,2022,False,2,54,27.0,41,0
Ihmir Smith-Marsette,CAR,JAX,17,2023,True,2,9,4.5,8,0
Parker Washington,JAX,CAR,17,2023,False,2,17,8.5,15,0
Jaelon Darden,TB,LAR,3,2021,True,1,4,4.0,4,0
Tutu Atwell,LAR,TB,3,2021,False,1,9,9.0,9,0
Ihmir Smith-Marsette,CAR,NO,14,2023,True,2,1,0.5,1,0
Lynn Bowden Jr.,NO,CAR,14,2023,False,2,23,11.5,12,0
DeAndre Carter,WSH,LV,13,2021,True,2,29,14.5,16,0
Hunter Renfrow,LV,WSH,13,2021,False,1,6,6.0,6,0
Avery Williams,ATL,NO,18,2021,False,1,12,12.0,12,0
Richie James,KC,JAX,2,2023,True,3,8,2.7,4,0
Jamal Agnew,JAX,KC,2,2023,False,2,5,2.5,7,0
Jamal Agnew,JAX,BUF,5,2023,True,2,5,2.5,5,0
Deonte Harty,BUF,JAX,5,2023,False,2,9,4.5,9,0
Jabrill Peppers,NE,NYJ,3,2023,True,2,25,12.5,18,0
DeMario Douglas,NE,NYJ,3,2023,True,2,14,7.0,8,0
Xavier Gipson,NYJ,NE,3,2023,False,4,39,9.8,18,0
Eric Gray,NYG,SF,3,2023,True,1,3,3.0,3,0
Ray-Ray McCloud III,SF,NYG,3,2023,False,3,22,7.3,12,0
DeAndre Carter,WSH,ATL,4,2021,True,1,6,6.0,6,0
Avery Williams,ATL,WSH,4,2021,False,2,6,3.0,4,0
Gunner Olszewski,NE,TEN,12,2021,False,2,23,11.5,15,0
Braxton Berrios,NYJ,MIN,13,2022,True,3,37,12.3,15,0
Xavier Gipson,NYJ,DAL,2,2023,True,1,7,7.0,7,0
Derius Davis,LAC,MIA,1,2023,False,1,3,3.0,3,0
Braxton Berrios,MIA,PHI,7,2023,True,1,16,16.0,16,0
Avery Williams,ATL,CAR,10,2022,True,2,23,11.5,14,0
DeeJay Dallas,SEA,ARI,9,2022,True,3,23,7.7,19,0
Greg Dortch,ARI,SEA,9,2022,False,2,7,3.5,7,0
Rashid Shaheed,NO,MIN,10,2023,True,2,22,11.0,12,0
Brandon Powell,MIN,NO,10,2023,False,2,12,6.0,9,0
Devin Duvernay,BAL,CHI,11,2021,True,2,19,9.5,12,0
Jakeem Grant Sr.,CHI,BAL,11,2021,False,1,4,4.0,4,0
Kalif Raymond,DET,BAL,7,2023,True,2,32,16.0,24,0
Ray-Ray McCloud III,SF,LAR,8,2022,True,3,34,11.3,15,0
Brandon Powell,LAR,SF,8,2022,False,1,0,0.0,0,0
Robert Woods,TEN,HOU,8,2022,True,4,40,10.0,16,0
Desmond King II,HOU,TEN,8,2022,False,3,18,6.0,12,0
Kalif Raymond,DET,TB,6,2023,True,3,33,11.0,15,0
Jamal Agnew,JAX,NYJ,16,2022,True,1,4,4.0,4,0
Brandon Aiyuk,SF,CHI,8,2021,True,2,28,14.0,21,0
Keelan Cole Sr.,LV,TEN,3,2022,True,1,13,13.0,13,0
Robert Woods,TEN,LV,3,2022,False,1,21,21.0,21,0
Ihmir Smith-Marsette,CAR,TB,13,2023,True,4,30,7.5,23,0
Deven Thompkins,TB,CAR,13,2023,False,3,21,7.0,15,0
Tutu Atwell,LAR,HOU,8,2021,True,3,2,0.7,2,0
Tremon Smith,HOU,LAR,8,2021,False,1,1,1.0,1,0
Derius Davis,LAC,TEN,2,2023,True,4,63,15.8,20,0
Kearis Jackson,TEN,LAC,2,2023,False,2,11,5.5,11,0
Trenton Irwin,CIN,ARI,5,2023,True,4,68,17.0,28,0
Greg Dortch,ARI,CIN,5,2023,False,2,22,11.0,16,0
Jabrill Peppers,NYG,WSH,2,2021,True,2,8,4.0,8,0
Trent Taylor,CIN,DEN,15,2021,True,3,22,7.3,12,0
Diontae Spencer,DEN,CIN,15,2021,False,2,18,9.0,18,0
Rondale Moore,ARI,SF,9,2021,True,1,2,2.0,2,0
Brandon Aiyuk,SF,ARI,9,2021,False,3,34,11.3,27,0
Trent Taylor,CIN,TEN,12,2022,True,2,10,5.0,10,0
C.J. Board,TEN,CIN,12,2022,False,4,42,10.5,13,0
Gunner Olszewski,NE,IND,15,2021,True,1,1,1.0,1,0
Dee Alford,ATL,IND,16,2023,False,3,11,3.7,8,0
Steven Sims,PIT,NO,10,2022,False,1,3,3.0,3,0
Demetric Felton Jr.,CLE,CIN,9,2021,True,2,4,2.0,5,0
Darius Phillips,CIN,CLE,9,2021,False,2,22,11.0,14,0
DeAndre Carter,WSH,NYG,18,2021,True,4,23,5.8,12,0
Alex Bachman,NYG,WSH,18,2021,False,1,16,16.0,16,0
Jamison Crowder,WSH,LAR,15,2023,True,1,15,15.0,15,0
Austin Trammell,LAR,WSH,15,2023,False,1,4,4.0,4,0
Parker Washington,JAX,CLE,14,2023,True,5,63,12.6,26,0
James Proche II,CLE,JAX,14,2023,False,2,19,9.5,11,0
Freddie Swain,SEA,LAR,15,2021,True,2,14,7.0,9,0
Brandon Powell,LAR,SEA,15,2021,False,1,0,0.0,0,0
Dallis Flowers,IND,MIN,15,2022,True,1,0,0.0,0,0
Jalen Reagor,MIN,IND,15,2022,False,3,13,4.3,13,0
Dax Milne,WSH,PHI,10,2022,True,1,12,12.0,12,0
Britain Covey,PHI,WSH,10,2022,False,1,5,5.0,5,0
Amari Rodgers,GB,DET,9,2022,True,1,10,10.0,10,0
Avery Williams,ATL,JAX,12,2021,True,1,3,3.0,3,0
Jaydon Mickens,JAX,ATL,12,2021,False,2,29,14.5,18,0
Alvin Kamara,NO,WSH,5,2021,True,3,29,9.7,14,0
DeAndre Carter,WSH,NO,5,2021,False,1,10,10.0,10,0
Diontae Spencer,DEN,KC,13,2021,True,3,6,2.0,6,0
Mike Hughes,KC,DEN,13,2021,False,2,13,6.5,10,0
Jamal Agnew,JAX,HOU,17,2022,True,4,36,9.0,18,0
Desmond King II,HOU,JAX,17,2022,False,1,16,16.0,16,0
Calvin Austin III,PIT,NE,14,2023,False,3,10,3.3,5,0
Xavier Gipson,NYJ,DEN,5,2023,True,2,14,7.0,14,0
Marvin Mims Jr.,DEN,NYJ,5,2023,False,1,0,0.0,0,0
Charlie Jones,CIN,BAL,11,2023,True,3,24,8.0,20,0
Devin Duvernay,BAL,CIN,11,2023,False,1,5,5.0,5,0
Marcus Jones,NE,ARI,14,2022,True,1,7,7.0,7,0
Greg Dortch,ARI,NE,14,2022,False,2,17,8.5,17,0
Andre Roberts,CAR,TB,17,2022,True,2,6,3.0,6,0
Demetric Felton Jr.,CLE,BAL,12,2021,True,1,-3,-3.0,-3,0
Devin Duvernay,BAL,CLE,12,2021,False,3,36,12.0,22,0
Deuce Vaughn,DAL,SF,5,2023,True,1,10,10.0,10,0
Ray-Ray McCloud III,SF,DAL,5,2023,False,4,39,9.8,14,0
Greg Dortch,ARI,MIN,8,2022,True,3,13,4.3,9,0
Jalen Reagor,MIN,ARI,8,2022,False,2,6,3.0,6,0
Cedrick Wilson Jr.,MIA,BUF,4,2023,True,1,0,0.0,0,0
Kalif Raymond,DET,MIN,5,2021,True,2,14,7.0,14,0
Dede Westbrook,MIN,DET,5,2021,False,1,2,2.0,2,0
KJ Hill Jr.,LAC,KC,3,2021,True,1,0,0.0,0,0
Mecole Hardman,KC,LAC,3,2021,False,2,7,3.5,7,0
Gunner Olszewski,NE,ATL,11,2021,True,3,17,5.7,17,0
Avery Williams,ATL,NE,11,2021,False,1,11,11.0,11,0
Avery Williams,ATL,NYG,3,2021,True,3,24,8.0,15,0
Jabrill Peppers,NYG,ATL,3,2021,False,2,36,18.0,19,0
Rondale Moore,ARI,JAX,3,2021,True,2,27,13.5,27,0
Jamal Agnew,JAX,ARI,3,2021,False,1,10,10.0,10,0
Kendall Hinton,DEN,KC,17,2022,True,3,37,12.3,17,0
Kadarius Toney,KC,DEN,17,2022,False,2,14,7.0,7,0
Tyreek Hill,MIA,NYJ,5,2022,True,1,-2,-2.0,-2,0
DeeJay Dallas,SEA,CIN,6,2023,True,3,34,11.3,23,0
Trenton Irwin,CIN,SEA,6,2023,False,1,1,1.0,1,0
Kenjon Barner,TB,CAR,16,2021,True,5,44,8.8,20,0
Alex Erickson,CAR,TB,16,2021,False,2,22,11.0,16,0
Richie James,KC,LAC,18,2023,True,3,24,8.0,21,0
Braxton Berrios,MIA,WSH,13,2023,True,2,7,3.5,5,0
Jamison Crowder,WSH,MIA,13,2023,False,1,11,11.0,11,0
Rashid Shaheed,NO,TB,17,2023,True,2,27,13.5,16,0
Deven Thompkins,TB,NO,17,2023,False,2,21,10.5,12,0
Montrell Washington,DEN,LV,4,2022,True,3,66,22.0,30,0
Keelan Cole Sr.,LV,DEN,4,2022,False,2,7,3.5,7,0
Tyron Johnson,LV,DEN,4,2022,False,1,0,0.0,0,0
Kadarius Toney,KC,LAC,11,2022,True,1,5,5.0,5,0
Skyy Moore,KC,LAC,11,2022,True,1,2,2.0,2,0
Velus Jones Jr.,CHI,NYG,4,2022,True,2,19,9.5,19,0
Richie James,NYG,CHI,4,2022,False,2,5,2.5,5,0
Gunner Olszewski,NYG,PHI,16,2023,True,2,10,5.0,6,0
Britain Covey,PHI,NYG,16,2023,False,3,66,22.0,54,0
Jalen Reagor,MIN,NO,4,2022,True,2,23,11.5,23,0
Deonte Harty,NO,MIN,4,2022,False,1,2,2.0,2,0
Kadarius Toney,KC,LV,18,2022,True,1,5,5.0,5,0
Hunter Renfrow,LV,KC,18,2022,False,2,8,4.0,8,0
KaVontae Turpin,DAL,ARI,3,2023,True,1,0,0.0,0,0
Greg Dortch,ARI,DAL,3,2023,False,2,19,9.5,19,0
Trent Taylor,CIN,PIT,11,2022,True,4,22,5.5,11,0
Steven Sims,PIT,CIN,11,2022,False,2,16,8.0,10,0
Cedrick Wilson Jr.,DAL,KC,11,2021,True,2,7,3.5,7,0
Mike Hughes,KC,DAL,11,2021,False,1,9,9.0,9,0
DeAndre Carter,LV,CHI,7,2023,True,1,18,18.0,18,0
Chester Rogers,TEN,IND,8,2021,True,2,21,10.5,19,0
Nyheim Hines,IND,TEN,8,2021,False,2,27,13.5,16,0
Amari Rodgers,GB,WSH,7,2022,True,2,16,8.0,16,0
Dax Milne,WSH,GB,7,2022,False,2,8,4.0,5,0
DeMario Douglas,NE,DAL,4,2023,True,1,-2,-2.0,-2,0
KaVontae Turpin,DAL,NE,4,2023,False,2,13,6.5,12,0
Desmond King II,HOU,NYJ,14,2023,True,2,22,11.0,22,0
Xavier Gipson,NYJ,HOU,14,2023,False,3,17,5.7,14,0
Richie James,NYG,SEA,8,2022,True,4,28,7.0,12,0
Darnay Holmes,NYG,SEA,8,2022,True,1,0,0.0,0,0
DeeJay Dallas,SEA,NYG,8,2022,False,2,16,8.0,8,0
Andre Roberts,LAC,PIT,11,2021,False,1,-1,-1.0,-1,0
Amari Rodgers,GB,TB,3,2022,True,2,21,10.5,14,0
Jaelon Darden,TB,GB,3,2022,False,3,26,8.7,16,0
Trent Taylor,CHI,MIN,12,2023,True,1,0,0.0,0,0
Brandon Powell,MIN,CHI,12,2023,False,1,15,15.0,15,0
Jalen Reagor,MIN,PHI,2,2022,True,2,5,2.5,4,0
Britain Covey,PHI,MIN,2,2022,False,3,14,4.7,8,0
Keisean Nixon,GB,DET,18,2022,False,4,38,9.5,16,0
Jalen Reagor,MIN,CHI,5,2022,False,1,0,0.0,0,0
Brandon Powell,MIN,ATL,9,2023,True,1,24,24.0,24,0
Dee Alford,ATL,MIN,9,2023,False,1,0,0.0,0,0
Braxton Berrios,NYJ,HOU,12,2021,True,1,17,17.0,17,0
Desmond King II,HOU,NYJ,12,2021,False,1,7,7.0,7,0
Brandon Powell,MIN,DEN,11,2023,True,3,27,9.0,12,0
Steven Sims,PIT,PHI,8,2022,True,1,10,10.0,10,0
Britain Covey,PHI,PIT,8,2022,False,1,5,5.0,5,0
DeVonta Smith,PHI,PIT,8,2022,False,1,3,3.0,3,0
Donovan Peoples-Jones,CLE,PIT,17,2021,True,4,29,7.3,9,0
Ray-Ray McCloud III,PIT,CLE,17,2021,False,5,44,8.8,15,0
Kyren Williams,LAR,CIN,3,2023,True,1,3,3.0,3,0
Charlie Jones,CIN,LAR,3,2023,False,4,45,11.3,19,0
Keelan Cole Sr.,LV,KC,5,2022,True,1,3,3.0,3,0
Skyy Moore,KC,LV,5,2022,False,1,7,7.0,7,0
Kearis Jackson,TEN,NO,1,2023,True,4,37,9.3,14,0
Rashid Shaheed,NO,TEN,1,2023,False,2,6,3.0,6,0
Nyheim Hines,IND,HOU,1,2022,True,5,34,6.8,11,0
James Proche II,CLE,BAL,10,2023,True,1,0,0.0,0,0
Devin Duvernay,BAL,CLE,10,2023,False,2,12,6.0,8,0
Ronnie Bell,SF,PHI,13,2023,True,2,3,1.5,3,0
Britain Covey,PHI,SF,13,2023,False,1,0,0.0,0,0
Mecole Hardman,KC,DEN,18,2021,True,1,5,5.0,5,0
CeeDee Lamb,DAL,TB,1,2021,True,1,12,12.0,12,0
Cedrick Wilson Jr.,DAL,TB,1,2021,True,1,2,2.0,2,0
Jaydon Mickens,TB,DAL,1,2021,False,2,21,10.5,14,0
Deven Thompkins,TB,BUF,8,2023,True,1,0,0.0,0,0
Deonte Harty,BUF,TB,8,2023,False,4,49,12.3,24,0
Isaiah McKenzie,IND,NE,10,2023,True,1,11,11.0,11,0
Austin Trammell,LAR,BAL,14,2023,True,3,9,3.0,5,0
Tylan Wallace,BAL,LAR,14,2023,False,3,95,31.7,76,1
Devin Duvernay,BAL,LAR,14,2023,False,1,14,14.0,14,0
DeAndre Carter,LAC,LAR,17,2022,False,3,26,8.7,11,0
Rashid Shaheed,NO,NE,5,2023,True,3,22,7.3,12,0
Jabrill Peppers,NE,NO,5,2023,False,2,1,0.5,1,0
Diontae Spencer,DEN,CLE,7,2021,True,2,16,8.0,13,0
Demetric Felton Jr.,CLE,DEN,7,2021,False,2,13,6.5,10,0
Kalif Raymond,DET,DEN,14,2021,True,1,-4,-4.0,-4,0
