,Name,Teams,Season,POS,GP,FGM,FGA,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM,XPA,XP%
52,Michael Dickson,SEA,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
53,Jake Bailey,NE,2022,P,9,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
54,Justin Reid,KC,2022,S,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,2,50.0
55,Jamie Gillan,NYG,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
56,Braden Mann,NYJ,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
57,Mitch Wishnowsky,SF,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,2,50.0
58,Corey Bojorquez,CLE,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
59,Trenton Gill,CHI,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
60,Eno Benjamin,ARI / HOU,2022,RB,15,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
61,Ryan Stonehouse,TEN,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
62,Ramiz Ahmed,GB,2022,PK,1,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
63,Arryn Siposs,PHI,2022,P,13,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
64,Jake Camarda,TB,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
65,Daniel Carlson,LV,2021,PK,17,40,43,93.0,56,0-0,10-11,12-12,12-13,6-7,30,33,90.9
66,Nick Folk,NE,2021,PK,17,36,39,92.3,53,0-0,9-9,11-11,11-11,5-8,42,47,89.4
67,Chris Boswell,PIT,2021,PK,17,36,40,90.0,56,0-0,9-9,8-9,11-13,8-9,27,29,93.1
68,Justin Tucker,BAL,2021,PK,17,35,37,94.6,66,0-0,7-7,9-9,13-15,6-6,32,32,100.0
69,Greg Joseph,MIN,2021,PK,17,33,38,86.8,55,0-0,8-8,11-12,7-9,7-9,36,40,90.0
70,Matt Gay,LAR,2021,PK,17,32,34,94.1,55,0-0,6-6,15-15,7-8,4-5,48,49,98.0
71,Matt Prater,ARI,2021,PK,17,30,37,81.1,62,0-0,11-11,9-11,3-5,7-10,47,49,95.9
72,Dustin Hopkins,LAC / WSH,2021,PK,17,30,34,88.2,50,1-1,8-8,6-6,13-14,2-5,40,44,90.9
73,Jake Elliott,PHI,2021,PK,17,30,33,90.9,58,0-0,7-7,10-10,10-13,3-3,44,44,100.0
74,Graham Gano,NYG,2021,PK,17,29,33,87.9,55,0-0,5-5,12-13,5-5,7-10,17,17,100.0
75,Greg Zuerlein,DAL,2021,PK,16,29,35,82.9,56,0-0,5-5,15-16,7-9,2-5,42,48,87.5
76,Tyler Bass,BUF,2021,PK,17,28,32,87.5,57,0-0,15-15,7-8,4-5,2-4,51,51,100.0
77,Evan McPherson,CIN,2021,PK,16,28,33,84.8,58,0-0,5-5,8-8,6-9,9-11,46,48,95.8
78,Younghoe Koo,ATL,2021,PK,17,27,29,93.1,54,0-0,8-8,9-9,6-7,4-5,30,30,100.0
79,Randy Bullock,TEN,2021,PK,16,26,31,83.9,51,0-0,5-5,12-12,8-13,1-1,42,45,93.3
80,Brandon McManus,DEN,2021,PK,17,26,31,83.9,61,0-0,7-8,6-6,8-8,5-9,33,34,97.1
81,Cairo Santos,CHI,2021,PK,17,26,30,86.7,47,0-0,10-10,5-5,11-13,0-2,27,28,96.4
