,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1171,Jamison Crowder,WSH,2023,WR,17,16,20,159,9.9,1,26,1,9.4,0,0,80,8
1172,Ty Chandler,MIN,2023,RB,17,21,25,159,7.6,0,19,0,9.4,0,0,201,7
1173,John Metchie III,HOU,2023,WR,16,16,30,158,9.9,0,22,1,9.9,0,0,84,7
1174,Chase Brown,CIN,2023,RB,12,14,15,156,11.1,1,54,2,13.0,0,0,194,4
1175,Luke Farrell,JAX,2023,TE,17,13,15,155,11.9,0,42,2,9.1,0,0,96,5
1176,Stone Smartt,LAC,2023,TE,16,11,21,155,14.1,1,51,3,9.7,0,0,56,6
1177,Donovan Peoples-Jones,CLE / DET,2023,WR,15,13,25,155,11.9,0,29,2,10.3,0,0,35,7
1178,Miles Sanders,CAR,2023,RB,16,27,41,154,5.7,0,14,0,9.6,0,0,158,8
1179,Jonathan Taylor,IND,2023,RB,10,19,23,153,8.1,1,40,2,15.3,0,0,174,5
1180,John Bates,WSH,2023,TE,17,19,28,151,7.9,0,35,1,8.9,0,0,65,6
1181,Jeremy Ruckert,NYJ,2023,TE,15,16,22,151,9.4,0,23,1,10.1,0,0,51,6
1182,Deonte Harty,BUF,2023,WR,16,15,21,150,10.0,1,43,2,9.4,0,0,79,9
1183,Drew Ogletree,IND,2023,TE,12,9,21,147,16.3,2,33,4,12.3,0,0,30,8
1184,Rico Dowdle,DAL,2023,RB,16,17,22,144,8.5,2,32,1,9.0,0,0,170,6
1185,Quez Watkins,PHI,2023,WR,9,15,21,142,9.5,1,19,0,15.8,0,0,46,8
1186,D'Ernest Johnson,JAX,2023,RB,17,10,12,140,14.0,0,42,2,8.2,0,0,136,6
1187,Terrace Marshall Jr.,CAR,2023,WR,9,19,33,139,7.3,0,14,0,15.4,1,0,48,8
1188,Jalen Reagor,NE,2023,WR,11,7,23,138,19.7,0,39,3,12.5,0,0,18,5
1189,Ray-Ray McCloud III,SF,2023,WR,12,12,15,135,11.3,0,41,2,11.3,0,0,87,7
1190,Khalil Herbert,CHI,2023,RB,12,20,31,134,6.7,1,23,1,11.2,1,1,138,9
1191,Jordan Akins,CLE,2023,TE,17,15,23,132,8.8,0,28,1,7.8,0,0,58,6
1192,Parker Washington,JAX,2023,WR,9,16,21,132,8.3,2,19,0,14.7,1,1,34,5
1193,Ameer Abdullah,LV,2023,RB,17,19,24,131,6.9,0,18,0,7.7,0,0,88,4
1194,KaVontae Turpin,DAL,2023,WR,16,12,18,127,10.6,3,34,2,7.9,0,0,39,9
1195,Robbie Chosen,MIA,2023,WR,9,4,6,126,31.5,1,68,2,14.0,0,0,31,3
1196,Stephen Sullivan,CAR,2023,TE,11,12,24,125,10.4,0,20,1,11.4,0,0,8,5
1197,Malik Heath,GB,2023,WR,13,15,24,125,8.3,1,16,0,9.6,0,0,35,6
1198,Mecole Hardman,KC / NYJ,2023,WR,11,15,24,124,8.3,0,37,1,11.3,0,0,108,8
1199,River Cracraft,MIA,2023,WR,10,9,12,121,13.4,1,24,2,12.1,0,0,49,8
1200,Cole Turner,WSH,2023,TE,12,11,15,120,10.9,0,29,2,10.0,0,0,50,4
1201,Latavius Murray,BUF,2023,RB,16,17,22,119,7.0,0,22,2,7.4,1,0,92,7
1202,Kyle Juszczyk,SF,2023,FB,17,14,17,119,8.5,2,22,1,7.0,0,0,58,8
1203,Alec Ingold,MIA,2023,FB,17,13,16,119,9.2,0,23,1,7.0,0,0,91,5
1204,Emari Demercado,ARI,2023,RB,14,21,30,119,5.7,0,22,1,8.5,0,0,109,4
1205,David Montgomery,DET,2023,RB,14,16,24,117,7.3,0,19,0,8.4,0,0,149,7
1206,Kendre Miller,NO,2023,RB,8,10,11,117,11.7,0,33,2,14.6,0,0,128,5
1207,Andrei Iosivas,CIN,2023,WR,16,15,25,116,7.7,4,16,0,7.3,0,0,35,11
1208,Irv Smith Jr.,CIN,2023,TE,12,18,26,115,6.4,1,14,0,9.6,1,1,66,5
1209,Richie James,KC,2023,WR,9,10,14,114,11.4,0,45,1,12.7,0,0,61,5
1210,Robert Tonyan,CHI,2023,TE,17,11,17,112,10.2,0,24,1,6.6,0,0,57,6
1211,MyCole Pruitt,ATL,2023,TE,17,9,12,110,12.2,1,22,2,6.5,1,0,51,6
1212,Parris Campbell,NYG,2023,WR,12,20,27,104,5.2,0,17,0,8.7,0,0,65,2
1213,Darrell Henderson Jr.,LAR,2023,RB,4,10,14,103,10.3,0,32,1,25.8,0,0,134,3
1214,Michael Carter,ARI / NYJ,2023,RB,15,24,31,101,4.2,1,10,0,6.7,0,0,87,5
1215,Dameon Pierce,HOU,2023,RB,14,13,17,101,7.8,0,27,1,7.2,0,0,95,3
1216,Zamir White,LV,2023,RB,17,15,19,98,6.5,0,15,0,5.8,0,0,94,4
1217,Lucas Krull,DEN,2023,TE,7,8,14,95,11.9,1,35,1,13.6,0,0,50,5
1218,Davis Allen,LAR,2023,TE,15,10,11,95,9.5,1,21,1,6.3,0,0,74,7
1219,Geoff Swaim,ARI,2023,TE,14,10,11,94,9.4,0,26,1,6.7,0,0,30,4
1220,David Moore,TB,2023,WR,7,5,7,94,18.8,1,52,1,13.4,0,0,62,3
1221,Josh Whyle,TEN,2023,TE,11,9,15,94,10.4,1,24,1,8.5,0,0,40,8
1222,Keaton Mitchell,BAL,2023,RB,8,9,11,93,10.3,0,32,1,11.6,0,0,122,5
1223,Brock Wright,DET,2023,TE,14,13,14,91,7.0,1,25,1,6.5,0,0,49,2
1224,Tyquan Thornton,NE,2023,WR,9,13,23,91,7.0,0,15,0,10.1,0,0,50,3
1225,Xavier Hutchinson,HOU,2023,WR,16,8,19,90,11.3,0,34,1,5.6,0,0,20,3
1226,Jalen Guyton,LAC,2023,WR,8,10,21,89,8.9,1,18,0,11.1,0,0,32,6
1227,Matt Breida,NYG,2023,RB,17,17,21,88,5.2,0,22,2,5.2,1,0,89,2
1228,Salvon Ahmed,MIA,2023,RB,8,16,23,88,5.5,1,20,1,11.0,0,0,109,4
1229,Charlie Kolar,BAL,2023,TE,15,7,9,87,12.4,1,19,0,5.8,0,0,17,5
1230,Trent Sherfield,BUF,2023,WR,17,11,22,86,7.8,1,12,0,5.1,0,0,49,4
1231,Jeff Wilson Jr.,MIA,2023,RB,10,14,17,85,6.1,0,12,0,8.5,0,0,69,3
1232,Kareem Hunt,CLE,2023,RB,15,15,21,84,5.6,0,13,0,5.6,0,0,98,5
1233,Tim Jones,JAX,2023,WR,17,11,18,83,7.5,0,15,0,4.9,0,0,31,4
1234,Lynn Bowden Jr.,NO,2023,WR,15,11,16,83,7.5,0,17,0,5.5,0,0,57,2
1235,Deven Thompkins,TB,2023,WR,17,17,25,83,4.9,1,26,1,4.9,1,1,84,5
1236,Isaiah McKenzie,IND,2023,WR,13,11,14,82,7.5,0,30,1,6.3,0,0,72,4
1237,Chase Edmonds,TB,2023,RB,13,14,17,81,5.8,0,14,0,6.2,0,0,111,5
1238,Harrison Bryant,CLE,2023,TE,17,13,20,81,6.2,3,23,1,4.8,0,0,35,5
1239,Dalvin Cook,NYJ,2023,RB,15,15,20,78,5.2,0,15,0,5.2,0,0,106,3
1240,Brycen Hopkins,LAR,2023,TE,15,5,7,78,15.6,0,29,2,5.2,0,0,32,3
1241,Samori Toure,GB,2023,WR,11,8,18,78,9.8,0,35,1,7.1,0,0,18,4
1242,D'Onta Foreman,CHI,2023,RB,9,11,16,77,7.0,1,17,0,8.6,0,0,64,6
1243,Chase Claypool,CHI / MIA,2023,WR,12,8,21,77,9.6,1,20,1,6.4,0,0,25,4
1244,Julio Jones,PHI,2023,WR,11,11,19,74,6.7,3,22,1,6.7,0,0,28,4
1245,Cam Akers,LAR / MIN,2023,RB,7,11,12,70,6.4,0,30,1,10.0,0,0,78,2
1246,Chris Conley,SF,2023,WR,8,3,6,69,23.0,0,48,1,8.6,0,0,28,2
1247,Ronnie Bell,SF,2023,WR,17,6,13,68,11.3,3,20,1,4.0,0,0,10,5
1248,Marquise Goodwin,CLE,2023,WR,12,4,13,67,16.8,0,57,1,5.6,0,0,21,1
1249,Ben Skowronek,LAR,2023,WR,17,8,12,66,8.3,1,20,1,3.9,0,0,30,3
1250,Derius Davis,LAC,2023,WR,17,15,17,66,4.4,0,18,0,3.9,0,0,115,0
1251,Josiah Deguara,GB,2023,TE,15,8,8,65,8.1,0,19,0,4.3,0,0,39,3
1252,Luke Schoonmaker,DAL,2023,TE,17,8,15,65,8.1,2,18,0,3.8,0,0,27,5
1253,Charlie Jones,CIN,2023,WR,11,7,9,64,9.1,0,35,1,5.8,0,0,38,3
1254,Jalen Brooks,DAL,2023,WR,7,6,6,64,10.7,0,24,1,9.1,0,0,28,4
1255,Jamaal Williams,NO,2023,RB,13,18,20,62,3.4,0,12,0,4.8,0,0,87,1
1256,Ty Johnson,BUF,2023,RB,10,7,7,62,8.9,1,28,1,6.2,0,0,60,2
1257,Equanimeous St. Brown,CHI,2023,WR,7,5,6,62,12.4,0,21,1,8.9,0,0,7,3
1258,Darnell Washington,PIT,2023,TE,17,7,10,61,8.7,0,12,0,3.6,0,0,50,4
1259,Laviska Shenault Jr.,CAR,2023,WR,8,10,10,60,6.0,0,14,0,7.5,0,0,85,2
1260,Rakim Jarrett,TB,2023,WR,10,4,9,60,15.0,0,41,1,6.0,0,0,27,1
1261,C.J. Uzomah,NYJ,2023,TE,12,8,12,58,7.3,1,19,0,4.8,0,0,33,5
1262,Payne Durham,TB,2023,TE,13,5,7,58,11.6,0,25,1,4.5,0,0,12,3
1263,Kevin Harris,NE,2023,RB,4,3,3,58,19.3,0,48,1,14.5,0,0,59,2
1264,Sterling Shepard,NYG,2023,WR,15,10,22,57,5.7,1,13,0,3.8,0,0,33,4
1265,Mitchell Wilcox,CIN,2023,TE,17,9,12,56,6.2,0,12,0,3.3,0,0,48,2
1266,Ian Thomas,CAR,2023,TE,12,5,9,56,11.2,0,28,1,4.7,0,0,33,1
1267,D.J. Montgomery,IND,2023,WR,7,3,8,56,18.7,1,34,1,8.0,0,0,28,3
1268,Jason Brownlee,NYJ,2023,WR,7,5,8,56,11.2,1,24,1,8.0,0,0,20,2
1269,Andrew Beck,HOU,2023,FB,15,11,13,55,5.0,2,26,1,3.7,1,1,37,4
1270,Justyn Ross,KC,2023,WR,10,6,11,53,8.8,0,20,1,5.3,0,0,15,2
1271,Patrick Ricard,BAL,2023,FB,17,5,7,52,10.4,1,28,1,3.1,0,0,35,3
1272,Boston Scott,PHI,2023,RB,15,4,6,52,13.0,0,27,1,3.5,0,0,43,2
1273,Ihmir Smith-Marsette,CAR,2023,WR,17,8,10,51,6.4,0,18,0,3.0,0,0,48,5
1274,Darrynton Evans,CHI / MIA,2023,RB,7,7,12,49,7.0,0,17,0,7.0,0,0,69,2
1275,Patrick Taylor Jr.,GB,2023,RB,11,11,17,49,4.5,0,16,0,4.5,0,0,59,4
1276,Julian Hill,MIA,2023,TE,15,6,9,48,8.0,0,18,0,3.2,1,1,30,2
1277,Gary Brightwell,NYG,2023,RB,7,5,7,47,9.4,0,18,0,6.7,0,0,53,2
1278,Pierre Strong Jr.,CLE,2023,RB,17,5,8,47,9.4,0,41,1,2.8,0,0,73,1
1279,Craig Reynolds,DET,2023,RB,17,5,5,47,9.4,0,28,1,2.8,0,0,59,2
1280,Melvin Gordon III,BAL,2023,RB,4,3,3,46,15.3,0,23,1,11.5,0,0,28,3
1281,Raheem Blackshear,CAR,2023,RB,12,6,7,45,7.5,0,19,0,3.8,0,0,38,1
1282,Mike Strachan,CAR,2023,WR,4,1,3,45,45.0,0,45,1,11.3,0,0,8,1
1283,Israel Abanikanda,NYJ,2023,RB,6,7,11,43,6.1,0,13,0,7.2,0,0,46,2
1284,Britain Covey,PHI,2023,WR,16,4,6,42,10.5,0,22,1,2.6,0,0,26,2
1285,Ty Montgomery II,NE,2023,WR,13,5,12,40,8.0,0,17,0,3.1,0,0,27,3
1286,Mike Boone,HOU,2023,RB,9,7,9,40,5.7,0,12,0,4.4,0,0,33,2
1287,Deuce Vaughn,DAL,2023,RB,7,7,7,40,5.7,0,11,0,5.7,0,0,46,1
1288,Jimmy Graham,NO,2023,TE,13,6,7,39,6.5,4,12,0,3.0,0,0,3,6
1289,Randall Cobb,NYJ,2023,WR,11,5,17,39,7.8,1,15,0,3.5,0,0,23,3
1290,DeAndre Carter,LV,2023,WR,17,4,7,39,9.8,0,16,0,2.3,0,0,50,0
1291,Grant Calcaterra,PHI,2023,TE,15,4,4,39,9.8,0,12,0,2.6,0,0,32,3
1292,Cordarrelle Patterson,ATL,2023,RB,14,9,12,38,4.2,1,11,0,2.7,0,0,37,2
1293,Jack Stoll,PHI,2023,TE,17,5,8,38,7.6,0,14,0,2.2,0,0,25,2
1294,Elijah Cooks,JAX,2023,WR,9,3,4,38,12.7,0,23,1,4.2,0,0,8,2
1295,Peyton Hendershot,DAL,2023,TE,8,4,7,38,9.5,0,24,1,4.8,0,0,28,1
1296,Keith Kirkwood,NO,2023,WR,13,5,9,37,7.4,1,13,0,2.8,0,0,1,3
1297,Tony Jones Jr.,ARI / NO,2023,RB,7,7,10,37,5.3,0,11,0,5.3,0,0,44,1
1298,Lawrence Cager,NYG,2023,TE,11,4,5,36,9.0,1,10,0,3.3,0,0,27,2
1299,Marvin Jones Jr.,DET,2023,WR,6,5,10,35,7.0,0,16,0,5.8,1,1,9,2
1300,Brenton Strange,JAX,2023,TE,14,5,9,35,7.0,1,17,0,2.5,0,0,28,2
1301,Isaiah Spiller,LAC,2023,RB,9,6,6,34,5.7,0,10,0,3.8,0,0,39,1
1302,Tyler Goodson,IND,2023,RB,6,6,9,34,5.7,0,15,0,5.7,0,0,51,1
