,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1330,Nick Chubb,CLE,2023,RB,2,4,4,21,5.3,0,10,0,10.5,0,0,20,1
1331,Trevon Wesco,TEN,2023,TE,15,1,3,21,21.0,0,21,1,1.4,0,0,12,1
1332,Ben Sims,GB,2023,TE,17,4,6,21,5.3,1,12,0,1.2,0,0,18,3
1333,Velus Jones Jr.,CHI,2023,WR,14,4,7,20,5.0,0,11,0,1.4,0,0,15,1
1334,Zach Pascal,ARI,2023,WR,14,4,15,19,4.8,0,9,0,1.4,0,0,12,1
1335,Kayshon Boutte,NE,2023,WR,5,2,7,19,9.5,0,11,0,3.8,0,0,10,1
1336,Dare Ogunbowale,HOU,2023,RB,12,2,7,18,9.0,0,14,0,1.5,0,0,5,0
1337,Devin Duvernay,BAL,2023,WR,13,4,9,18,4.5,0,10,0,1.4,0,0,17,0
1338,Hunter Luepke,DAL,2023,RB,17,3,4,18,6.0,0,12,0,1.1,0,0,16,1
1339,Brandin Echols,NYJ,2023,CB,14,1,1,18,18.0,0,18,0,1.3,0,0,8,1
1340,Miles Boykin,PIT,2023,WR,17,3,4,17,5.7,0,6,0,1.0,0,0,2,0
1341,Chris Manhertz,DEN,2023,TE,16,2,4,16,8.0,0,10,0,1.0,0,0,10,1
1342,Laquon Treadwell,BAL,2023,WR,5,1,3,16,16.0,0,16,0,3.2,0,0,0,1
1343,Damien Harris,BUF,2023,RB,6,2,2,16,8.0,0,13,0,2.7,0,0,16,0
1344,J.K. Dobbins,BAL,2023,RB,1,2,3,15,7.5,0,10,0,15.0,0,0,15,0
1345,Willie Snead IV,SF,2023,WR,4,2,3,14,7.0,0,9,0,3.5,0,0,3,0
1346,Deon Jackson,IND / CLE,2023,RB,4,5,6,14,2.8,0,8,0,3.5,1,1,20,0
1347,Elijah Mitchell,SF,2023,RB,11,6,8,14,2.3,0,9,0,1.3,0,0,26,2
1348,Royce Freeman,LAR,2023,RB,14,1,2,13,13.0,0,13,0,0.9,0,0,14,1
1349,Alex Armah,WSH,2023,RB,8,3,3,13,4.3,0,10,0,1.6,0,0,27,1
1350,Trey Sermon,IND,2023,RB,14,3,6,13,4.3,0,7,0,0.9,0,0,6,0
1351,Elijah Dotson,LAC,2023,RB,4,2,2,13,6.5,0,7,0,3.3,0,0,14,0
1352,Malik Taylor,NYJ,2023,WR,3,2,4,13,6.5,0,7,0,4.3,0,0,7,0
1353,Damien Williams,DAL,2023,RB,3,2,2,12,6.0,0,8,0,4.0,0,0,11,0
1354,Eric Saubert,HOU / DAL,2023,TE,10,3,3,12,4.0,0,5,0,1.2,0,0,6,1
1355,Jakob Johnson,LV,2023,FB,13,1,2,12,12.0,0,12,0,0.9,0,0,10,0
1356,Ross Dwelley,SF,2023,TE,12,1,2,12,12.0,0,12,0,1.0,0,0,12,1
1357,Adam Prentice,NO,2023,FB,13,2,3,12,6.0,0,7,0,0.9,0,0,8,0
1358,Jake Funk,IND,2023,RB,4,1,1,12,12.0,0,12,0,3.0,0,0,12,1
1359,Chris Rodriguez Jr.,WSH,2023,RB,13,2,2,12,6.0,0,7,0,0.9,0,0,19,1
1360,Jashaun Corbin,NYG,2023,RB,6,3,3,12,4.0,0,7,0,2.0,0,0,13,1
1361,John FitzPatrick,ATL,2023,TE,9,1,1,12,12.0,0,12,0,1.3,0,0,10,1
1362,Collin Johnson,CHI,2023,WR,3,1,1,11,11.0,0,11,0,3.7,0,0,4,1
1363,Tylan Wallace,BAL,2023,WR,11,1,2,11,11.0,0,11,0,1.0,0,0,0,1
1364,Anthony McFarland Jr.,PIT,2023,RB,3,2,2,11,5.5,0,6,0,3.7,0,0,7,1
1365,Cody Thompson,SEA,2023,WR,7,1,1,10,10.0,0,10,0,1.4,0,0,4,0
1366,Trayveon Williams,CIN,2023,RB,17,7,9,10,1.4,0,5,0,0.6,0,0,35,0
1367,Justin Herbert,LAC,2023,QB,13,1,1,10,10.0,0,10,0,0.8,0,0,17,1
1368,Trishton Jackson,MIN,2023,WR,7,2,4,9,4.5,0,7,0,1.3,0,0,7,0
1369,Tucker Fisk,ATL,2023,TE,6,1,1,9,9.0,0,9,0,1.5,0,0,6,1
1370,Simi Fehoko,LAC,2023,WR,6,1,2,9,9.0,1,9,0,1.5,0,0,7,1
1371,Sean Tucker,TB,2023,RB,11,2,2,9,4.5,0,6,0,0.8,0,0,12,0
1372,Tyler Johnson,LAR,2023,WR,1,2,3,8,4.0,1,8,0,8.0,0,0,1,1
1373,Michael Burton,DEN,2023,FB,17,3,3,8,2.7,0,4,0,0.5,0,0,6,2
1374,Devine Ozigbo,DET,2023,RB,3,1,1,8,8.0,0,8,0,2.7,0,0,5,0
1375,Zonovan Knight,DET,2023,RB,2,1,1,8,8.0,0,8,0,4.0,0,0,13,0
1376,Kevin Rader,TEN,2023,TE,14,1,3,6,6.0,0,6,0,0.4,0,0,4,0
1377,Mason Kinsey,TEN,2023,WR,6,1,1,6,6.0,0,6,0,1.0,0,0,8,0
1378,Malcolm Rodriguez,DET,2023,LB,17,1,1,6,6.0,0,6,0,0.4,0,0,0,1
1379,Cole Fotheringham,LV,2023,TE,2,1,1,6,6.0,0,6,0,3.0,0,0,5,0
1380,Tank Bigsby,JAX,2023,RB,17,1,4,6,6.0,0,6,0,0.4,0,0,5,0
1381,Evan Hull,IND,2023,RB,1,1,1,6,6.0,0,6,0,6.0,0,0,3,0
1382,Greg Van Roten,LV,2023,G,17,0,0,5,0.0,0,5,0,0.3,1,1,5,0
1383,Rashaad Penny,PHI,2023,RB,3,1,1,5,5.0,0,5,0,1.7,0,0,6,0
1384,Dan Skipper,DET,2023,OT,11,1,1,4,4.0,0,4,0,0.4,0,0,5,0
1385,Jesper Horsted,LV,2023,TE,13,1,1,4,4.0,0,4,0,0.3,0,0,2,0
1386,Sam Howell,WSH,2023,QB,17,1,1,4,4.0,0,4,0,0.2,0,0,3,0
1387,Nick Vannett,LAC,2023,TE,8,1,1,3,3.0,0,3,0,0.4,0,0,0,1
1388,Reggie Gilliam,BUF,2023,FB,17,1,1,3,3.0,0,3,0,0.2,0,0,2,0
1389,Cole Strange,NE,2023,G,10,0,0,3,0.0,0,3,0,0.3,0,0,3,0
1390,Colton Dowell,TEN,2023,WR,10,1,2,3,3.0,0,3,0,0.3,0,0,0,0
1391,Khari Blasingame,CHI,2023,FB,16,3,6,2,0.7,0,4,0,0.1,0,0,5,0
1392,Giovanni Ricci,CAR,2023,FB,5,1,1,2,2.0,0,2,0,0.4,0,0,3,0
1393,Ke'Shawn Vaughn,TB,2023,RB,6,2,5,2,1.0,0,3,0,0.3,0,0,1,0
1394,Ko Kieft,TB,2023,TE,16,1,5,2,2.0,1,2,0,0.1,0,0,2,1
1395,Jeffery Simmons,TEN,2023,DT,12,1,1,2,2.0,1,2,0,0.2,0,0,0,1
1396,Kwamie Lassiter II,CIN,2023,WR,1,1,1,2,2.0,0,2,0,2.0,0,0,3,0
1397,Antoine Green,DET,2023,WR,9,1,2,2,2.0,0,2,0,0.2,0,0,1,0
1398,Ryan Tannehill,TEN,2023,QB,10,0,1,0,0.0,0,0,0,0.0,0,0,0,0
1399,Damiere Byrd,ATL,2023,WR,1,0,2,0,0.0,0,0,0,0.0,0,0,0,0
1400,Phillip Dorsett,DEN,2023,WR,2,0,3,0,0.0,0,0,0,0.0,0,0,0,0
1401,Donovan Smith,KC,2023,OT,12,1,1,0,0.0,0,0,0,0.0,0,0,0,0
1402,Jonathan Williams,WSH,2023,RB,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
1403,Trent Taylor,CHI,2023,WR,17,0,2,0,0.0,0,0,0,0.0,0,0,0,0
1404,Juwann Winfree,IND,2023,WR,8,0,1,0,0.0,0,0,0,0.0,0,0,0,0
1405,James Proche II,CLE,2023,WR,10,0,5,0,0.0,0,0,0,0.0,0,0,0,0
1406,JaMycal Hasty,NE / JAX,2023,RB,5,0,2,0,0.0,0,0,0,0.0,0,0,0,0
1407,Irvin Charles,NYJ,2023,WR,12,0,1,0,0.0,0,0,0,0.0,0,0,0,0
1408,Albert Okwuegbunam Jr.,PHI,2023,TE,4,0,1,0,0.0,0,0,0,0.0,0,0,0,0
1409,Sean McKeon,DAL,2023,TE,9,0,2,0,0.0,0,0,0,0.0,0,0,0,0
1410,Travis Homer,CHI,2023,RB,16,0,1,0,0.0,0,0,0,0.0,0,0,0,0
1411,Dee Eskridge,SEA,2023,WR,4,0,1,0,0.0,0,0,0,0.0,0,0,0,0
1412,Ben Bredeson,NYG,2023,G,16,1,1,0,0.0,0,0,0,0.0,0,0,2,0
1413,Amari Rodgers,IND,2023,WR,3,0,2,0,0.0,0,0,0,0.0,0,0,0,0
1414,Jordan Mims,NO,2023,RB,2,0,2,0,0.0,0,0,0,0.0,0,0,0,0
1415,Rodney Williams,PIT,2023,TE,13,0,2,0,0.0,0,0,0,0.0,0,0,0,0
1416,Shedrick Jackson,CIN,2023,WR,3,0,1,0,0.0,0,0,0,0.0,0,0,0,0
1417,Erik Ezukanma,MIA,2023,WR,2,0,1,0,0.0,0,0,0,0.0,0,0,0,0
1418,Gunner Olszewski,PIT / NYG,2023,WR,12,1,1,0,0.0,0,0,0,0.0,1,1,0,0
1419,C.J. Stroud,HOU,2023,QB,15,1,1,0,0.0,0,0,0,0.0,0,0,1,0
1420,Chris Evans,CIN,2023,RB,8,1,1,-1,-1.0,0,-1,0,-0.1,0,0,0,0
1421,Geno Smith,SEA,2023,QB,15,1,1,-2,-2.0,0,-2,0,-0.1,0,0,6,0
1422,James Robinson,GB,2023,RB,1,1,1,-2,-2.0,0,-2,0,-2.0,0,0,1,0
1423,Robert Hainsey,TB,2023,C,17,0,0,-3,0.0,0,-3,0,-0.2,0,0,-3,0
1424,Desmond Ridder,ATL,2023,QB,15,1,1,-6,-6.0,0,-6,0,-0.4,0,0,0,0
1425,Jake Browning,CIN,2023,QB,9,1,1,-7,-7.0,0,-7,0,-0.8,0,0,0,0
1426,David Wells,TB,2023,TE,5,2,2,-10,-5.0,0,1,0,-2.0,1,0,-11,1
