,Name,Teams,Season,POS,GP,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G
1052,Diontae Johnson,PIT,2020,WR,15,0,7,0,7,0,0,0,42,2.8
1053,Gabe Davis,BUF,2020,WR,16,0,7,0,7,0,0,0,42,2.6
1054,Brandon Aiyuk,SF,2020,WR,12,2,5,0,7,0,0,0,42,3.5
1055,Miles Sanders,PHI,2020,RB,12,6,0,0,6,0,0,2,40,3.3
1056,Greg Ward,PHI,2020,WR,16,0,6,0,6,0,0,1,38,2.4
1057,T.J. Hockenson,DET,2020,TE,16,0,6,0,6,0,0,1,38,2.4
1058,DeAndre Hopkins,ARI,2020,WR,16,0,6,0,6,0,0,0,36,2.3
1059,Giovani Bernard,CIN,2020,RB,16,3,3,0,6,0,0,0,36,2.3
1060,Rex Burkhead,NE,2020,RB,10,3,3,0,6,0,0,0,36,3.6
1061,Kyle Juszczyk,SF,2020,FB,16,2,4,0,6,0,0,0,36,2.3
1062,Brandin Cooks,HOU,2020,WR,15,0,6,0,6,0,0,0,36,2.4
1063,Jerick McKinnon,SF,2020,RB,16,5,1,0,6,0,0,0,36,2.3
1064,Allen Robinson II,CHI,2020,WR,16,0,6,0,6,0,0,0,36,2.3
1065,Logan Thomas,WSH,2020,TE,16,0,6,0,6,0,0,0,36,2.3
1066,Jamison Crowder,NYJ,2020,WR,12,0,6,0,6,0,0,0,36,3.0
1067,Wayne Gallman,NYG,2020,RB,15,6,0,0,6,0,0,0,36,2.4
1068,James Conner,PIT,2020,RB,13,6,0,0,6,0,0,0,36,2.8
1069,Marquez Valdes-Scantling,GB,2020,WR,16,0,6,0,6,0,0,0,36,2.3
1070,Gus Edwards,BAL,2020,RB,16,6,0,0,6,0,0,0,36,2.3
1071,Keelan Cole Sr.,JAX,2020,WR,16,0,5,1,6,0,0,0,36,2.3
1072,Leonard Fournette,TB,2020,RB,13,6,0,0,6,0,0,0,36,2.8
1073,Mike Gesicki,MIA,2020,TE,15,0,6,0,6,0,0,0,36,2.4
1074,Christian McCaffrey,CAR,2020,RB,3,5,1,0,6,0,0,0,36,12.0
1075,Isaiah McKenzie,BUF,2020,WR,16,0,5,1,6,0,0,0,36,2.3
1076,Tim Patrick,DEN,2020,WR,15,0,6,0,6,0,0,0,36,2.4
1077,Christian Kirk,ARI,2020,WR,14,0,6,0,6,0,0,0,36,2.6
