,Name,Teams,Season,POS,GP,K ATT,K YDS,K AVG,K LNG,K TD,P ATT,P YDS,P AVG,P LNG,P TD,FC
434,Tyron Johnson,LAC,2020,WR,12,6,111,18.5,26,0,0,0,0.0,0,0,0
435,Keke Coutee,HOU,2020,WR,8,5,97,19.4,28,0,7,48,6.9,11,0,6
436,Scottie Phillips,HOU,2020,RB,8,5,96,19.2,26,0,0,0,0.0,0,0,0
437,Ty Johnson,DET / NYJ,2020,RB,11,5,94,18.8,25,0,0,0,0.0,0,0,0
438,Marquez Callaway,NO,2020,WR,11,4,94,23.5,29,0,11,122,11.1,19,0,5
439,Austin Walter,SF,2020,RB,4,5,93,18.6,34,0,0,0,0.0,0,0,0
440,Tommylee Lewis,NO,2020,WR,5,3,89,29.7,34,0,9,69,7.7,17,0,7
441,Dede Westbrook,JAX,2020,WR,2,4,89,22.3,26,0,4,44,11.0,13,0,1
442,Rashad Fenton,KC,2020,CB,16,3,89,29.7,44,0,0,0,0.0,0,0,0
443,J.J. Taylor,NE,2020,RB,6,4,87,21.8,28,0,1,11,11.0,11,0,0
444,Keelan Cole Sr.,JAX,2020,WR,16,3,80,26.7,40,0,9,140,15.6,91,1,8
445,Richie James,SF,2020,WR,11,4,73,18.3,21,0,6,34,5.7,12,0,6
446,Alex Erickson,CIN,2020,WR,16,3,71,23.7,24,0,23,232,10.1,29,0,20
447,Nyheim Hines,IND,2020,RB,16,3,70,23.3,27,0,30,300,10.0,26,0,14
448,Noah Igbinoghene,MIA,2020,CB,16,4,68,17.0,22,0,0,0,0.0,0,0,0
449,Ty Montgomery II,NO,2020,WR,6,2,57,28.5,33,0,0,0,0.0,0,0,0
450,JaMycal Hasty,SF,2020,RB,8,3,57,19.0,21,0,0,0,0.0,0,0,0
451,C.J. Board,NYG,2020,WR,14,2,54,27.0,34,0,1,6,6.0,6,0,0
452,Chris Rowland,ATL,2020,WR,2,2,53,26.5,27,0,0,0,0.0,0,0,1
453,J.P. Holtz,CHI,2020,TE,16,5,49,9.8,17,0,0,0,0.0,0,0,0
454,D.J. Foster,ARI,2020,RB,10,2,49,24.5,28,0,0,0,0.0,0,0,0
455,David Moore,SEA,2020,WR,16,3,47,15.7,21,0,12,111,9.3,20,0,14
456,CeeDee Lamb,DAL,2020,WR,16,1,47,47.0,47,1,24,172,7.2,27,0,9
457,Kyle Dugger,NE,2020,S,14,2,47,23.5,30,0,0,0,0.0,0,0,0
458,Alvin Kamara,NO,2020,RB,15,2,44,22.0,31,0,1,0,0.0,0,0,0
459,Ashtyn Davis,NYJ,2020,S,10,2,43,21.5,27,0,0,0,0.0,0,0,0
460,Steven Sims,WSH,2020,WR,12,3,42,14.0,20,0,24,160,6.7,22,0,19
461,A.J. Brown,TEN,2020,WR,14,1,42,42.0,42,1,0,0,0.0,0,0,0
462,KJ Hamler,DEN,2020,WR,13,2,42,21.0,24,0,3,6,2.0,8,0,5
463,Joshua Kelley,LAC,2020,RB,14,2,39,19.5,21,0,0,0,0.0,0,0,0
464,Giovani Bernard,CIN,2020,RB,16,2,38,19.0,24,0,0,0,0.0,0,0,0
465,Jason Huntley,PHI,2020,RB,5,2,36,18.0,20,0,0,0,0.0,0,0,0
466,Ryan Nall,CHI,2020,FB,16,3,35,11.7,17,0,0,0,0.0,0,0,0
467,Isaiah McKenzie,BUF,2020,WR,16,2,32,16.0,27,0,1,84,84.0,84,1,1
468,JoJo Natson,CLE,2020,WR,3,1,31,31.0,31,0,3,25,8.3,13,0,0
469,Dwayne Washington,NO,2020,RB,11,2,31,15.5,17,0,0,0,0.0,0,0,0
470,C.J. Ham,MIN,2020,FB,15,2,31,15.5,20,0,0,0,0.0,0,0,0
471,Andy Isabella,ARI,2020,WR,13,2,30,15.0,15,0,1,1,1.0,1,0,4
472,Isaiah Wright,WSH,2020,WR,14,2,30,15.0,20,0,4,15,3.8,13,0,3
473,Marquise Brown,BAL,2020,WR,16,1,30,30.0,30,0,0,0,0.0,0,0,0
474,Armani Watts,KC,2020,S,16,1,28,28.0,28,0,0,0,0.0,0,0,0
475,Jonathan Owens,HOU,2020,S,6,1,26,26.0,26,0,0,0,0.0,0,0,0
476,Jason Cabinda,DET,2020,FB,16,2,24,12.0,13,0,0,0,0.0,0,0,0
477,Diontae Johnson,PIT,2020,WR,15,1,24,24.0,24,0,8,58,7.3,18,0,2
478,Demetrius Harris,CHI,2020,TE,15,2,23,11.5,16,0,0,0,0.0,0,0,0
479,Zach Pascal,IND,2020,WR,16,1,23,23.0,23,0,0,0,0.0,0,0,0
480,Vyncint Smith,NYJ,2020,WR,7,2,23,11.5,16,0,0,0,0.0,0,0,0
481,Corey Clement,PHI,2020,RB,15,1,22,22.0,22,0,0,0,0.0,0,0,0
482,La'Mical Perine,NYJ,2020,RB,10,2,22,11.0,18,0,0,0,0.0,0,0,0
483,Demarcus Robinson,KC,2020,WR,16,2,21,10.5,21,0,2,-13,-6.5,0,0,1
484,Keisean Nixon,LV,2020,CB,15,3,21,7.0,18,0,0,0,0.0,0,0,0
485,Jamaal Williams,GB,2020,RB,14,1,20,20.0,20,0,0,0,0.0,0,0,0
486,Kevin White,SF,2020,WR,3,1,20,20.0,20,0,0,0,0.0,0,0,0
487,Ross Dwelley,SF,2020,TE,16,1,20,20.0,20,0,0,0,0.0,0,0,0
488,Christian Kirk,ARI,2020,WR,14,1,20,20.0,20,0,22,132,6.0,24,0,10
489,Terry Godwin,JAX,2020,WR,3,2,20,10.0,15,0,0,0,0.0,0,0,0
490,Cyril Grayson Jr.,TB,2020,WR,3,1,20,20.0,20,0,0,0,0.0,0,0,0
491,Chad Beebe,MIN,2020,WR,14,1,19,19.0,19,0,9,42,4.7,13,0,5
492,Justin Watson,TB,2020,WR,11,2,19,9.5,13,0,0,0,0.0,0,0,0
493,Dante Pettis,SF / NYG,2020,WR,5,1,18,18.0,18,0,2,14,7.0,8,0,2
494,Mike Boone,MIN,2020,RB,16,1,17,17.0,17,0,0,0,0.0,0,0,0
495,Anthony Miller,CHI,2020,WR,16,1,16,16.0,16,0,5,55,11.0,32,0,3
496,Mohamed Sanu,SF / DET,2020,WR,7,1,15,15.0,15,0,0,0,0.0,0,0,0
497,Troymaine Pope,LAC,2020,RB,6,1,14,14.0,14,0,0,0,0.0,0,0,0
498,Marvin Hall,CLE / DET,2020,WR,11,2,13,6.5,11,0,0,0,0.0,0,0,0
499,Andy Janovich,CLE,2020,FB,14,1,13,13.0,13,0,0,0,0.0,0,0,0
500,Elandon Roberts,MIA,2020,LB,13,1,13,13.0,13,0,0,0,0.0,0,0,0
501,Samaje Perine,CIN,2020,RB,16,1,13,13.0,13,0,0,0,0.0,0,0,0
502,Jaeden Graham,ATL,2020,TE,16,1,13,13.0,13,0,0,0,0.0,0,0,0
503,Van Jefferson,LAR,2020,WR,16,1,13,13.0,13,0,0,0,0.0,0,0,0
504,Khalid Kareem,CIN,2020,DE,16,1,13,13.0,13,0,0,0,0.0,0,0,0
505,Rico Gafford,LV,2020,CB,3,1,12,12.0,12,0,0,0,0.0,0,0,0
506,Khari Blasingame,TEN,2020,FB,15,1,11,11.0,11,0,0,0,0.0,0,0,0
507,Michael Burton,NO,2020,FB,15,1,10,10.0,10,0,0,0,0.0,0,0,0
508,Jonathan Williams,DET,2020,RB,5,1,10,10.0,10,0,0,0,0.0,0,0,0
509,Tyler Lockett,SEA,2020,WR,16,1,9,9.0,9,0,0,0,0.0,0,0,0
510,Darrell Daniels,ARI,2020,TE,12,1,9,9.0,9,0,0,0,0.0,0,0,0
511,Jamison Crowder,NYJ,2020,WR,12,1,8,8.0,8,0,0,0,0.0,0,0,0
512,Will Dissly,SEA,2020,TE,16,1,8,8.0,8,0,0,0,0.0,0,0,0
513,Jace Sternberger,GB,2020,TE,12,1,8,8.0,8,0,0,0,0.0,0,0,0
514,Bruce Miller,JAX,2020,FB,8,1,7,7.0,7,0,0,0,0.0,0,0,0
515,KJ Hill Jr.,LAC,2020,WR,15,1,7,7.0,7,0,12,83,6.9,30,0,11
516,Dare Ogunbowale,JAX,2020,RB,14,0,6,0.0,6,0,0,0,0.0,0,0,0
517,Brandon Zylstra,CAR,2020,WR,16,1,6,6.0,6,0,0,0,0.0,0,0,0
518,Willie Snead IV,BAL,2020,WR,13,1,5,5.0,5,0,0,0,0.0,0,0,0
519,Durham Smythe,MIA,2020,TE,15,1,5,5.0,5,0,0,0,0.0,0,0,0
520,John Lovett,GB,2020,FB,8,1,5,5.0,5,0,0,0,0.0,0,0,0
521,Darnell Mooney,CHI,2020,WR,16,1,5,5.0,5,0,0,0,0.0,0,0,0
522,Kaden Smith,NYG,2020,TE,15,1,5,5.0,5,0,0,0,0.0,0,0,0
523,Devontae Booker,LV,2020,RB,16,1,4,4.0,4,0,0,0,0.0,0,0,0
524,Xavier Jones,LAR,2020,RB,13,1,4,4.0,4,0,0,0,0.0,0,0,0
525,Micah Hyde,BUF,2020,S,15,1,3,3.0,3,0,1,0,0.0,0,0,0
526,Jordan Wilkins,IND,2020,RB,15,1,3,3.0,3,0,0,0,0.0,0,0,0
527,Joshua Kalu,TEN,2020,S,15,1,2,2.0,2,0,0,0,0.0,0,0,0
528,Ted Ginn Jr.,CHI,2020,WR,6,0,0,0.0,0,0,5,24,4.8,10,0,1
529,DeSean Jackson,PHI,2020,WR,5,0,0,0.0,0,0,1,2,2.0,2,0,1
530,Danny Amendola,DET,2020,WR,14,0,0,0.0,0,0,3,39,13.0,21,0,3
531,Golden Tate,NYG,2020,WR,12,0,0,0.0,0,0,4,35,8.8,15,0,2
532,Joe Haden,PIT,2020,CB,14,0,0,0.0,0,0,0,0,0.0,0,0,1
533,Antonio Brown,TB,2020,WR,8,0,0,0.0,0,0,1,2,2.0,2,0,2
534,Dwayne Harris,CHI,2020,WR,3,0,0,0.0,0,0,10,81,8.1,19,0,0
535,Chris Hogan,NYJ,2020,WR,5,0,0,0.0,0,0,0,0,0.0,0,0,5
536,Tavon Austin,GB,2020,WR,4,0,0,0.0,0,0,3,14,4.7,7,0,3
537,C.J. Goodwin,DAL,2020,CB,16,0,0,0.0,0,0,0,73,0.0,73,0,0
538,Bryce Callahan,DEN,2020,CB,10,0,0,0.0,0,0,1,8,8.0,8,0,6
539,Daniel Brown,NYJ,2020,TE,16,1,0,0.0,0,0,0,0,0.0,0,0,0
540,Damiere Byrd,NE,2020,WR,16,0,0,0.0,0,0,2,0,0.0,0,0,5
541,Austin Carr,NO,2020,WR,6,0,0,0.0,0,0,1,1,1.0,1,0,1
