,Name,Teams,Season,POS,GP,FGM,FGA,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM,XPA,XP%
181,Chris Jones,DAL,2020,P,8,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
182,Bryan Anger,HOU,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
183,Aaron Brewer,ARI,2020,LS,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
184,Sam Martin,DEN,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
185,Riley Dixon,NYG,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
186,Ty Long,LAC,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
187,Bradley Pinion,TB,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
188,Matt Haack,MIA,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
189,Cameron Johnston,PHI,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
190,Keelan Cole Sr.,JAX,2020,WR,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
191,Logan Cooke,JAX,2020,P,14,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
192,JK Scott,GB,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
193,Rigoberto Sanchez,IND,2020,P,14,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
194,Tommy Townsend,KC,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
195,Jack Fox,DET,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
196,Sterling Hofrichter,ATL,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
197,Brandon Wright,JAX,2020,P,1,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,2,50.0
198,Michael Dickson,SEA,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
199,Jake Bailey,NE,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
200,Jamie Gillan,CLE,2020,P,16,0,1,0.0,0,0-0,0-0,0-0,0-0,0-1,0,0,0.0
201,Braden Mann,NYJ,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
202,Mitch Wishnowsky,SF,2020,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
203,Taylor Russolino,DEN,2020,PK,1,0,1,0.0,0,0-0,0-0,0-0,0-0,0-1,1,3,33.3
