name,team,opponent,week,season,isHome,REC,YDS,AVG,TD,LONG,TGTS
Rondale Moore,ARI,WSH,1,2023,True,3,33,11.0,0,31,3
Marquise Brown,ARI,WSH,1,2023,True,3,28,9.3,0,11,5
Trey McBride,ARI,WSH,1,2023,True,2,23,11.5,0,13,2
Zach Ertz,ARI,WSH,1,2023,True,6,21,3.5,0,6,10
Michael Wilson,ARI,WSH,1,2023,True,2,19,9.5,0,15,4
James Conner,ARI,WSH,1,2023,True,5,8,1.6,0,11,5
Zach Pascal,ARI,WSH,1,2023,True,0,0,0.0,0,0,1
Curtis Samuel,WSH,ARI,1,2023,False,5,54,10.8,0,32,5
Logan Thomas,WSH,ARI,1,2023,False,4,43,10.8,0,19,8
Jahan Dotson,WSH,ARI,1,2023,False,5,40,8.0,0,14,7
Terry McLaurin,WSH,ARI,1,2023,False,2,31,15.5,0,19,4
Cole Turner,WSH,ARI,1,2023,False,1,17,17.0,0,17,2
Antonio Gibson,WSH,ARI,1,2023,False,1,10,10.0,0,10,1
Brian Robinson Jr.,WSH,ARI,1,2023,False,1,7,7.0,1,7,2
Darius Slayton,NYG,JAX,7,2022,True,3,58,19.3,1,32,6
Wan'Dale Robinson,NYG,JAX,7,2022,True,6,50,8.3,0,17,8
Saquon Barkley,NYG,JAX,7,2022,True,4,25,6.3,0,9,4
Chris Myarick,NYG,JAX,7,2022,True,2,21,10.5,0,11,2
David Sills V,NYG,JAX,7,2022,True,1,19,19.0,0,19,1
Matt Breida,NYG,JAX,7,2022,True,1,14,14.0,0,14,1
Daniel Bellinger,NYG,JAX,7,2022,True,1,13,13.0,0,13,1
Richie James,NYG,JAX,7,2022,True,1,2,2.0,0,2,2
Marcus Johnson,NYG,JAX,7,2022,True,0,0,0.0,0,0,3
Tanner Hudson,NYG,JAX,7,2022,True,0,0,0.0,0,0,1
Christian Kirk,JAX,NYG,7,2022,False,7,96,13.7,0,34,10
Evan Engram,JAX,NYG,7,2022,False,4,67,16.8,0,28,7
Marvin Jones Jr.,JAX,NYG,7,2022,False,4,57,14.3,0,28,8
Zay Jones,JAX,NYG,7,2022,False,4,54,13.5,0,20,10
Dan Arnold,JAX,NYG,7,2022,False,1,24,24.0,0,24,1
Tim Jones,JAX,NYG,7,2022,False,1,7,7.0,0,7,1
Travis Etienne Jr.,JAX,NYG,7,2022,False,1,5,5.0,0,5,5
James Robinson,JAX,NYG,7,2022,False,0,0,0.0,0,0,1
Antonio Gibson,WSH,BUF,3,2021,True,1,73,73.0,1,73,2
Terry McLaurin,WSH,BUF,3,2021,True,4,62,15.5,0,37,7
Logan Thomas,WSH,BUF,3,2021,True,4,42,10.5,1,15,4
Cam Sims,WSH,BUF,3,2021,True,1,15,15.0,0,15,2
J.D. McKissic,WSH,BUF,3,2021,True,2,15,7.5,0,11,2
Adam Humphries,WSH,BUF,3,2021,True,1,7,7.0,0,7,4
Dyami Brown,WSH,BUF,3,2021,True,0,0,0.0,0,0,2
Taylor Heinicke,WSH,BUF,3,2021,True,1,-2,-2.0,0,-2,1
Cole Beasley,BUF,WSH,3,2021,False,11,98,8.9,0,22,13
Emmanuel Sanders,BUF,WSH,3,2021,False,5,94,18.8,2,41,6
Stefon Diggs,BUF,WSH,3,2021,False,6,62,10.3,0,13,10
Dawson Knox,BUF,WSH,3,2021,False,4,49,12.3,1,19,5
Zack Moss,BUF,WSH,3,2021,False,3,31,10.3,1,17,3
Gabe Davis,BUF,WSH,3,2021,False,1,23,23.0,0,23,1
Tommy Sweeney,BUF,WSH,3,2021,False,2,2,1.0,0,1,2
Reggie Gilliam,BUF,WSH,3,2021,False,0,0,0.0,0,0,1
Devin Singletary,BUF,WSH,3,2021,False,1,0,0.0,0,0,2
Davante Adams,GB,CHI,6,2021,True,4,89,22.3,0,41,5
Aaron Jones,GB,CHI,6,2021,True,4,34,8.5,1,12,4
Allen Lazard,GB,CHI,6,2021,True,3,27,9.0,1,13,5
Marcedes Lewis,GB,CHI,6,2021,True,2,17,8.5,0,9,2
Amari Rodgers,GB,CHI,6,2021,True,1,14,14.0,0,14,1
Robert Tonyan,GB,CHI,6,2021,True,2,10,5.0,0,6,3
Josiah Deguara,GB,CHI,6,2021,True,1,4,4.0,0,4,1
Allen Robinson II,CHI,GB,6,2021,False,4,53,13.3,0,20,7
Cole Kmet,CHI,GB,6,2021,False,4,49,12.3,0,21,5
Darnell Mooney,CHI,GB,6,2021,False,5,45,9.0,1,15,8
Khalil Herbert,CHI,GB,6,2021,False,2,15,7.5,0,8,3
Marquise Goodwin,CHI,GB,6,2021,False,1,12,12.0,0,12,1
Damiere Byrd,CHI,GB,6,2021,False,0,0,0.0,0,0,1
Davante Adams,GB,SF,3,2021,True,12,132,11.0,1,25,18
Marquez Valdes-Scantling,GB,SF,3,2021,True,3,59,19.7,1,47,4
Allen Lazard,GB,SF,3,2021,True,1,42,42.0,0,42,1
Aaron Jones,GB,SF,3,2021,True,2,14,7.0,0,11,2
AJ Dillon,GB,SF,3,2021,True,2,8,4.0,0,6,2
Robert Tonyan,GB,SF,3,2021,True,1,6,6.0,0,6,1
Josiah Deguara,GB,SF,3,2021,True,1,4,4.0,0,4,1
Randall Cobb,GB,SF,3,2021,True,0,0,0.0,0,0,1
Aaron Rodgers,GB,SF,3,2021,True,1,-4,-4.0,0,-4,1
George Kittle,SF,GB,3,2021,False,7,92,13.1,0,39,9
Deebo Samuel Sr.,SF,GB,3,2021,False,5,52,10.4,0,19,10
Kyle Juszczyk,SF,GB,3,2021,False,4,37,9.3,1,12,4
Brandon Aiyuk,SF,GB,3,2021,False,4,37,9.3,1,16,6
Mohamed Sanu,SF,GB,3,2021,False,3,36,12.0,0,16,6
Trey Sermon,SF,GB,3,2021,False,2,3,1.5,0,3,3
Tyreek Hill,MIA,SF,13,2022,True,9,146,16.2,1,45,14
Trent Sherfield,MIA,SF,13,2022,True,1,75,75.0,1,75,3
River Cracraft,MIA,SF,13,2022,True,2,29,14.5,0,18,3
Durham Smythe,MIA,SF,13,2022,True,2,21,10.5,0,19,2
Alec Ingold,MIA,SF,13,2022,True,3,15,5.0,0,7,4
Jaylen Waddle,MIA,SF,13,2022,True,1,9,9.0,0,9,5
Mike Gesicki,MIA,SF,13,2022,True,0,0,0.0,0,0,1
Jeff Wilson Jr.,MIA,SF,13,2022,True,0,0,0.0,0,0,2
Christian McCaffrey,SF,MIA,13,2022,False,8,80,10.0,1,33,10
Deebo Samuel Sr.,SF,MIA,13,2022,False,6,58,9.7,0,12,10
Brandon Aiyuk,SF,MIA,13,2022,False,5,46,9.2,0,23,9
Jauan Jennings,SF,MIA,13,2022,False,2,34,17.0,0,19,4
George Kittle,SF,MIA,13,2022,False,2,22,11.0,0,19,3
Tyler Kroft,SF,MIA,13,2022,False,1,14,14.0,0,14,1
Kyle Juszczyk,SF,MIA,13,2022,False,3,12,4.0,1,5,3
Terry McLaurin,WSH,PHI,15,2021,True,2,51,25.5,0,46,4
Antonio Gibson,WSH,PHI,15,2021,True,6,39,6.5,0,19,7
John Bates,WSH,PHI,15,2021,True,1,29,29.0,0,29,1
Ricky Seals-Jones,WSH,PHI,15,2021,True,4,29,7.3,0,12,7
Adam Humphries,WSH,PHI,15,2021,True,3,23,7.7,0,10,6
Cam Sims,WSH,PHI,15,2021,True,1,13,13.0,0,13,1
DeAndre Carter,WSH,PHI,15,2021,True,2,12,6.0,0,7,3
Dax Milne,WSH,PHI,15,2021,True,1,-2,-2.0,0,-2,1
Dallas Goedert,PHI,WSH,15,2021,False,7,135,19.3,0,45,9
Jalen Reagor,PHI,WSH,15,2021,False,3,57,19.0,0,34,3
DeVonta Smith,PHI,WSH,15,2021,False,3,40,13.3,0,28,5
Greg Ward,PHI,WSH,15,2021,False,2,28,14.0,1,19,3
Miles Sanders,PHI,WSH,15,2021,False,2,15,7.5,0,16,2
Quez Watkins,PHI,WSH,15,2021,False,2,14,7.0,0,9,2
Jack Stoll,PHI,WSH,15,2021,False,1,7,7.0,0,7,1
Kenneth Gainwell,PHI,WSH,15,2021,False,0,0,0.0,0,0,1
Tyler Lockett,SEA,TEN,16,2023,True,8,81,10.1,0,21,11
Jaxon Smith-Njigba,SEA,TEN,16,2023,True,6,61,10.2,0,20,7
DK Metcalf,SEA,TEN,16,2023,True,4,56,14.0,1,26,6
Colby Parkinson,SEA,TEN,16,2023,True,3,17,5.7,1,7,4
Jake Bobo,SEA,TEN,16,2023,True,1,8,8.0,0,8,3
Will Dissly,SEA,TEN,16,2023,True,1,6,6.0,0,6,1
Kenneth Walker III,SEA,TEN,16,2023,True,1,2,2.0,0,2,2
Zach Charbonnet,SEA,TEN,16,2023,True,1,-4,-4.0,0,-4,2
Chigoziem Okonkwo,TEN,SEA,16,2023,False,6,63,10.5,1,17,7
Tyjae Spears,TEN,SEA,16,2023,False,5,27,5.4,0,13,6
Treylon Burks,TEN,SEA,16,2023,False,2,25,12.5,0,13,3
DeAndre Hopkins,TEN,SEA,16,2023,False,2,20,10.0,0,13,4
Derrick Henry,TEN,SEA,16,2023,False,1,11,11.0,0,11,1
Chris Moore,TEN,SEA,16,2023,False,1,9,9.0,0,9,2
Mason Kinsey,TEN,SEA,16,2023,False,1,6,6.0,0,6,1
Colton Dowell,TEN,SEA,16,2023,False,1,3,3.0,0,3,1
Mike Strachan,CAR,CHI,10,2023,True,1,45,45.0,0,45,2
Adam Thielen,CAR,CHI,10,2023,True,6,42,7.0,0,14,10
Jonathan Mingo,CAR,CHI,10,2023,True,3,20,6.7,0,10,7
Chuba Hubbard,CAR,CHI,10,2023,True,2,16,8.0,0,10,2
Tommy Tremble,CAR,CHI,10,2023,True,3,16,5.3,0,11,3
Miles Sanders,CAR,CHI,10,2023,True,2,15,7.5,0,13,2
Hayden Hurst,CAR,CHI,10,2023,True,2,14,7.0,0,7,4
Terrace Marshall Jr.,CAR,CHI,10,2023,True,1,11,11.0,0,11,3
Raheem Blackshear,CAR,CHI,10,2023,True,1,6,6.0,0,6,1
DJ Moore,CHI,CAR,10,2023,False,5,58,11.6,0,16,9
Cole Kmet,CHI,CAR,10,2023,False,5,45,9.0,0,14,7
Tyler Scott,CHI,CAR,10,2023,False,1,15,15.0,0,15,1
Darnell Mooney,CHI,CAR,10,2023,False,2,14,7.0,0,8,4
Roschon Johnson,CHI,CAR,10,2023,False,4,14,3.5,0,6,6
D'Onta Foreman,CHI,CAR,10,2023,False,2,12,6.0,0,12,2
Equanimeous St. Brown,CHI,CAR,10,2023,False,1,4,4.0,0,4,1
Darrynton Evans,CHI,CAR,10,2023,False,0,0,0.0,0,0,2
Chase Claypool,CHI,NYJ,12,2022,True,2,51,25.5,0,31,5
David Montgomery,CHI,NYJ,12,2022,True,3,34,11.3,0,26,4
Darrynton Evans,CHI,NYJ,12,2022,True,1,33,33.0,0,33,1
Cole Kmet,CHI,NYJ,12,2022,True,3,27,9.0,0,14,6
Byron Pringle,CHI,NYJ,12,2022,True,2,12,6.0,1,8,2
Dante Pettis,CHI,NYJ,12,2022,True,1,12,12.0,0,12,2
Equanimeous St. Brown,CHI,NYJ,12,2022,True,1,7,7.0,0,7,2
Trevon Wesco,CHI,NYJ,12,2022,True,1,3,3.0,0,3,1
Khari Blasingame,CHI,NYJ,12,2022,True,0,0,0.0,0,0,1
Garrett Wilson,NYJ,CHI,12,2022,False,5,95,19.0,2,54,8
Elijah Moore,NYJ,CHI,12,2022,False,2,64,32.0,1,42,2
Tyler Conklin,NYJ,CHI,12,2022,False,3,50,16.7,0,29,3
Zonovan Knight,NYJ,CHI,12,2022,False,3,34,11.3,0,16,3
C.J. Uzomah,NYJ,CHI,12,2022,False,3,17,5.7,0,8,3
Ty Johnson,NYJ,CHI,12,2022,False,1,16,16.0,0,16,2
Michael Carter,NYJ,CHI,12,2022,False,2,15,7.5,0,9,2
Denzel Mims,NYJ,CHI,12,2022,False,1,11,11.0,0,11,1
Corey Davis,NYJ,CHI,12,2022,False,1,9,9.0,0,9,3
Braxton Berrios,NYJ,CHI,12,2022,False,1,4,4.0,0,4,1
Hunter Henry,NE,ARI,14,2022,True,3,70,23.3,0,39,3
Kendrick Bourne,NE,ARI,14,2022,True,5,47,9.4,0,16,5
Nelson Agholor,NE,ARI,14,2022,True,5,32,6.4,0,13,10
Tyquan Thornton,NE,ARI,14,2022,True,4,28,7.0,0,12,5
DeVante Parker,NE,ARI,14,2022,True,2,24,12.0,0,14,2
Pierre Strong Jr.,NE,ARI,14,2022,True,2,20,10.0,0,16,2
Marcus Jones,NE,ARI,14,2022,True,1,12,12.0,0,12,1
Rhamondre Stevenson,NE,ARI,14,2022,True,2,2,1.0,0,4,3
Jonnu Smith,NE,ARI,14,2022,True,0,0,0.0,0,0,2
DeAndre Hopkins,ARI,NE,14,2022,False,7,79,11.3,0,23,11
Robbie Chosen,ARI,NE,14,2022,False,4,50,12.5,0,21,4
Marquise Brown,ARI,NE,14,2022,False,4,34,8.5,0,16,8
James Conner,ARI,NE,14,2022,False,6,29,4.8,0,9,7
Trey McBride,ARI,NE,14,2022,False,3,28,9.3,0,15,6
Corey Clement,ARI,NE,14,2022,False,1,21,21.0,0,21,1
A.J. Green,ARI,NE,14,2022,False,1,7,7.0,0,7,2
Stephen Anderson,ARI,NE,14,2022,False,2,7,3.5,0,6,2
Chris Godwin,TB,ATL,18,2022,True,6,55,9.2,0,17,7
Deven Thompkins,TB,ATL,18,2022,True,4,25,6.3,0,13,9
Russell Gage,TB,ATL,18,2022,True,3,15,5.0,1,7,6
Breshad Perriman,TB,ATL,18,2022,True,1,9,9.0,0,9,2
Kyle Rudolph,TB,ATL,18,2022,True,1,8,8.0,1,8,1
Scotty Miller,TB,ATL,18,2022,True,1,8,8.0,0,8,2
Ke'Shawn Vaughn,TB,ATL,18,2022,True,2,8,4.0,0,8,2
Cade Otton,TB,ATL,18,2022,True,1,5,5.0,0,5,1
Leonard Fournette,TB,ATL,18,2022,True,1,4,4.0,0,4,1
Giovani Bernard,TB,ATL,18,2022,True,2,-1,-0.5,0,6,2
Drake London,ATL,TB,18,2022,False,6,120,20.0,0,40,8
Olamide Zaccheaus,ATL,TB,18,2022,False,4,37,9.3,1,17,7
MyCole Pruitt,ATL,TB,18,2022,False,3,34,11.3,1,29,5
Frank Darby,ATL,TB,18,2022,False,1,15,15.0,0,15,1
Anthony Firkser,ATL,TB,18,2022,False,1,11,11.0,0,11,1
Parker Hesse,ATL,TB,18,2022,False,1,6,6.0,0,6,1
Cordarrelle Patterson,ATL,TB,18,2022,False,2,1,0.5,0,4,3
Damiere Byrd,ATL,TB,18,2022,False,1,0,0.0,0,0,1
Josh Ali,ATL,TB,18,2022,False,0,0,0.0,0,0,1
Cole Kmet,CHI,LAC,8,2023,True,10,79,7.9,0,17,10
DJ Moore,CHI,LAC,8,2023,True,4,55,13.8,0,18,6
Darnell Mooney,CHI,LAC,8,2023,True,1,41,41.0,0,41,4
Darrynton Evans,CHI,LAC,8,2023,True,3,22,7.3,0,8,4
Tyler Scott,CHI,LAC,8,2023,True,1,11,11.0,0,11,3
Roschon Johnson,CHI,LAC,8,2023,True,3,10,3.3,0,7,4
Robert Tonyan,CHI,LAC,8,2023,True,1,8,8.0,0,8,1
Velus Jones Jr.,CHI,LAC,8,2023,True,1,4,4.0,0,4,2
D'Onta Foreman,CHI,LAC,8,2023,True,1,2,2.0,0,2,2
Khari Blasingame,CHI,LAC,8,2023,True,0,0,0.0,0,0,1
Austin Ekeler,LAC,CHI,8,2023,False,7,94,13.4,1,39,8
Keenan Allen,LAC,CHI,8,2023,False,8,69,8.6,0,26,10
Quentin Johnston,LAC,CHI,8,2023,False,5,50,10.0,0,18,6
Donald Parham Jr.,LAC,CHI,8,2023,False,4,43,10.8,1,17,5
Joshua Palmer,LAC,CHI,8,2023,False,3,24,8.0,0,9,4
Simi Fehoko,LAC,CHI,8,2023,False,1,9,9.0,1,9,2
Isaiah Spiller,LAC,CHI,8,2023,False,1,5,5.0,0,5,1
Derius Davis,LAC,CHI,8,2023,False,2,4,2.0,0,5,2
Gerald Everett,SEA,GB,10,2021,True,8,63,7.9,0,12,8
DK Metcalf,SEA,GB,10,2021,True,3,26,8.7,0,18,8
Tyler Lockett,SEA,GB,10,2021,True,2,23,11.5,0,16,8
Travis Homer,SEA,GB,10,2021,True,3,23,7.7,0,9,4
Will Dissly,SEA,GB,10,2021,True,2,22,11.0,0,28,2
Alex Collins,SEA,GB,10,2021,True,1,8,8.0,0,8,1
Penny Hart,SEA,GB,10,2021,True,0,0,0.0,0,0,2
Freddie Swain,SEA,GB,10,2021,True,0,0,0.0,0,0,3
Dee Eskridge,SEA,GB,10,2021,True,1,-4,-4.0,0,-4,2
Davante Adams,GB,SEA,10,2021,False,7,78,11.1,0,34,11
AJ Dillon,GB,SEA,10,2021,False,2,62,31.0,0,50,2
Aaron Jones,GB,SEA,10,2021,False,4,61,15.3,0,24,6
Marquez Valdes-Scantling,GB,SEA,10,2021,False,1,41,41.0,0,41,2
Randall Cobb,GB,SEA,10,2021,False,3,21,7.0,0,8,4
Marcedes Lewis,GB,SEA,10,2021,False,2,10,5.0,0,7,2
Josiah Deguara,GB,SEA,10,2021,False,2,9,4.5,0,5,3
Allen Lazard,GB,SEA,10,2021,False,1,6,6.0,0,6,4
Tyler Davis,GB,SEA,10,2021,False,1,4,4.0,0,4,1
Tutu Atwell,LAR,ARI,12,2023,True,3,76,25.3,0,42,3
Kyren Williams,LAR,ARI,12,2023,True,6,61,10.2,2,24,6
Tyler Higbee,LAR,ARI,12,2023,True,5,29,5.8,2,7,5
Puka Nacua,LAR,ARI,12,2023,True,4,27,6.8,0,14,8
Cooper Kupp,LAR,ARI,12,2023,True,3,18,6.0,0,7,5
Demarcus Robinson,LAR,ARI,12,2023,True,2,13,6.5,0,7,2
Davis Allen,LAR,ARI,12,2023,True,1,6,6.0,0,6,1
Ben Skowronek,LAR,ARI,12,2023,True,1,-1,-1.0,0,-1,1
Marquise Brown,ARI,LAR,12,2023,False,6,88,14.7,0,36,12
Trey McBride,ARI,LAR,12,2023,False,7,60,8.6,0,16,9
Rondale Moore,ARI,LAR,12,2023,False,2,35,17.5,0,20,3
Greg Dortch,ARI,LAR,12,2023,False,3,27,9.0,1,14,9
Elijah Higgins,ARI,LAR,12,2023,False,1,26,26.0,0,26,2
Michael Carter,ARI,LAR,12,2023,False,4,15,3.8,0,7,4
James Conner,ARI,LAR,12,2023,False,4,5,1.3,0,8,5
Skyy Moore,KC,JAX,2,2023,True,3,70,23.3,1,54,4
Justin Watson,KC,JAX,2,2023,True,3,62,20.7,0,34,5
Noah Gray,KC,JAX,2,2023,True,3,38,12.7,0,16,3
Kadarius Toney,KC,JAX,2,2023,True,5,35,7.0,0,17,5
Travis Kelce,KC,JAX,2,2023,True,4,26,6.5,1,9,9
Jerick McKinnon,KC,JAX,2,2023,True,3,24,8.0,0,11,3
Rashee Rice,KC,JAX,2,2023,True,2,20,10.0,0,15,2
Clyde Edwards-Helaire,KC,JAX,2,2023,True,2,17,8.5,0,10,2
Marquez Valdes-Scantling,KC,JAX,2,2023,True,2,13,6.5,0,8,3
Donovan Smith,KC,JAX,2,2023,True,1,0,0.0,0,0,1
Richie James,KC,JAX,2,2023,True,0,0,0.0,0,0,1
Isiah Pacheco,KC,JAX,2,2023,True,1,0,0.0,0,0,2
Christian Kirk,JAX,KC,2,2023,False,11,110,10.0,0,45,14
Evan Engram,JAX,KC,2,2023,False,6,57,9.5,0,17,8
Calvin Ridley,JAX,KC,2,2023,False,2,32,16.0,0,26,8
D'Ernest Johnson,JAX,KC,2,2023,False,1,9,9.0,0,9,1
Jamal Agnew,JAX,KC,2,2023,False,1,5,5.0,0,5,1
Travis Etienne Jr.,JAX,KC,2,2023,False,2,2,1.0,0,3,3
Zay Jones,JAX,KC,2,2023,False,0,0,0.0,0,0,6
Cole Kmet,CHI,TB,7,2021,True,5,43,8.6,0,22,6
Darnell Mooney,CHI,TB,7,2021,True,2,39,19.5,0,22,5
Khalil Herbert,CHI,TB,7,2021,True,5,33,6.6,0,20,5
Jesse James,CHI,TB,7,2021,True,3,20,6.7,0,8,3
Marquise Goodwin,CHI,TB,7,2021,True,2,16,8.0,0,12,4
Allen Robinson II,CHI,TB,7,2021,True,2,16,8.0,0,12,4
Damiere Byrd,CHI,TB,7,2021,True,1,10,10.0,0,10,1
Ryan Nall,CHI,TB,7,2021,True,1,4,4.0,0,4,1
Damien Williams,CHI,TB,7,2021,True,1,3,3.0,0,3,1
Jesper Horsted,CHI,TB,7,2021,True,0,0,0.0,0,0,1
Chris Godwin,TB,CHI,7,2021,False,8,111,13.9,1,34,11
Mike Evans,TB,CHI,7,2021,False,6,76,12.7,3,46,10
Tyler Johnson,TB,CHI,7,2021,False,2,16,8.0,0,12,2
O.J. Howard,TB,CHI,7,2021,False,1,9,9.0,0,9,3
Leonard Fournette,TB,CHI,7,2021,False,2,9,4.5,0,9,4
Giovani Bernard,TB,CHI,7,2021,False,2,5,2.5,0,9,3
Cameron Brate,TB,CHI,7,2021,False,0,0,0.0,0,0,4
Deon Yelder,TB,CHI,7,2021,False,1,0,0.0,0,0,1
Jaelon Darden,TB,CHI,7,2021,False,0,0,0.0,0,0,1
Cade Otton,TB,SF,11,2023,True,4,49,12.3,0,27,5
Mike Evans,TB,SF,11,2023,True,5,43,8.6,1,13,12
Rakim Jarrett,TB,SF,11,2023,True,1,41,41.0,0,41,2
Chris Godwin,TB,SF,11,2023,True,6,39,6.5,0,11,7
Rachaad White,TB,SF,11,2023,True,6,28,4.7,0,11,7
Trey Palmer,TB,SF,11,2023,True,4,22,5.5,0,17,6
Payne Durham,TB,SF,11,2023,True,2,13,6.5,0,8,2
Chase Edmonds,TB,SF,11,2023,True,1,11,11.0,0,11,1
Deven Thompkins,TB,SF,11,2023,True,0,0,0.0,0,0,1
Brandon Aiyuk,SF,TB,11,2023,False,5,156,31.2,1,76,6
George Kittle,SF,TB,11,2023,False,8,89,11.1,1,24,9
Deebo Samuel Sr.,SF,TB,11,2023,False,3,63,21.0,0,40,4
Christian McCaffrey,SF,TB,11,2023,False,5,25,5.0,1,11,5
Jauan Jennings,SF,TB,11,2023,False,0,0,0.0,0,0,1
Adam Thielen,CAR,SEA,3,2023,True,11,145,13.2,1,25,14
DJ Chark Jr.,CAR,SEA,3,2023,True,4,86,21.5,1,47,11
Miles Sanders,CAR,SEA,3,2023,True,5,38,7.6,0,14,9
Terrace Marshall Jr.,CAR,SEA,3,2023,True,5,35,7.0,0,10,8
Jonathan Mingo,CAR,SEA,3,2023,True,3,21,7.0,0,9,6
Tommy Tremble,CAR,SEA,3,2023,True,1,15,15.0,0,15,1
Hayden Hurst,CAR,SEA,3,2023,True,1,11,11.0,0,11,3
Ian Thomas,CAR,SEA,3,2023,True,1,8,8.0,0,8,1
Chuba Hubbard,CAR,SEA,3,2023,True,2,2,1.0,0,1,3
Laviska Shenault Jr.,CAR,SEA,3,2023,True,1,0,0.0,0,0,1
DK Metcalf,SEA,CAR,3,2023,False,6,112,18.7,0,34,8
Kenneth Walker III,SEA,CAR,3,2023,False,3,59,19.7,0,36,3
Noah Fant,SEA,CAR,3,2023,False,4,41,10.3,0,13,5
Colby Parkinson,SEA,CAR,3,2023,False,3,38,12.7,0,17,4
Tyler Lockett,SEA,CAR,3,2023,False,3,34,11.3,0,16,7
Jaxon Smith-Njigba,SEA,CAR,3,2023,False,1,10,10.0,0,10,3
Jake Bobo,SEA,CAR,3,2023,False,1,5,5.0,1,5,2
Zach Charbonnet,SEA,CAR,3,2023,False,1,-1,-1.0,0,-1,2
DeeJay Dallas,SEA,CAR,3,2023,False,1,-2,-2.0,0,-2,1
Davante Adams,LV,LAC,1,2022,True,10,141,14.1,1,41,17
Darren Waller,LV,LAC,1,2022,True,4,79,19.8,0,31,6
Brandon Bolden,LV,LAC,1,2022,True,2,21,10.5,1,18,2
Hunter Renfrow,LV,LAC,1,2022,True,3,21,7.0,0,9,6
Mack Hollins,LV,LAC,1,2022,True,1,16,16.0,0,16,1
Josh Jacobs,LV,LAC,1,2022,True,1,16,16.0,0,16,1
Jakob Johnson,LV,LAC,1,2022,True,1,1,1.0,0,1,1
Ameer Abdullah,LV,LAC,1,2022,True,0,0,0.0,0,0,1
Keenan Allen,LAC,LV,1,2022,False,4,66,16.5,0,42,4
DeAndre Carter,LAC,LV,1,2022,False,3,64,21.3,1,30,4
Gerald Everett,LAC,LV,1,2022,False,3,54,18.0,1,25,4
Austin Ekeler,LAC,LV,1,2022,False,4,36,9.0,0,13,4
Tre' McKitty,LAC,LV,1,2022,False,3,24,8.0,0,12,4
Joshua Kelley,LAC,LV,1,2022,False,2,14,7.0,0,9,2
Mike Williams,LAC,LV,1,2022,False,2,10,5.0,0,6,4
Zander Horvath,LAC,LV,1,2022,False,2,6,3.0,1,5,2
Joshua Palmer,LAC,LV,1,2022,False,3,5,1.7,0,5,4
Richard Rodgers,LAC,LV,1,2022,False,0,0,0.0,0,0,1
Jalen Guyton,LAC,LV,1,2022,False,0,0,0.0,0,0,1
Stefon Diggs,BUF,NO,12,2021,True,7,74,10.6,1,28,9
Gabe Davis,BUF,NO,12,2021,True,2,47,23.5,0,26,3
Cole Beasley,BUF,NO,12,2021,True,5,46,9.2,0,14,5
Dawson Knox,BUF,NO,12,2021,True,3,32,10.7,2,24,3
Matt Breida,BUF,NO,12,2021,True,2,29,14.5,1,23,2
Emmanuel Sanders,BUF,NO,12,2021,True,3,28,9.3,0,17,3
Devin Singletary,BUF,NO,12,2021,True,1,4,4.0,0,4,1
Lil'Jordan Humphrey,NO,BUF,12,2021,False,3,47,15.7,0,24,5
Tre'Quan Smith,NO,BUF,12,2021,False,4,31,7.8,0,14,5
Ty Montgomery II,NO,BUF,12,2021,False,5,31,6.2,0,13,7
Marquez Callaway,NO,BUF,12,2021,False,2,24,12.0,0,17,4
Nick Vannett,NO,BUF,12,2021,False,1,11,11.0,1,11,1
Adam Prentice,NO,BUF,12,2021,False,1,10,10.0,0,10,1
Deonte Harty,NO,BUF,12,2021,False,1,9,9.0,0,9,5
Dallas Goedert,PHI,NYJ,13,2021,True,6,105,17.5,2,36,6
Quez Watkins,PHI,NYJ,13,2021,True,3,60,20.0,0,28,3
Kenneth Gainwell,PHI,NYJ,13,2021,True,5,33,6.6,0,16,5
Miles Sanders,PHI,NYJ,13,2021,True,3,22,7.3,0,12,3
DeVonta Smith,PHI,NYJ,13,2021,True,2,15,7.5,0,13,4
Jalen Reagor,PHI,NYJ,13,2021,True,1,7,7.0,0,7,1
Elijah Moore,NYJ,PHI,13,2021,False,6,77,12.8,1,29,12
Jamison Crowder,NYJ,PHI,13,2021,False,4,62,15.5,0,19,6
Tevin Coleman,NYJ,PHI,13,2021,False,3,19,6.3,0,8,4
Ryan Griffin,NYJ,PHI,13,2021,False,2,15,7.5,1,14,2
Corey Davis,NYJ,PHI,13,2021,False,2,15,7.5,0,10,3
Ty Johnson,NYJ,PHI,13,2021,False,2,14,7.0,0,7,4
Braxton Berrios,NYJ,PHI,13,2021,False,1,11,11.0,0,11,1
Austin Walter,NYJ,PHI,13,2021,False,2,9,4.5,0,11,2
Denzel Mims,NYJ,PHI,13,2021,False,1,4,4.0,0,4,1
Kenny Yeboah,NYJ,PHI,13,2021,False,0,0,0.0,0,0,1
A.J. Brown,PHI,LAR,5,2023,True,6,127,21.2,0,38,8
Dallas Goedert,PHI,LAR,5,2023,True,8,117,14.6,1,49,9
D'Andre Swift,PHI,LAR,5,2023,True,6,38,6.3,0,9,6
Kenneth Gainwell,PHI,LAR,5,2023,True,1,7,7.0,0,7,2
DeVonta Smith,PHI,LAR,5,2023,True,1,6,6.0,0,6,5
Jack Stoll,PHI,LAR,5,2023,True,1,4,4.0,0,4,1
