Name,PlayerID,Experience,Height,Weight,Position,Age,Team,TeamID,isFreeAgent,Headshot,espnID
Eric Kendricks,2510863,10,"6'0""",232,LB,32,DAL,9,False,https://a.espncdn.com/i/headshots/nfl/players/full/2510863.png,2510863
Justin McCray,17211,7,"6'3""",320,G,31,CAR,5,True,https://a.espncdn.com/i/headshots/nfl/players/full/17211.png,17211
Andrew Booth Jr.,4426344,3,"6'0""",194,CB,23,MIN,21,False,https://a.espncdn.com/i/headshots/nfl/players/full/4426344.png,4426344
Harrison Smith,14945,13,"6'2""",211,S,35,MIN,21,False,https://a.espncdn.com/i/headshots/nfl/players/full/14945.png,14945
Caleb Shudak,4036146,2,"5'7""",177,PK,26,TEN,31,True,https://a.espncdn.com/i/headshots/nfl/players/full/4036146.png,4036146
D'Angelo Mandell,4373640,R,"6'1""",192,CB,25,WSH,32,False,https://a.espncdn.com/i/headshots/nfl/players/full/4373640.png,4373640
Ja'Wuan James,16722,7,"6'6""",312,OT,31,BAL,3,True,https://a.espncdn.com/i/headshots/nfl/players/full/16722.png,16722
Andrew Thomas,4259566,5,"6'5""",315,OT,25,NYG,24,False,https://a.espncdn.com/i/headshots/nfl/players/full/4259566.png,4259566
Charvarius Ward,4037361,6,"6'1""",196,CB,27,SF,28,False,https://a.espncdn.com/i/headshots/nfl/players/full/4037361.png,4037361
Bryce Ford-Wheaton,4362227,2,"6'3""",220,WR,24,NYG,24,False,https://a.espncdn.com/i/headshots/nfl/players/full/4362227.png,4362227
Richard Rodgers,16786,7,"6'4""",257,TE,32,LAC,18,True,https://a.espncdn.com/i/headshots/nfl/players/full/16786.png,16786
Josh Harris,15151,13,"6'1""",224,LS,35,LAC,18,False,https://a.espncdn.com/i/headshots/nfl/players/full/15151.png,15151
Michael Niese,4051353,1,"6'5""",295,G,26,DET,11,False,https://a.espncdn.com/i/headshots/nfl/players/full/4051353.png,4051353
Quentin Johnston,4429025,2,"6'4""",215,WR,22,LAC,18,False,https://a.espncdn.com/i/headshots/nfl/players/full/4429025.png,4429025
Gus Edwards,3051926,7,"6'1""",238,RB,29,LAC,18,False,https://a.espncdn.com/i/headshots/nfl/players/full/3051926.png,3051926
Eli Ricks,4429011,R,"6'2""",188,CB,22,PHI,27,False,https://a.espncdn.com/i/headshots/nfl/players/full/4429011.png,4429011
