,Name,Teams,Season,POS,GP,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
68,Marcus Epps,PHI,2022,S,17,70,24,94,0.0,0,4,6,0,0,0,0,1,0,0
69,Taylor Rapp,LAR,2022,S,16,58,34,92,0.0,0,2,6,2,18,1,0,0,1,0
70,Tyrann Mathieu,NO,2022,S,17,64,27,91,1.0,0,3,8,3,44,1,0,1,1,0
71,Damar Hamlin,BUF,2022,S,15,63,28,91,1.5,12,6,2,0,0,0,0,1,0,0
72,Taron Johnson,BUF,2022,CB,16,67,23,90,0.0,0,6,9,1,2,1,0,0,1,0
73,Leighton Vander Esch,DAL,2022,LB,14,54,36,90,1.0,4,4,1,0,0,0,0,1,0,0
74,Desmond King II,HOU,2022,CB,17,59,30,89,0.0,0,10,8,2,30,1,0,0,2,0
75,Jordan Whitehead,NYJ,2022,S,17,58,31,89,0.0,0,4,8,2,5,1,0,0,0,0
76,Maxx Crosby,LV,2022,DE,17,58,31,89,12.5,102,22,4,0,0,0,0,3,1,0
77,Jalen Ramsey,LAR,2022,CB,17,64,24,88,2.0,17,4,18,4,53,1,0,3,1,0
78,Jaylon Smith,NYG,2022,LB,13,46,42,88,1.0,7,3,0,0,0,0,0,0,1,0
79,Darrick Forrest,WSH,2022,S,17,56,32,88,0.0,0,1,9,4,1,1,0,2,1,0
80,Willie Gay,KC,2022,LB,13,51,37,88,2.5,8,9,8,1,47,1,1,0,1,0
81,Charvarius Ward,SF,2022,CB,17,59,28,87,0.0,0,3,11,1,9,1,0,1,1,0
82,Malcolm Rodriguez,DET,2022,LB,16,62,25,87,1.0,8,8,2,0,0,0,0,1,1,0
83,Duron Harmon,LV,2022,S,17,63,23,86,0.0,0,0,5,2,86,1,1,2,0,0
84,Xavier Woods,CAR,2022,S,15,53,33,86,0.0,0,0,6,0,0,0,0,0,2,0
85,Nick Scott,LAR,2022,S,16,56,30,86,0.0,0,1,5,2,0,1,0,2,0,0
86,David Long Jr.,TEN,2022,LB,12,52,34,86,0.0,0,7,5,2,4,1,0,0,0,0
87,Harrison Smith,MIN,2022,S,14,66,19,85,0.0,0,1,10,5,58,1,0,1,0,0
88,Rasul Douglas,GB,2022,CB,17,69,16,85,1.0,0,4,13,4,26,1,0,1,0,0
89,Jaylinn Hawkins,ATL,2022,S,16,45,39,84,0.0,0,0,6,2,14,1,0,1,0,1
90,Roger McCreary,TEN,2022,CB,17,70,14,84,0.0,0,1,8,1,4,1,0,0,0,0
91,Denzel Perryman,LV,2022,LB,12,54,29,83,1.0,7,14,2,2,48,1,0,0,0,0
92,Justin Reid,KC,2022,S,17,59,24,83,1.0,8,2,7,0,0,0,0,0,0,0
93,Kamren Curl,WSH,2022,S,12,58,25,83,1.0,0,6,0,0,0,0,0,0,0,0
94,Mike Edwards,TB,2022,S,13,52,30,82,1.0,5,3,3,2,68,1,1,0,0,0
95,Kerby Joseph,DET,2022,S,17,55,27,82,0.0,0,0,8,4,70,1,0,2,1,0
96,Camryn Bynum,MIN,2022,S,17,49,32,81,0.0,0,0,6,2,17,1,0,0,2,0
97,Devin Bush,PIT,2022,LB,17,44,37,81,0.0,0,2,2,0,0,0,0,0,0,0
98,Eddie Jackson,CHI,2022,S,12,59,21,80,0.0,0,1,6,4,44,1,0,2,0,0
99,D.J. Reed,NYJ,2022,CB,17,63,17,80,0.0,0,1,12,1,0,1,0,1,0,0
100,Antoine Winfield Jr.,TB,2022,S,13,64,16,80,4.0,29,7,3,1,15,1,0,1,0,0
101,Pete Werner,NO,2022,LB,12,56,24,80,0.0,0,3,3,0,0,0,0,2,0,0
102,Robert Spillane,PIT,2022,LB,16,52,27,79,1.0,0,4,4,0,0,0,0,0,0,0
103,Deommodore Lenoir,SF,2022,CB,17,54,25,79,1.0,9,6,5,1,8,1,0,0,0,0
104,Kaden Elliss,NO,2022,LB,17,43,35,78,7.0,42,7,2,0,0,0,0,2,0,0
105,Kyle Dugger,NE,2022,S,15,50,28,78,1.0,8,5,8,3,55,1,2,1,1,1
106,Jayron Kearse,DAL,2022,S,14,55,22,77,2.0,12,7,5,1,2,1,0,1,2,0
107,Vonn Bell,CIN,2022,S,16,53,24,77,1.0,7,4,8,4,56,1,0,2,1,0
108,Bobby McCain,WSH,2022,S,17,54,22,76,0.0,0,3,5,0,0,0,0,1,0,0
109,Kenneth Murray Jr.,LAC,2022,LB,17,50,26,76,1.0,8,7,3,1,16,1,0,1,0,0
110,Michael Jackson,SEA,2022,CB,17,63,12,75,0.0,0,3,12,1,22,1,0,0,2,0
111,Sauce Gardner,NYJ,2022,CB,17,51,24,75,0.0,0,3,20,2,19,1,0,0,0,0
112,Cameron Heyward,PIT,2022,DT,17,39,35,74,10.5,73,14,4,0,0,0,0,1,1,0
113,DeForest Buckner,IND,2022,DT,17,44,30,74,8.0,49,11,3,0,0,0,0,2,1,0
114,Divine Deablo,LV,2022,LB,8,38,36,74,0.0,0,1,1,0,0,0,0,0,0,0
115,Christian Harris,HOU,2022,LB,12,46,28,74,1.0,7,6,5,1,20,1,0,1,0,0
116,Jeff Okudah,DET,2022,CB,15,59,14,73,0.0,0,2,7,1,20,1,1,1,0,0
117,Andre Cisco,JAX,2022,S,15,49,24,73,1.0,8,1,10,3,72,1,1,0,0,0
118,Nate Hobbs,LV,2022,CB,11,57,15,72,1.0,7,3,4,0,0,0,0,1,1,0
119,Kader Kohou,MIA,2022,CB,15,63,9,72,0.0,0,5,10,1,0,1,0,1,0,0
120,Devin McCourty,NE,2022,S,17,54,17,71,0.0,0,0,8,4,66,1,0,0,1,0
121,Quandre Diggs,SEA,2022,S,17,50,21,71,0.0,0,1,7,4,70,1,0,1,0,0
122,Marlon Humphrey,BAL,2022,CB,17,53,18,71,3.0,14,3,7,3,26,1,0,1,2,0
123,Sione Takitaki,CLE,2022,LB,12,36,35,71,1.0,5,4,0,0,0,0,0,1,0,0
124,Juan Thornhill,KC,2022,S,16,43,28,71,1.0,8,4,9,3,0,1,0,0,0,0
125,Jessie Bates III,CIN,2022,S,16,38,33,71,0.0,0,1,8,4,28,1,0,1,0,0
126,Kyler Gordon,CHI,2022,CB,14,55,16,71,0.0,0,2,6,3,78,1,0,1,1,0
127,Zach Sieler,MIA,2022,DT,17,41,29,70,3.5,32,7,4,0,0,0,0,2,0,0
128,Terrell Edmunds,PIT,2022,S,15,41,29,70,2.0,18,3,5,0,0,0,0,0,0,0
129,Ben Niemann,ARI,2022,LB,17,38,32,70,0.0,0,2,1,0,0,0,0,0,1,0
130,Myles Bryant,NE,2022,CB,17,45,25,70,0.0,0,0,6,1,11,1,0,0,0,0
131,Jeremy Chinn,CAR,2022,S,11,51,19,70,1.0,11,2,6,0,0,0,0,0,0,0
132,Grover Stewart,IND,2022,DT,17,44,26,70,4.0,11,9,3,0,0,0,0,0,1,0
133,Coby Bryant,SEA,2022,CB,17,52,18,70,2.0,9,4,4,0,0,0,0,4,0,0
134,Jeremiah Owusu-Koramoah,CLE,2022,LB,11,45,25,70,0.0,0,7,4,0,0,0,0,2,0,0
135,Tyson Campbell,JAX,2022,CB,17,55,15,70,0.0,0,2,15,3,32,1,0,1,2,1
136,Justin Simmons,DEN,2022,S,12,42,27,69,0.0,0,2,7,6,51,1,0,3,1,0
137,Jonathan Jones,NE,2022,CB,16,56,13,69,0.0,0,0,11,4,89,1,1,3,0,0
138,Kwon Alexander,NYJ,2022,LB,17,42,27,69,0.5,1,6,1,0,0,0,0,1,0,0
139,Cole Holcomb,WSH,2022,LB,7,37,32,69,0.0,0,1,1,0,0,0,0,0,0,0
140,Jahlani Tavai,NE,2022,LB,17,37,32,69,1.5,13,2,2,0,0,0,0,0,0,0
141,Troy Andersen,ATL,2022,LB,17,40,29,69,0.0,0,3,1,0,0,0,0,1,0,0
142,B.J. Hill,CIN,2022,DT,16,30,38,68,3.0,12,4,4,0,0,0,0,1,3,0
143,Dexter Lawrence II,NYG,2022,DT,16,35,33,68,7.5,50,7,3,0,0,0,0,2,0,0
144,Troy Hill,LAR,2022,CB,12,45,22,67,0.0,0,1,4,1,5,1,0,0,0,0
145,C.J. Gardner-Johnson,PHI,2022,S,12,61,6,67,1.0,11,5,8,6,54,1,0,0,0,0
146,Derrick Brown,CAR,2022,DE,17,30,37,67,1.0,3,5,7,1,0,1,0,0,0,0
147,Cameron Jordan,NO,2022,DE,16,40,26,66,8.5,68,13,2,0,0,0,0,2,0,0
148,Patrick Peterson,MIN,2022,CB,17,56,10,66,0.0,0,3,15,5,92,1,0,0,0,0
149,Stephon Gilmore,IND,2022,CB,16,53,13,66,0.0,0,0,11,2,31,1,0,0,0,0
150,Adrian Phillips,NE,2022,S,17,37,29,66,0.0,0,3,3,0,0,0,0,0,0,0
151,Fabian Moreau,NYG,2022,CB,14,50,16,66,0.0,0,0,10,0,0,0,0,0,0,0
152,Uchenna Nwosu,SEA,2022,LB,17,42,24,66,9.5,63,12,4,0,0,0,0,3,2,0
153,Ryan Neal,SEA,2022,S,14,45,21,66,1.0,6,4,8,1,13,1,0,2,0,0
154,Monty Rice,TEN,2022,LB,13,39,27,66,0.0,0,4,1,0,0,0,0,0,0,0
155,DeMarcus Lawrence,DAL,2022,DE,17,43,22,65,6.0,35,9,3,0,0,0,0,3,1,1
156,Danielle Hunter,MIN,2022,DE,17,46,19,65,10.5,63,12,3,0,0,0,0,1,0,0
157,Jonathan Allen,WSH,2022,DT,16,44,21,65,7.5,54,16,3,1,1,1,0,2,0,0
158,Carlton Davis III,TB,2022,CB,13,53,12,65,0.0,0,3,12,1,0,1,0,1,1,0
159,Kenny Moore II,IND,2022,CB,12,50,15,65,1.0,7,4,4,0,0,0,0,0,0,0
160,Damarri Mathis,DEN,2022,CB,16,54,11,65,0.0,0,1,7,0,0,0,0,0,0,0
161,Micah Parsons,DAL,2022,LB,17,42,23,65,13.5,89,13,3,0,0,0,0,3,3,1
162,Dylan Cole,TEN,2022,LB,15,42,22,64,1.0,9,4,1,0,0,0,0,0,0,0
163,Daron Payne,WSH,2022,DT,17,32,32,64,11.5,82,18,5,0,0,0,0,0,1,0
164,Jack Sanborn,CHI,2022,LB,14,50,14,64,2.0,8,5,0,0,0,0,0,0,1,0
165,Jordan Poyer,BUF,2022,S,12,44,19,63,0.0,0,4,8,4,6,1,0,1,0,0
166,Keanu Neal,TB,2022,S,17,41,22,63,0.5,4,2,4,1,0,1,0,0,0,0
167,E.J. Speed,IND,2022,LB,17,37,26,63,1.0,7,7,2,0,0,0,0,2,0,0
168,Brian Burns,CAR,2022,LB,16,34,29,63,12.5,83,17,3,0,0,0,0,1,0,0
169,Alex Highsmith,PIT,2022,LB,17,38,25,63,14.5,118,12,1,0,0,0,0,5,0,0
170,Michael Carter II,NYJ,2022,CB,17,50,13,63,0.0,0,3,9,2,0,1,0,0,0,0
171,Riq Woolen,SEA,2022,CB,17,46,17,63,0.0,0,1,16,6,47,1,1,0,2,0
172,Martin Emerson Jr.,CLE,2022,CB,17,51,12,63,1.0,7,1,15,0,0,0,0,0,0,0
173,Andrew Adams,TEN,2022,S,13,44,18,62,0.0,0,0,3,1,76,1,1,0,0,0
174,Michael Davis,LAC,2022,CB,17,48,14,62,1.0,6,2,15,1,30,1,0,0,0,0
175,Davon Godchaux,NE,2022,DT,17,25,37,62,1.5,8,3,0,0,0,0,0,0,0,0
176,Malik Hooker,DAL,2022,S,16,44,18,62,0.0,0,2,3,3,29,1,0,0,1,1
177,Nasir Adderley,LAC,2022,S,16,39,23,62,0.0,0,1,4,2,30,1,0,1,0,0
178,Kyle Hamilton,BAL,2022,S,16,46,16,62,2.0,15,4,5,0,0,0,0,1,0,0
179,Tashaun Gipson Sr.,SF,2022,S,17,43,18,61,0.5,3,1,8,5,141,1,0,0,0,0
180,Joe Thomas,CHI,2022,LB,15,35,26,61,1.0,6,4,2,0,0,0,0,0,1,0
181,Grady Jarrett,ATL,2022,DE,17,30,31,61,6.0,50,12,3,0,0,0,0,0,0,0
182,Marcus Williams,BAL,2022,S,10,44,17,61,0.0,0,2,8,4,33,1,0,0,1,0
183,Jaelan Phillips,MIA,2022,LB,17,37,24,61,7.0,38,8,2,0,0,0,0,1,1,0
184,Marcus Maye,NO,2022,S,10,42,18,60,0.0,0,0,2,0,0,0,0,1,0,0
185,Mike Hilton,CIN,2022,CB,14,48,12,60,0.0,0,4,6,1,5,1,0,0,0,0
186,Javon Hargrave,PHI,2022,DT,17,37,23,60,11.0,75,10,2,0,0,0,0,1,2,0
