,Name,Teams,Season,POS,GP,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
3211,Brian Burns,CAR,2020,LB,15,35,23,58,9.0,78,12,4,0,0,0,0,3,0,0
3212,Trevon Diggs,DAL,2020,CB,12,49,9,58,1.0,0,1,14,3,43,33,0,1,0,0
3213,Lawrence Guy Sr.,NE,2020,DE,14,37,20,57,2.0,16,4,0,0,0,0,0,0,1,0
3214,Shaquil Barrett,TB,2020,LB,15,43,14,57,8.0,57,13,3,0,0,0,0,2,0,0
3215,Christian Jones,DET,2020,LB,16,33,24,57,0.0,0,3,1,0,0,0,0,0,0,0
3216,Leonard Williams,NYG,2020,DE,16,29,28,57,11.5,101,16,1,0,0,0,0,0,1,0
3217,Kwon Alexander,SF / NO,2020,LB,12,39,18,57,1.0,2,4,4,0,0,0,0,2,2,0
3218,Nate Gerry,PHI,2020,LB,7,32,25,57,1.0,7,5,2,0,0,0,0,0,0,0
3219,Tre'Davious White,BUF,2020,CB,14,44,13,57,1.5,8,4,11,3,28,28,0,1,2,0
3220,Kevin King,GB,2020,CB,11,45,12,57,0.0,0,0,5,0,0,0,0,1,1,0
3221,Tae Crowder,NYG,2020,LB,11,34,23,57,1.0,11,3,1,0,0,0,0,0,1,1
3222,Jordyn Brooks,SEA,2020,LB,14,35,22,57,0.0,0,2,2,0,0,0,0,0,0,0
3223,Dre Kirkpatrick,ARI,2020,CB,14,53,3,56,0.0,0,0,7,3,13,13,0,0,0,0
3224,Kevin Pierre-Louis,WSH,2020,LB,13,36,20,56,1.0,9,4,2,0,0,0,0,1,0,0
3225,Jason Pierre-Paul,TB,2020,LB,16,34,21,55,9.5,62,12,6,2,15,15,0,4,2,0
3226,Janoris Jenkins,NO,2020,CB,13,44,11,55,0.0,0,2,12,3,53,36,1,0,0,0
3227,Ronald Darby,WSH,2020,CB,16,43,12,55,0.0,0,1,16,0,0,0,0,0,1,0
3228,Duke Riley,PHI,2020,LB,13,30,25,55,0.5,0,3,1,1,7,7,0,1,0,0
3229,Leonard Floyd,LAR,2020,DE,16,31,24,55,10.5,71,13,1,0,0,0,0,1,2,0
3230,Sebastian Joseph-Day,LAR,2020,DT,16,35,20,55,1.0,10,2,3,0,0,0,0,1,0,0
3231,Quinnen Williams,NYJ,2020,DT,13,32,23,55,7.0,48,14,3,0,0,0,0,2,0,0
3232,Cameron Heyward,PIT,2020,DT,15,30,24,54,4.0,28,9,3,1,0,0,0,0,0,0
3233,James Bradberry IV,NYG,2020,CB,15,44,10,54,0.0,0,0,18,3,19,19,0,2,1,0
3234,Desmond King II,LAC / TEN,2020,CB,15,40,14,54,2.0,2,2,2,0,0,0,0,0,1,1
3235,Ugo Amadi,SEA,2020,S,14,47,7,54,0.0,0,4,7,0,0,0,0,1,0,0
3236,David Long Jr.,TEN,2020,LB,14,30,24,54,0.0,0,3,2,0,0,0,0,1,0,0
3237,Daron Payne,WSH,2020,DT,16,27,27,54,3.0,16,9,4,1,0,0,0,3,1,0
3238,Isaiah Simmons,ARI,2020,S,16,43,11,54,2.0,15,5,2,1,12,12,0,1,1,0
3239,L.J. Fort,BAL,2020,LB,14,32,21,53,0.0,0,5,2,0,0,0,0,1,2,1
3240,John Simon,NE,2020,LB,16,34,19,53,2.0,13,5,3,0,0,0,0,0,0,0
3241,Juston Burris,CAR,2020,S,13,34,19,53,0.0,0,4,4,1,0,0,0,0,0,0
3242,T.J. Watt,PIT,2020,LB,15,43,10,53,15.0,112,26,7,1,0,0,0,2,0,0
3243,Amani Oruwariye,DET,2020,CB,16,45,8,53,0.0,0,1,7,1,0,0,0,0,0,0
3244,Malik Reed,DEN,2020,LB,16,34,19,53,8.0,61,12,1,0,0,0,0,1,0,0
3245,Dexter Lawrence II,NYG,2020,DT,16,30,23,53,4.0,26,7,2,0,0,0,0,0,0,0
3246,Grover Stewart,IND,2020,DT,16,40,13,53,0.5,3,7,1,0,0,0,0,0,0,0
3247,Joe Haden,PIT,2020,CB,14,44,8,52,0.0,0,2,12,2,38,24,1,0,0,0
3248,J.J. Watt,HOU,2020,DE,16,36,16,52,5.0,41,16,7,1,19,19,1,2,1,0
3249,LeShaun Sims,CIN,2020,CB,13,38,14,52,0.0,0,0,4,1,0,0,0,0,0,0
3250,Grady Jarrett,ATL,2020,DE,16,27,25,52,4.0,29,11,0,0,0,0,0,0,1,0
3251,Marcus Peters,BAL,2020,CB,14,46,6,52,1.0,10,2,9,4,17,12,0,4,2,0
3252,Za'Darius Smith,GB,2020,DE,16,35,17,52,12.5,81,17,2,0,0,0,0,4,2,0
3253,Kenny Young,LAR,2020,LB,16,31,21,52,1.0,3,3,2,1,79,79,1,0,1,0
3254,Tarvarius Moore,SF,2020,S,16,37,15,52,0.0,0,2,1,0,0,0,0,1,1,0
3255,Cameron Jordan,NO,2020,DE,16,34,17,51,7.5,42,13,3,0,0,0,0,1,0,0
3256,Michael Brockers,LAR,2020,DE,15,21,30,51,5.0,35,6,0,0,0,0,0,0,0,0
3257,Derek Wolfe,BAL,2020,DE,14,19,32,51,1.0,5,8,2,0,0,0,0,0,1,0
3258,Tahir Whitehead,CAR,2020,LB,14,27,24,51,0.0,0,0,1,1,0,0,0,0,1,0
3259,Xavien Howard,MIA,2020,CB,16,40,11,51,0.0,0,1,20,10,77,29,0,1,0,0
3260,Reggie Ragland,DET,2020,LB,16,30,21,51,1.0,7,6,1,0,0,0,0,1,0,0
