,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1145,Miles Sanders,PHI,2020,RB,12,28,52,197,7.0,0,28,3,16.4,0,0,219,8
1146,Tyler Conklin,MIN,2020,TE,16,19,26,194,10.2,1,30,2,12.1,1,0,124,11
1147,Bryan Edwards,LV,2020,WR,12,11,15,193,17.5,1,34,5,16.1,0,0,117,9
1148,Rex Burkhead,NE,2020,RB,10,25,33,192,7.7,3,24,1,19.2,0,0,206,11
1149,Tony Pollard,DAL,2020,RB,16,28,40,192,6.9,1,30,1,12.0,0,0,232,9
1150,Bisi Johnson,MIN,2020,WR,16,14,19,189,13.5,0,29,3,11.8,0,0,48,9
1151,Cedrick Wilson Jr.,DAL,2020,WR,16,17,28,189,11.1,2,42,2,11.8,0,0,116,10
1152,Mohamed Sanu,SF / DET,2020,WR,10,17,24,187,11.0,1,21,3,18.7,0,0,35,13
1153,Kalif Raymond,TEN,2020,WR,15,9,15,187,20.8,0,61,4,12.5,0,0,36,7
1154,Kerryon Johnson,DET,2020,RB,16,19,26,187,9.8,1,20,1,11.7,0,0,184,11
1155,Deonte Harty,NO,2020,WR,9,20,25,186,9.3,1,40,1,20.7,0,0,123,10
1156,KhaDarel Hodge,CLE,2020,WR,9,11,17,180,16.4,0,42,2,20.0,0,0,22,11
1157,Latavius Murray,NO,2020,RB,15,23,26,176,7.7,1,25,2,11.7,0,0,200,8
1158,Mack Hollins,MIA,2020,WR,16,16,25,176,11.0,1,34,2,11.0,1,1,33,7
1159,Justin Jackson,LAC,2020,RB,9,19,24,173,9.1,0,34,2,19.2,0,0,218,7
1160,KeeSean Johnson,ARI,2020,WR,8,15,23,173,11.5,0,45,2,21.6,0,0,51,7
1161,Adam Trautman,NO,2020,TE,15,15,16,171,11.4,1,41,2,11.4,0,0,120,9
1162,Tyler Johnson,TB,2020,WR,14,12,18,169,14.1,2,35,3,12.1,0,0,75,9
1163,Jeff Smith,NYJ,2020,WR,12,17,37,167,9.8,0,21,1,13.9,0,0,47,9
1164,John Hightower,PHI,2020,WR,13,10,29,167,16.7,0,59,2,12.8,0,0,59,5
1165,Kalen Ballage,LAC / NYJ,2020,RB,11,29,37,166,5.7,0,21,1,15.1,0,0,224,5
1166,Ronald Jones,TB,2020,RB,14,28,42,165,5.9,1,37,1,11.8,2,2,165,2
1167,Todd Gurley II,ATL,2020,RB,15,25,34,164,6.6,0,26,1,10.9,1,0,124,7
1168,Dontrelle Inman,WSH,2020,WR,10,18,28,163,9.1,2,17,0,16.3,1,0,49,11
1169,Pharaoh Brown,HOU,2020,TE,13,14,16,163,11.6,2,29,2,12.5,0,0,82,9
